7'现在拜仁开始控球了，开场5分钟汉堡攻势很盛。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
8'拉姆右路突破，给到穆勒，被后卫踢出外围的罗本打门打高了。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
8'最爱拜仁蓝军_nd3 :我小破仁要早点摆脱低迷啊！我们永远爱着你拜仁！------有支持的球迷球队一定很感动。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
9'汉堡现在每场比赛都是决赛一样，肯定要死拼。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
9'里贝里是因为背伤没有进入大名单。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
9'越位！罗本越位了。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
10'越位的罗本传球给穆勒头球进门，稍稍多出来半个身位。                   7'开场7分钟，穆勒右路传中，罗本左脚打高
10'多多参与互动有机会获得直播室会员哦~                   7'开场7分钟，穆勒右路传中，罗本左脚打高
47'下半场相信汉堡一定不会坐以待毙，比赛将会很精彩。                   47'2分钟后，巴代利传球，恰尔汉奥卢左路切入禁区距门13米处低射偏出远门柱
47'拜仁后场抢断拿球，拉姆直接被拉倒了。                   47'2分钟后，巴代利传球，恰尔汉奥卢左路切入禁区距门13米处低射偏出远门柱
48'汉堡左路突破将球护住，送到禁区还是被拜仁后卫解围了。                   47'2分钟后，巴代利传球，恰尔汉奥卢左路切入禁区距门13米处低射偏出远门柱
50'汉堡又是左路突破直接打门，但是没有力量角度，造不成为威胁。                   47'2分钟后，巴代利传球，恰尔汉奥卢左路切入禁区距门13米处低射偏出远门柱
50'拜仁右路传中也是直接被阿德勒拿到。                   47'2分钟后，巴代利传球，恰尔汉奥卢左路切入禁区距门13米处低射偏出远门柱
50'迪克迈尔快速突破但是趟大了。                   47'2分钟后，巴代利传球，恰尔汉奥卢左路切入禁区距门13米处低射偏出远门柱
40'格策今天很积极，又被放到了。                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
40'这应该是一个黄牌动作啊，但是裁判没有表示。                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
40'一个位置不错的任意球。                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
41'罗本调入进区！后点小猪头球传到后点，穆勒差一点就把球撞了进去！                   40'第40分钟，罗本开出任意球，小猪禁区右侧头球摆渡，穆勒左门柱边推射空门偏出
