2'射门!!!奥格斯堡球员博瓦迪利亚大禁区中央头球,被对方守门员横身扑出.给他传球的是韦尔纳.                   1'赛前为拉特克默哀1分钟
3'奥巴梅扬为多特蒙德赢得一个任意球.                   1'赛前为拉特克默哀1分钟
3'奥格斯堡球员福伊尔纳拼抢犯规,对手获得控球权.                   1'赛前为拉特克默哀1分钟
4'奥格斯堡球员克拉万一脚直塞球给池东沅,但是边裁举旗显示后者已经越位.                   1'赛前为拉特克默哀1分钟
26'多特蒙德球员因莫比莱一脚直塞球给奥巴梅扬,但是边裁举旗显示后者已经越位.                   26'第26分钟，因莫比莱小角度射门，奥巴梅扬推过门线，但越位在先
28'多特蒙德球员坎普尔拼抢犯规,对手获得控球权.                   26'第26分钟，因莫比莱小角度射门，奥巴梅扬推过门线，但越位在先
28'Pierre-Emile Höjbjerg为奥格斯堡赢得一个任意球.                   26'第26分钟，因莫比莱小角度射门，奥巴梅扬推过门线，但越位在先
28'奥格斯堡球员韦尔纳大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是阿尔滕托普.                   26'第26分钟，因莫比莱小角度射门，奥巴梅扬推过门线，但越位在先
29'多特蒙德球员坎普尔拼抢犯规,对手获得控球权.                   26'第26分钟，因莫比莱小角度射门，奥巴梅扬推过门线，但越位在先
29'博瓦迪利亚为奥格斯堡赢得一个任意球.                   26'第26分钟，因莫比莱小角度射门，奥巴梅扬推过门线，但越位在先
59'多特蒙德格罗斯克罗伊茨受伤倒地,比赛暂停                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
60'暂停结束,球员们重新开始比赛.                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
60'多特蒙德换人,苏博蒂奇上,格罗斯克罗伊茨因伤下场.                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
61'多特蒙德球员京多安一脚直塞球给奥巴梅扬,但是边裁举旗显示后者已经越位.                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
62'多特蒙德球员奥巴梅扬拼抢犯规,对手获得控球权.                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
62'阿尔滕托普为奥格斯堡赢得一个任意球.                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
62'奥格斯堡换人,卡尤比换下韦尔纳                   59'第59分钟，韦尔纳胸部停球凌空射门，格罗斯克罗伊茨飞身封堵，但他也因此受伤，被苏博蒂奇换下
