3'沃尔夫斯堡球员卡利朱里大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿诺尔德.                   1'狼堡第1分钟处于劣势，门兴第21分钟错过进球
4'沃尔夫斯堡球员纳尔多拼抢犯规,对手获得控球权.                   1'狼堡第1分钟处于劣势，门兴第21分钟错过进球
4'拉斐尔为门兴在对方半场,赢得一个任意球.                   1'狼堡第1分钟处于劣势，门兴第21分钟错过进球
4'门兴球员多明格斯大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   1'狼堡第1分钟处于劣势，门兴第21分钟错过进球
29'沃尔夫斯堡球员本特纳大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是佩里西奇.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
30'古斯塔沃为沃尔夫斯堡赢得一个任意球.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
30'门兴球员克鲁泽拼抢犯规,对手获得控球权.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
31'沃尔夫斯堡球员阿诺尔德拼抢犯规,对手获得控球权.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
31'法比安-约翰逊为门兴在对方半场,赢得一个任意球.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
31'黄牌！沃尔夫斯堡球员阿诺尔德因为恶意犯规,被主裁判出示黄牌.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
32'阿诺尔德为沃尔夫斯堡赢得一个任意球.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
32'门兴球员文特拼抢犯规,对手获得控球权.                   29'第29分钟，特雷施右路传中，佩里希奇头球摆渡，本特纳胸部停球甩开布劳韦斯，在门前6米处左脚凌空打高
45'沃尔夫斯堡球员罗德里格斯大禁区外尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是德布劳内.                   45'第45分钟，德布劳内开出角球，里卡多-罗德里格斯左脚抽射掠过横梁
45'+1'上半场结束,门兴 0-0 沃尔夫斯堡,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，德布劳内开出角球，里卡多-罗德里格斯左脚抽射掠过横梁
47'克洛泽为沃尔夫斯堡赢得一个任意球.                   45'第45分钟，德布劳内开出角球，里卡多-罗德里格斯左脚抽射掠过横梁
47'门兴球员赫尔曼拼抢犯规,对手获得控球权.                   45'第45分钟，德布劳内开出角球，里卡多-罗德里格斯左脚抽射掠过横梁
47'黄牌！门兴球员赫尔曼因为恶意犯规,被主裁判出示黄牌.                   45'第45分钟，德布劳内开出角球，里卡多-罗德里格斯左脚抽射掠过横梁
47'克洛泽为沃尔夫斯堡赢得一个任意球.                   47'2分钟后，文特左路策动攻势，法比安-约翰逊脚后跟回做，文特禁区左侧抽射高出
47'门兴球员赫尔曼拼抢犯规,对手获得控球权.                   47'2分钟后，文特左路策动攻势，法比安-约翰逊脚后跟回做，文特禁区左侧抽射高出
47'黄牌！门兴球员赫尔曼因为恶意犯规,被主裁判出示黄牌.                   47'2分钟后，文特左路策动攻势，法比安-约翰逊脚后跟回做，文特禁区左侧抽射高出
50'射门!!!门兴球员赫尔曼大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是克鲁泽.                   47'2分钟后，文特左路策动攻势，法比安-约翰逊脚后跟回做，文特禁区左侧抽射高出
76'门兴球员克鲁泽大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是科布.                   76'第76分钟，科布底线传中，克鲁泽凌空打偏
77'古斯塔沃为沃尔夫斯堡赢得一个任意球.                   76'第76分钟，科布底线传中，克鲁泽凌空打偏
77'门兴球员拉斐尔拼抢犯规,对手获得控球权.                   76'第76分钟，科布底线传中，克鲁泽凌空打偏
77'黄牌！门兴球员拉斐尔因为恶意犯规,被主裁判出示黄牌.                   76'第76分钟，科布底线传中，克鲁泽凌空打偏
78'沃尔夫斯堡古斯塔沃受伤倒地,比赛暂停                   76'第76分钟，科布底线传中，克鲁泽凌空打偏
79'暂停结束,球员们重新开始比赛.                   76'第76分钟，科布底线传中，克鲁泽凌空打偏
90'进球啦！！！门兴球员克鲁泽小禁区左侧左脚射门,球从右下角飞进球门,球进了!助攻的是法比安-约翰逊. 门兴 1-0 沃尔夫斯堡.                   90'第90分钟，特劳雷传球被挡，法比安-约翰逊做给克鲁泽，克鲁泽禁区左侧吊射入远角，1比0
90'+2'射门!!!门兴球员克鲁泽大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是特拉奥雷.                   90'第90分钟，特劳雷传球被挡，法比安-约翰逊做给克鲁泽，克鲁泽禁区左侧吊射入远角，1比0
90'+3'下半场结束,门兴 1-0 沃尔夫斯堡                   90'第90分钟，特劳雷传球被挡，法比安-约翰逊做给克鲁泽，克鲁泽禁区左侧吊射入远角，1比0
