3'科隆球员S.奥兹坎大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是鲁德涅夫斯.                   1'第1分钟，鲁德涅夫斯突破防守底线传中，厄兹詹打高
4'射门!!!多特蒙德球员杜尔姆大禁区外左脚射门,被对方守门员横身扑出.给他传球的是奥巴梅扬.                   1'第1分钟，鲁德涅夫斯突破防守底线传中，厄兹詹打高
4'大迫勇也为科隆在对方半场,赢得一个任意球.                   1'第1分钟，鲁德涅夫斯突破防守底线传中，厄兹詹打高
4'多特蒙德球员魏格尔拼抢犯规,对手获得控球权.                   1'第1分钟，鲁德涅夫斯突破防守底线传中，厄兹詹打高
28'Pawel Olkowski为科隆在对方半场,赢得一个任意球.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
28'多特蒙德球员施梅尔策拼抢犯规,对手获得控球权.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
28'黄牌！多特蒙德球员施梅尔策因为恶意犯规,被主裁判出示黄牌.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
28'进球啦！！！科隆球员鲁德涅夫斯大禁区中央头球,球从右下角飞进球门,球进了!助攻的是希克托. 科隆 1-0 多特蒙德.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
30'科隆球员索伦森拼抢犯规,对手获得控球权.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
30'罗伊斯为多特蒙德在左路,赢得一个任意球.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
31'科隆球员希克托拼抢犯规,对手获得控球权.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
31'杜尔姆为多特蒙德在右路,赢得一个任意球.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
31'莫德斯特为科隆赢得一个任意球.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
31'多特蒙德球员帕帕斯塔索普洛斯拼抢犯规,对手获得控球权.                   28'多特第28分钟首先失球，赫克托右路任意球斜传，鲁德涅夫斯前点距门10米处头球蹭入近角，1比0，科隆终结3小时27分钟德甲进球荒，多特蒙德连续5场正式比赛都有失球
74'射门!!!多特蒙德球员罗伊斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是登贝莱.                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
74'凯斯勒将球处理出底线,多特蒙德获得角球.                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
75'科隆球员海因茨拼抢犯规,对手获得控球权.                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
75'登贝莱为多特蒙德在对方半场,赢得一个任意球.                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
75'多特蒙德换人,阿德里安-拉莫斯上,帕帕斯塔索普洛斯因伤下场.                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
76'科隆换人,劳施换下鲁德涅夫斯                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
77'科隆赫格尔受伤倒地,比赛暂停                   74'第74分钟，图赫尔打出最后1张牌，前锋拉莫斯换下中卫帕帕斯塔索普洛斯
