7'多特蒙德球员罗伊斯大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   7'开场7分钟，施梅尔策右路传中被顶出，罗伊斯左侧抽射偏出近门柱
8'多特蒙德球员菲利普左侧很远处右脚射门,被防守球员封堵.给他传球的是卡斯特罗.                   7'开场7分钟，施梅尔策右路传中被顶出，罗伊斯左侧抽射偏出近门柱
8'丹尼-达科斯塔将球处理出底线,多特蒙德获得角球.                   7'开场7分钟，施梅尔策右路传中被顶出，罗伊斯左侧抽射偏出近门柱
9'长谷部诚为法兰克福在对方半场,赢得一个任意球.                   7'开场7分钟，施梅尔策右路传中被顶出，罗伊斯左侧抽射偏出近门柱
9'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   7'开场7分钟，施梅尔策右路传中被顶出，罗伊斯左侧抽射偏出近门柱
10'多特蒙德球员许尔勒大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是普利西奇.                   7'开场7分钟，施梅尔策右路传中被顶出，罗伊斯左侧抽射偏出近门柱
11'法兰克福球员鲁斯自摆乌龙,多特蒙德 1-0 法兰克福                   11'多特第11分钟取得领先
13'Sébastien Haller为法兰克福在对方半场,赢得一个任意球.                   11'多特第11分钟取得领先
13'多特蒙德球员托普拉克拼抢犯规,对手获得控球权.                   11'多特第11分钟取得领先
14'多特蒙德球员博尔基一脚直塞球给许尔勒,但是边裁举旗显示后者已经越位.                   11'多特第11分钟取得领先
75'进球啦！！！法兰克福球员约维奇大禁区中央头球,球从左下角飞进球门,球进了!助攻的是德古兹曼. 多特蒙德 1-1 法兰克福.                   75'法兰克福第75分钟扳平，德古斯曼右路任意球斜吊禁区，约维奇在门前7米处甩头顶进左下角，1比1
77'进球啦！！！多特蒙德球员Michy Batshuayi大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是普利西奇. 多特蒙德 2-1 法兰克福.                   75'法兰克福第75分钟扳平，德古斯曼右路任意球斜吊禁区，约维奇在门前7米处甩头顶进左下角，1比1
78'Carlos Salcedo将球处理出底线,多特蒙德获得角球.                   75'法兰克福第75分钟扳平，德古斯曼右路任意球斜吊禁区，约维奇在门前7米处甩头顶进左下角，1比1
46'多特蒙德球员阿坎吉拼抢犯规,对手获得控球权.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
46'Sébastien Haller为法兰克福在对方半场,赢得一个任意球.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
47'法兰克福球员德古兹曼大禁区外右脚射门,被防守球员封堵.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
47'罗伊斯将球处理出底线,法兰克福获得角球.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
48'魏格尔将球处理出底线,法兰克福获得角球.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
48'射门!!!法兰克福球员博阿滕大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是大卫-亚伯拉罕.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
48'博尔基将球处理出底线,法兰克福获得角球.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
49'法兰克福球员Lukás Hrádecky一脚直塞球给博阿滕,但是边裁举旗显示后者已经越位.                   46'补时第1分钟，丹尼-达科斯塔右路传中，布卢姆后点距门7米处左脚推进远角，2比2
