2'陆博飞前场禁区前沿的转移送大了                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
2'孙可没有拿到                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
2'舜天队前场反抢成功                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
2'曹赟定防守的时候将孙可推倒                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
3'达迪前场边路接球的时候越位了                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
4'刘建业禁区前沿胸部停球后直接撩射，球是稍稍打偏！                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
4'埃雷尔森中场头球争顶下来                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
5'任航左路下底被王寿挺拉倒                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
5'舜天队底线附近获得角球机会                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
12'陆博飞来主罚                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
12'陆博飞点球打左路，王大雷判断错了方向                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
13'柏佳骏左路拿球到了禁区内                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
13'回敲被孙可碰出底线                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
13'申花获得角球机会                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
14'角球给到禁区内，邓小飞出击击球被撞倒                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
14'裁判判了申花队冲撞门将犯规                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
14'孙可前场的横传失误了                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
15'徐亮中场长传打到前场                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
15'塔吉耶夫将球护出底线                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
15'舜天队还是打右路                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
15'孙可将球给到中路                   12'第12分钟申花获得左路角球机会，徐亮开出，邓小飞在达迪头顶上把球打出危险地带
17'舜天队中场长传打到边路                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
17'陆博飞头球顶了一下送到禁区内                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
17'王大雷出击将球得到                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
17'舜天队中场又断球了                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
