4'后场鲁能泰山队得球左路进攻                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
4'王永珀在前场得球，外围一脚劲射！！！稍稍偏了一点！                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
5'大连阿尔滨长传球，麦克格文大脚解围                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
6'罗申巴克左路突破到禁区内，打门被挡出，在禁区内再反抢犯规                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
6'场地内出现了个塑料袋，裁判在捡拾                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
7'鲁能泰山队开球到前场，杨旭快速插上，对方将球破坏出边线                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
7'界外球发出来，马塞纳回传，王彤横传球失误                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
7'乌塔卡快速突破，还好王彤回防速度快                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
14'界外球发出来，鲁能泰山队中路快速反击                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
14'大连阿尔滨长传禁区，对方解围                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
15'大连阿尔滨长传球，杜威解围不远                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
16'大连阿尔滨外围远射，被耿晓锋没收                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
16'中场大连阿尔滨得球左路突破直传，鲁能泰山队压出来造越位                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
17'后场鲁能泰山队大脚长传，吕征在前场右路接球抬腿过高！                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
17'大连阿尔滨右路长传，对方把球破坏                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
17'王永珀后场得球要打反击，罗申巴克战术犯规                   14'第14分钟，乌塔卡禁区内接赵和靖传中准确停球，在准备突破对方后卫时被鲁能球员率先解围
18'后场任意球发出来，马塞纳接球出界                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
18'陈涛中路突破被崔鹏放倒！！任意球                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
19'这个任意球的位置非常危险                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
19'陈涛站在球前                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
20'陈涛直接打门打在人墙上弹回来，再打门被破坏                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
