11'莫雷诺和王长庆后场切传配合失误                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
12'布鲁诺断球，与卡巴雷罗作出踢墙配合                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
12'布鲁诺25米外冷射，球偏出球门                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
12'申花后场投掷界外球                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
13'托兰佐长传出来，莫雷诺被栗鹏挡在了身后                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
14'王长庆右路直传，哈蒂布传中，球滑门而过                   11'第11分钟青岛前锋布鲁诺前场带球强突中突然起远射打偏
17'卡巴雷罗身后踢人犯规，黄牌警告                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
17'莫雷诺中路背身回作，托兰佐分边，王长庆传中                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
17'达迪在栗鹏的卡位下没能碰到球                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
19'乔尔右边路拿球，突破传中，李建滨将球挡出了底线                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
20'柏佳骏直传找莫雷诺，后者停球时手球犯规了                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
20'达迪前场中场强行突破，栗鹏身后拉人犯规                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
20'禁区弧顶申花获得了任意球机会                   17'第17分钟王长庆右路传中，达迪飞身冲顶，但被栗鹏腾身飞起抢先将球解围
26'中能开出角球，直接出了底线                   26'第26分钟托兰佐扎紧护腿板的绷带松了，他到场边紧急包扎结实
27'托兰佐到场边处理小腿上的松掉的绷带                   26'第26分钟托兰佐扎紧护腿板的绷带松了，他到场边紧急包扎结实
28'申花长传找达迪，争抢头球时梅尔坎被达迪的手臂打中面部                   26'第26分钟托兰佐扎紧护腿板的绷带松了，他到场边紧急包扎结实
29'梅尔坎被抬到场边治疗                   26'第26分钟托兰佐扎紧护腿板的绷带松了，他到场边紧急包扎结实
33'左兰佐中线附近突破，直传找哈蒂布，球碰到防守队员身后反弹到了莫雷诺                   32'双方都在艰难的寻找得分机会，第32分钟申花右路获得不错机会，但哈蒂布的沉底传中却给到中能队员脚下
33'郭亮补防将球破坏出去                   32'双方都在艰难的寻找得分机会，第32分钟申花右路获得不错机会，但哈蒂布的沉底传中却给到中能队员脚下
34'哈蒂布右边路突破，底线角球处回传，可惜中路无人包抄                   32'双方都在艰难的寻找得分机会，第32分钟申花右路获得不错机会，但哈蒂布的沉底传中却给到中能队员脚下
34'宋文杰左路拿球，传中球，戴琳将球破坏出了底线                   32'双方都在艰难的寻找得分机会，第32分钟申花右路获得不错机会，但哈蒂布的沉底传中却给到中能队员脚下
38'中能右路快速反击，姚江山传中找卡巴雷罗，后者头球没顶好                   38'第38分钟布鲁诺背身接右路乔尔传球，他快速转身随即左脚抽射，王大雷倒地把球扑住
39'姚江山左路过掉了战怡麟，右脚交传真射，被李建滨挡出了底线                   38'第38分钟布鲁诺背身接右路乔尔传球，他快速转身随即左脚抽射，王大雷倒地把球扑住
39'中能开出战术角球，宋文杰传中，球趟大了                   38'第38分钟布鲁诺背身接右路乔尔传球，他快速转身随即左脚抽射，王大雷倒地把球扑住
40'乔尔右边路低平球，布鲁诺中路停球调整，低射被王大雷没收                   38'第38分钟布鲁诺背身接右路乔尔传球，他快速转身随即左脚抽射，王大雷倒地把球扑住
40'中能有球员倒在地上                   38'第38分钟布鲁诺背身接右路乔尔传球，他快速转身随即左脚抽射，王大雷倒地把球扑住
42'中能队长郭亮倒在地上                   42'第42分钟申花险些得分，哈蒂布右路传中，达迪中路跃起头球，皮球砸在门柱上弹下
42'王长庆后场起球，刘震理出击将球摘下                   42'第42分钟申花险些得分，哈蒂布右路传中，达迪中路跃起头球，皮球砸在门柱上弹下
44'哈蒂布右边路传中，达迪头球甩门，击中横梁弹出                   42'第42分钟申花险些得分，哈蒂布右路传中，达迪中路跃起头球，皮球砸在门柱上弹下
45'托兰佐开出角球，双方都没有争到第一点                   42'第42分钟申花险些得分，哈蒂布右路传中，达迪中路跃起头球，皮球砸在门柱上弹下
45'莫雷诺禁区左侧迎球抽射，球踢飞了                   42'第42分钟申花险些得分，哈蒂布右路传中，达迪中路跃起头球，皮球砸在门柱上弹下
46'乔尔刚刚被带到，倒地表情相当痛苦                   46'第46分钟，达迪远射高出门楣
47'中能换人：乔尔下，换上朱建荣                   46'第46分钟，达迪远射高出门楣
48'伸花反击，达迪中场附近拿球，直接远距离吊射                   46'第46分钟，达迪远射高出门楣
48'学小贝吗？球偏出很多......                   46'第46分钟，达迪远射高出门楣
46'下半场比赛开始                   46'第46分钟，达迪远射高出门楣
47'托兰佐左路拿球，横传后直塞，球趟大了，哈蒂布没有拿到                   46'第46分钟，达迪远射高出门楣
48'戴琳后场起球，莫雷诺头球摆渡，刘震理出击将球没收                   46'第46分钟，达迪远射高出门楣
50'中能右边路直传，宋文杰拿球强行突破                   50'第50分钟青岛姚江山开出左路角球，前点栗鹏头球摆渡到后点，朱建荣精彩的侧身凌空抽射中柱弹出
50'柏佳骏将球铲出边线                   50'第50分钟青岛姚江山开出左路角球，前点栗鹏头球摆渡到后点，朱建荣精彩的侧身凌空抽射中柱弹出
51'宋文杰前场头球摆渡，布鲁诺第一下没停好球                   50'第50分钟青岛姚江山开出左路角球，前点栗鹏头球摆渡到后点，朱建荣精彩的侧身凌空抽射中柱弹出
52'戴琳解围将球交还给了布鲁诺，后者拿球低射，球被王大雷挡出                   50'第50分钟青岛姚江山开出左路角球，前点栗鹏头球摆渡到后点，朱建荣精彩的侧身凌空抽射中柱弹出
53'姚江山角球开到前点，栗鹏头球后蹭，朱建荣后点凌空抽射，球击中横梁弹出                   50'第50分钟青岛姚江山开出左路角球，前点栗鹏头球摆渡到后点，朱建荣精彩的侧身凌空抽射中柱弹出
