7'伊萨克边路拿球，被跟防的葛振推倒                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
7'张文钊中路拿球，趟开防守队员，远射打高！                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
8'两队在中场连续争高球                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
8'赵明剑右路接应，球停大了被姜至鹏破坏出边线                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
8'伊萨克禁区内头球回敲，雷泽克跟上接应慢了                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
9'张笑飞左路拿球，球被刘俊楠破坏出界                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
9'埃尼奥中场拿球，远射被刘殿座直接扑住                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
9'闫峰中场拿球推进，交给雷泽克                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
10'雷泽克低传被封堵了                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
10'张永海长传找反击被王万鹏顶出界外                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
10'葛振右路助攻，敲禁区前，毛剑卿拿球拉开角度，远射打偏！                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
14'曹添堡斜传禁区，没有队友包抄                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
14'葛振长传直接给出了边线                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
14'闫峰中场拿球，回敲身后队友                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
15'赵明剑禁区线上拿球，转身射门比较正，被刘殿座扑住                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
15'马罗内中场拿球转身，闫峰铲球犯规了                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
16'马罗内斜传禁区，赵明剑内收头球解围                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
16'毛剑卿推左路，助攻上来的姜至鹏直接斜射打偏！                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
17'伊萨克前场护球，绕开双人包夹把球转移出去                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
17'赵明剑右路传中，后点葛振解围                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
17'闫峰拿球分右路，没有向前的机会                   14'第14分钟长春队连续配合渗透，但赵明剑在禁区线上仓促射门，被刘殿座稳稳接住
18'埃尼奥斜传右路身后，赵明剑下底倒三角传回被于涛抢断                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
18'王赟回撤接应，闫峰背后犯规了                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
18'毛剑卿右路拿球过掉伊斯梅洛夫，传中去后点大了                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
19'张文钊右路拿球内切，没有射门机会回敲                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
19'埃尼奥迎球直接远射打了飞机                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
19'张永海争顶扛倒了伊萨克犯规                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
20'埃尼奥离门很远的任意球直接远射被刘殿座扑出                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
20'亚泰进球了！！！                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
20'进球的是张文钊！！！                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
21'埃尼奥任意球被扑出，外围张文钊接队友横敲，禁区内打门经折射入网！                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
21'申鑫0-1落后亚泰！                   18'第18分钟长春队反击到前场，张文钊将球回传，埃尼奥直接25米外远射高出
22'雷泽克左路拿球，伊萨克接应转移出了底线                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
22'安东尼奥前场拿球，直塞被王万鹏解围                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
