18'双方在场上的拼抢非常积极，吕鹏受伤倒地                   18'第18分钟，吕鹏就在拼抢中连续受伤难以坚持，金强换下吕鹏
18'大连阿尔滨准备换人呀，金强在场边做着热身活动                   18'第18分钟，吕鹏就在拼抢中连续受伤难以坚持，金强换下吕鹏
19'大连阿尔滨后场控球，转移到于大宝的却　，再回传给陈涛，张佳祺再转移球被拦截了                   18'第18分钟，吕鹏就在拼抢中连续受伤难以坚持，金强换下吕鹏
20'大连阿尔滨换人：金强上场换下了吕鹏                   18'第18分钟，吕鹏就在拼抢中连续受伤难以坚持，金强换下吕鹏
21'大连阿尔滨右路传中，布鲁诺绕过了阿多趟球趟大了些，球被门将得到                   18'第18分钟，吕鹏就在拼抢中连续受伤难以坚持，金强换下吕鹏
24'上海上港队中场控球，交给阿多，再转移到王燊超的脚下                   23'第23分钟，上港第一脚有效射门就取得进球，汪佳捷左路直塞，打算传给前方等待的海森，这球传得有点大，海森想去够球但没够到，但海森做得这个动作却让晋鹏翔吃了一晃，原本卡住身位的晋鹏翔没有碰到球
24'上海上港队进球，海森！                   23'第23分钟，上港第一脚有效射门就取得进球，汪佳捷左路直塞，打算传给前方等待的海森，这球传得有点大，海森想去够球但没够到，但海森做得这个动作却让晋鹏翔吃了一晃，原本卡住身位的晋鹏翔没有碰到球
25'上海上港队左路推进，汪佳捷突破传球，横敲到禁区内，小禁区线上海森打门球进                   23'第23分钟，上港第一脚有效射门就取得进球，汪佳捷左路直塞，打算传给前方等待的海森，这球传得有点大，海森想去够球但没够到，但海森做得这个动作却让晋鹏翔吃了一晃，原本卡住身位的晋鹏翔没有碰到球
33'布鲁诺左路的传中球被顶出来，上海上港队控球快速打反击，一脚直塞打身后                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
33'上海上港队进球！                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
34'上海上港队中场抢断，王佳玉中路直塞，武磊接球面对出击的门将挑射破门                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
34'比赛进行35分钟，上海上港队2－0领先大连阿尔滨！                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
35'互动：35分钟进两粒球，大家猜猜本场比赛还会有进球吗？A.有　B.没有[qiangda]                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
