4'程月磊发门球到前场，对方断球                   1'第1分钟两队球员在场上拼抢十分激烈，但场面上精彩不足
4'中场广州富力队断球，左路长传球，进攻队员争抢犯规                   1'第1分钟两队球员在场上拼抢十分激烈，但场面上精彩不足
25'奥拉纳尔伤得更重一些，他发力打门被放倒，队医进场为其治疗                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
26'张佳祺没有问题啦，重新上场比赛                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
26'广州富力队的传球不错，跟上队员劲射被挡了一下出底线                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
27'卢琳发角球到禁区内，对方抢点顶出来                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
27'朴钟佑接球大力远射，打在对方身上                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
28'周通带球到前场，斜传球到后点，陈涛没能追上，直接出底线                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
28'这个球给得稍大了一点                   25'第25分钟，阿尔滨在中场位置出现传球失误，阿隆在最后起脚射门瞬间，巴克曼和张佳祺同时滑铲，阿隆和张佳祺双双痛苦倒地
31'大连阿尔滨的绝对机会！！索拉里接队友传球，突破到禁区直面守门员的打门居然打偏！                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
31'从慢镜来看，索拉里这次有越位啊，但助理裁判并没有吹                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
32'前场大连阿尔滨断球，左路直传，周通越位！                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
33'孙国文后场断球，想打快速反击，可惜到中场被断                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
33'周通左路拿球，无法转身，把球回传给赵宏略                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
33'大连阿尔滨长传球，索拉里把球争顶下来，周通直传球被挡出边线                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
34'界外球发出来，大连阿尔滨传球失误，球出边线                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
34'唐淼中场右路铲球前传，被周通踢到了腿上！                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
34'腿上还有鞋钉的印呢！这下不轻                   31'大连阿尔滨在第31分钟错失良机，索拉里接队友妙传形成单刀，突入禁区后面对出击的门将程月磊选择劲射远角，球擦门柱飞出底线
45'张贤秀上抢，踩到了周通，大连阿尔滨得到前场左路任意球机会                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
45'任意球发到禁区内，几名队员跳起来争顶，皮球弹地出底线                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
46'大连阿尔滨上前与裁判理论，认为张耀坤有拉人动作                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
46'上半场比赛结束，双方都没能进球！战成0-0！                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
46'下半场比赛开始                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
46'大连阿尔滨后场转移左路，大脚长传进攻                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
46'这脚长传球有些盲目，对方把球破坏出边线                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
47'大连阿尔滨明显加强了进攻                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
47'周通左路横传禁区，对方抢点破坏                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
47'奥拉纳尔中路带球进攻，贝克曼连拉带抱，将奥拉纳尔放倒                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
48'任意球发出来，卢琳外围一脚劲射，被挡了一下偏出底线，角球                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
48'卢琳发角球到禁区内，跟上队员打门偏出                   45'”第45分钟，阿尔滨右路出现盯人失误，张远底线附近回传门前，王小龙跟进推射，球击中了球门的边网
46'大连阿尔滨上前与裁判理论，认为张耀坤有拉人动作                   46'经过1分钟伤停补时，两队上半场比赛结束
46'上半场比赛结束，双方都没能进球！战成0-0！                   46'经过1分钟伤停补时，两队上半场比赛结束
46'下半场比赛开始                   46'经过1分钟伤停补时，两队上半场比赛结束
46'大连阿尔滨后场转移左路，大脚长传进攻                   46'经过1分钟伤停补时，两队上半场比赛结束
46'这脚长传球有些盲目，对方把球破坏出边线                   46'经过1分钟伤停补时，两队上半场比赛结束
47'大连阿尔滨明显加强了进攻                   46'经过1分钟伤停补时，两队上半场比赛结束
47'周通左路横传禁区，对方抢点破坏                   46'经过1分钟伤停补时，两队上半场比赛结束
47'奥拉纳尔中路带球进攻，贝克曼连拉带抱，将奥拉纳尔放倒                   46'经过1分钟伤停补时，两队上半场比赛结束
48'任意球发出来，卢琳外围一脚劲射，被挡了一下偏出底线，角球                   46'经过1分钟伤停补时，两队上半场比赛结束
48'卢琳发角球到禁区内，跟上队员打门偏出                   46'经过1分钟伤停补时，两队上半场比赛结束
49'大连阿尔滨左路攻到前场，直传禁区，索拉里越位                   46'经过1分钟伤停补时，两队上半场比赛结束
47'大连阿尔滨明显加强了进攻                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
47'周通左路横传禁区，对方抢点破坏                   47'第47分钟，巴克曼在防守阿隆时采取战术犯规，领到了全场比赛的第一张黄牌
