1'上半场比赛开始！                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
1'首先开球的是贵州人和                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
1'人和后场拿球被断球                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
1'上港往里突破的时候自己失误了                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
2'人和攻到前场                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
2'汉克禁区外围的远射将球打偏                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
3'人和后场长传直接送到了上港脚下                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
3'人和进球了！！！                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
3'闪电战啊                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
4'杨一虎！！                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
4'人和中场直接传球送空挡，杨一虎插上后跟对方球员拼速度，禁区内，杨一虎先出一脚推射将球打进                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
15'王佳玉任意球开出来，落点并不好                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
16'杨一虎右路带球横向走                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
16'禁区外围打远射将球打高了                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
16'上港中场拿球分到右路                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
16'右路送直塞被萨利解围                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
16'上港这边攻势渐渐起来了                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
17'上港后场拿球往前推进                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
18'人和的防守也是让上港的进攻有些费劲                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
18'萨利后场的解围打在进攻球员身上出了边线                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
18'上港这边前场断球                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
18'卡里里禁区弧顶带球没有过去                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
18'人和左路拿球                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
18'起球送后点                   15'第15分钟，贵州人和发出边线球，杨一虎得球后拿球横带在禁区外突然尝试一脚远射，但打飞了
