1'曹海清将球处理出底线,长春亚泰获得角球.                   1'第1分钟亚泰队反客为主连续发动攻势
1'长春亚泰球员阎峰大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是埃尼尼奥.                   1'第1分钟亚泰队反客为主连续发动攻势
3'杭州绿城球员冯刚手球犯规,对手获得球权.                   1'第1分钟亚泰队反客为主连续发动攻势
4'射门!!!长春亚泰球员伊格莱西亚斯大禁区中央头球,被对方守门员横身扑出.给他传球的是埃尼尼奥.                   1'第1分钟亚泰队反客为主连续发动攻势
4'射门!!!长春亚泰球员伊格莱西亚斯大禁区中央头球,被对方守门员横身扑出.给他传球的是埃尼尼奥.                   4'第4分钟又是埃尼奥送出精准传球，瓦尔特头球攻门被对方门将横身扑出
7'长春亚泰球员张笑飞拼抢犯规,对手获得控球权.                   4'第4分钟又是埃尼奥送出精准传球，瓦尔特头球攻门被对方门将横身扑出
7'马塞纳为杭州绿城在右路,赢得一个任意球.                   4'第4分钟又是埃尼奥送出精准传球，瓦尔特头球攻门被对方门将横身扑出
11'长春亚泰球员阎峰拼抢犯规,对手获得控球权.                   11'第11分钟曹海清左路下底连续晃动后的传中制造角球，绿城角球划到中路双方均将球漏过
11'马塞纳为杭州绿城在对方半场,赢得一个任意球.                   11'第11分钟曹海清左路下底连续晃动后的传中制造角球，绿城角球划到中路双方均将球漏过
12'吕建军将球处理出底线,杭州绿城获得角球.                   11'第11分钟曹海清左路下底连续晃动后的传中制造角球，绿城角球划到中路双方均将球漏过
12'阎峰将球处理出底线,杭州绿城获得角球.                   11'第11分钟曹海清左路下底连续晃动后的传中制造角球，绿城角球划到中路双方均将球漏过
16'杭州绿城球员马塞纳大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   16'第16分钟马塞纳大禁区外尝试右脚射门，可惜皮球高出右上角
17'长春亚泰球员李晓挺拼抢犯规,对手获得控球权.                   16'第16分钟马塞纳大禁区外尝试右脚射门，可惜皮球高出右上角
17'臧一锋为杭州绿城在对方半场,赢得一个任意球.                   16'第16分钟马塞纳大禁区外尝试右脚射门，可惜皮球高出右上角
18'杭州绿城球员冯刚大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Luo Jing.                   16'第16分钟马塞纳大禁区外尝试右脚射门，可惜皮球高出右上角
19'杭州绿城球员臧一锋一脚直塞球给Luo Jing,但是边裁举旗显示后者已经越位.                   16'第16分钟马塞纳大禁区外尝试右脚射门，可惜皮球高出右上角
21'杭州绿城球员谢鹏飞大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Luo Jing.                   21'第21分钟罗竞再次送出妙传，外围插上的谢鹏飞远射偏出
22'伊格莱西亚斯为长春亚泰在右路,赢得一个任意球.                   21'第21分钟罗竞再次送出妙传，外围插上的谢鹏飞远射偏出
22'杭州绿城球员吴航拼抢犯规,对手获得控球权.                   21'第21分钟罗竞再次送出妙传，外围插上的谢鹏飞远射偏出
24'长春亚泰埃尼尼奥受伤倒地,比赛暂停                   21'第21分钟罗竞再次送出妙传，外围插上的谢鹏飞远射偏出
