5'安德烈齐尼奥也是禁区弧顶附近尝试一脚远射，但没有什么威胁                   3'第3分钟，多利接后场长传头球摆渡，谭龙禁区内小角度凌空抽射稍微打高
6'曾经沧海3757 :又是琪琪，不累？--不累 不累 嘿嘿                   3'第3分钟，多利接后场长传头球摆渡，谭龙禁区内小角度凌空抽射稍微打高
6'双方节奏都挺慢的                   3'第3分钟，多利接后场长传头球摆渡，谭龙禁区内小角度凌空抽射稍微打高
6'双方目前都处在降级区啊                   3'第3分钟，多利接后场长传头球摆渡，谭龙禁区内小角度凌空抽射稍微打高
6'曾经沧海3757 :又是琪琪，不累？--不累 不累 嘿嘿                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
6'双方节奏都挺慢的                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
6'双方目前都处在降级区啊                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
7'卑鄙的海绵宝宝 :估计这样安排赛程是考虑到哈尔滨的天气问题 那适合踢球的季节实在是太少了---但这样到底合理不啊                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
7'亚当休斯中场抢断寻求反击，但传球被利马断掉                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
8'曾经沧海3757 :琪琪下次主播恒大好吗?----我得听老大的  嘿嘿                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
8'多利快速反击，右路传中时被阿里汉挡出                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
9'尘埃落定灬醉殇 :是阿里汗，而不是阿里汉。。啥时候主教练也上场了？？？---嘿嘿 反正是音译吗                    6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
9'苑维玮传中，周海滨头球被门将挡出                   6'第6分钟，毅腾左侧 打出反击，谭龙突破后分球，罗德瑞格在禁区外一脚远射力量不足被宗垒得到
11'毅腾前场逼得很凶啊                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
11'里卡多铲倒了烈鸟犯规了                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
12'白岳峰左路传中，但球传太大了，周海滨没有追到                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
12'停止呼吸的鱼 :应该叫阿里砍吧---哈哈哈                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
12'小宣Henry :里斯本竞技--棒！！                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
12'泰达还是牢牢控制局面的                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
13'苑维玮右路传中，第一点被王大龙挡出底线                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
13'泰达又获得一个角球，杜震宇主罚                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
14'角球开到后点，第一点被防守球员控制住，但往前大脚时出现了失误                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
14'皮球还是控制在泰达脚下                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
14'[qiangda]亚泰目前排名第几？                   11'第11分钟，白岳峰右路下底传中被后卫挡出底线
16'恭喜以下用户获得直播室会员资格: lsp710226                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
17'郭浩左路挑传给瓦伦西亚，禁区内瓦伦西亚球停大了，被李旭东破坏出底线                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
17'第一点被后卫顶出，泰达仍在控制                   16'第16分钟， 天津队左路长传，瓦伦西亚杀入禁区停住皮球，但李旭东回防及时将球捅出底线
