5'汪嵩发角球到禁区内，后点啊，头球顶门，偏出                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
5'乌索在向裁判示意对方拉人犯规！！                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
5'洛维拿球，交给金敬道                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
6'赵明剑直传球，突破横传，太靠后了啦！                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
7'阿甘左路带球到前场，横带打门偏出                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
7'鲁能泰山队右路进攻，石柯把球破坏                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
7'前场界外球机会                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
7'赵明剑右路接球下底横传，被挡出来                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
8'中场乌索断球，分到左路进攻                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
8'鲁能泰山队右路直传球，对方破坏出边线                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
8'界外球发出来，长传前场左路，刘彬彬接球回传                   5'第5分钟，汪嵩角球旋入禁区，石柯力压乌索头球攻门，球稍稍偏出立柱
11'林在前场断球，横传门前，拉蒙抢点捅射，打高！                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
11'好危险啊！                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
11'杭州绿城队断球，阿甘横传禁区！！悬啦，跟上队员打门险些破门！                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
12'杨程把球打出来！！立功啦！                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
12'必进之球！                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
12'在乎你的在3121094472：蒿俊敏怎么没上？回复[在替补名单，可能考虑周中亚冠吧！]                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
13'红魔vs白热 ：自古都知道国安一，鲁能二，说的是球迷素质。回复[评论的没错，素质都很高！没有国骂就更好啦]                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
13'鲁能泰山队中路攻到前场，三角配合，直传禁区被解围                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
14'左路刘彬彬斜传禁区，直接送给了顾超                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
14'赵明剑中场断球，右睡直传球                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
14'张文钊接球，被曹海清放倒在地                   11'第11分钟，杭州绿城错失机会，冯刚断球成功直接送入禁区，拉蒙飞身凌空打门高出
15'张文钊发任意球到禁区内，阿洛伊西奥抢点劲射，打在立柱弹回来！！打在了阿洛伊西奥身上出底线啦！！                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
15'可惜了了！                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
15'假和尚：鲁能这是肿么了？总是让人不放心。老长时间不敢看鲁能的比赛了。回复[这么不关心啊！]                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
16'乌索传球，张文钊抢点劲射，打偏啦！！                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
16'鲁能泰山队在顶住对方的三板斧后，进攻有起色啦！！                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
16'阿洛伊西奥直传球，给了张文钊                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
17'张文钊底线突破横传，想造角球，没能成功                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
17'中场鲁能泰山队断球，转移到右路                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
17'赵明剑下底横传门前，靠近守门员啦，顾超没收！                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
18'顾超大脚开球到中场，杭州绿城队组织进攻                   15'第15分钟，山东鲁能获得任意球，张文钊突然射向前点，戴琳转身打门未能碰到，但是身后杀出的阿洛伊西奥接力打门，球击中立柱弹出
