1'主裁判一声哨响，上半场比赛开始                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
1'辽宁宏运队身穿红色上衣，黑色短裤                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
1'上海申鑫队身穿白色战袍                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
2'Still俊9619:46怎么这么冷清呢？回复：放假了，都去现场了吗？嘿嘿                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
2'辽宁宏运队后场控球，直接长传球到前声，拦截了                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
2'耶夫蒂奇反抢时犯规～                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
3'上海申鑫队控球反击，走中路渗透，球转移到左侧                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
3'查尔顿分球给杨家威，再传球                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
3'上海申鑫队大范围转移球，于涛的长传球，刘峻楠非常积极，跑到位置了，不过顶球出了底线                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
4'辽宁宏运队控球，詹姆斯传球为本队赢得角球机会                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
4'肇俊哲来主罚角球                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
4'角球开前点被对方头球破坏出来                   1'第1分钟双方似乎还没从上周的联赛里恢复过来，步调都比较缓慢
10'张野阻挡犯规送给了上海申鑫队一个前场左侧的任意球机会                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
11'王赟来主罚任意球，开到禁区内，还是没有过对方的冲顶队员，球被破坏出来                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
11'刘峻楠的长传球被于涛拦截下来                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
11'上海申鑫队断球，走左路推进，杨家威的左路传球被挡出来                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
11'杨家威左侧继续控球，直塞球，队友没前插                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
12'辽宁宏运队的进攻赢得一个前场左侧的任意球机会                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
13'任意球开到禁区内，第一点被防守队员抢到破坏出来                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
13'辽宁宏运队外围继续控球，走左路进攻                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
13'双方在中场的拼抢中～张野犯规，放倒了叶重秋                   10'开场头10分钟，辽宁队在整体进攻态势上做得比申鑫到位，但除了定位球要多一些之外，也找不到实质威胁申鑫的地方
16'上海申鑫队中场倒脚，王赟分球给于涛，再转移到乔尼的脚下                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
16'上海申鑫队耐心的倒脚来寻找机会                   16'第16分钟雅伊尔顿和姜嘉俊前场连续传球，但姜嘉俊禁区内最后一脚喂给刘俊楠的球被肇俊哲破坏
