5'恒大淘宝的控球，刘健交给弋腾                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
5'弋腾长传，张耀坤顶到第一点                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
5'姜至鹏过顶长传，回追中邹正头球点给曾诚                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
5'刘健的组织，郑龙接应分给梅方                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
6'梅方交给刘健，转移左翼的李学鹏                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
6'张佳祺长传到禁区，郑龙斜插上来甩头吊射，球顶偏了                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
6'恒大淘宝中场防守犯规                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
6'张耀坤长传上来，梅方顶到中场                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
6'米切尔得球，分左翼的姜至鹏                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
7'姜至鹏看准了传中打在了刘健的手上                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
7'富力获得一个底线前一点的任意球机会                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
7'汪蒿准备主罚                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
8'汪蒿弧线球送到后点，阿隆争顶蹭薄了，球出底线                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
8'张佳祺交给刘健，交给弋腾                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
8'再回给刘健，长传前场右路，姜至鹏顶到第一点出边线                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
8'梅方掷向禁区，张贤秀大脚开出                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
8'外围邹正40米外的远射，打嗤了                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
20'梅方长传到弧顶处，张耀坤将球解围出边线                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
20'郑龙过来接应被米切尔推倒在地                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
20'恒大淘宝获得一个前场左路的任意球机会                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
20'郑龙与刘健站在球前                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
21'郑龙的传中被朴钟佑头球解围                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
21'外围邹正斜传上来，郜林横敲，接应的队友越位了                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
22'唐淼与常飞亚二过一配合，李学鹏转身快将球踢出边线                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
22'米切尔右路下底传中，梅方后点将球垫出底线                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
22'富力前场左路的角球机会                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
23'汪蒿传后点，刘健头球解围                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
23'朴钟佑第二点拿球转移向左路，汪蒿正在往回跑                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
23'李学鹏交给邹正，张佳祺接应                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
23'王上源过渡给邹正回传给李学鹏再转移给弋腾                   20'第20分钟恒大在富力门前掀起乱战，郜林接刘健传球，近距离怒射被刘殿座扑出，但此时哨声响起，刘健越位在先
35'还是邹正控球，转移到右路                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
35'弋腾的传球，梅方胸部停球出边线                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
35'这球是弋腾给的力量太大了                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
35'米切尔长传到前场，弋腾轻松将球顶给梅方                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
35'刘健接应交给邹正                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
35'郑龙来突，没有成功                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
36'常飞亚带球，没有看人，被刘健拦截                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
36'刘健的直传，汪蒿铲断                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
36'阿隆接应转移到左路，姜宁回传给汪蒿                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
36'汪蒿突进被梅方铲出边线                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
