1'上半场比赛开始！                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
1'首先开球的是江苏舜天                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
1'比赛一上来，舜天往左侧转移的时候失误了                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
1'国安队左路送直塞到禁区内                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
1'张思鹏出击将球拿到                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
1'国安队中场控球给到右路                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
1'马季奇将球分到了右路                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
2'陈志钊右路突破到了禁区里                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
2'没有传出来                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
2'李运秋拿球在往禁区里走                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
2'底线的横敲被破坏出了底线                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
2'国安队角球机会                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
2'角球送前点，舜天大脚将球解围出边线                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
3'国安队右路在打过来                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
3'舜天这边防守有些大意啊                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
3'邵佳一左侧拿球往禁区里送                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
3'这球传的有些盲目                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
4'马季奇中场一次成功的断抢                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
4'萨米尔边线附近将球反抢回来                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
4'界外球出来，国安队很快将球反抢                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
4'孙可中场一次凶狠的拼抢险些断掉                   1'阵容大幅轮换的国安第1分钟反客为主，率先通过右路冲击对舜天防线施加了压力
23'国安队前场边路传球失误                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
23'舜天挑传打身后                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
23'吴曦这边前插后形成了单刀！！                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
23'面对出击的杨智，打门被扑了出去！！                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
23'舜天这球比较可惜啊                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
24'国安队这边反击赢得角球机会                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
24'角球送前点，再次被破坏出底线                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
24'国安队继续角球机会                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
24'角球送中路，张思鹏出击将球碰到                   23'舜天在第23分钟形成极具威胁的攻势，埃斯库德罗中场挑传策动快攻，吴曦中路前插形成单刀球，其禁区内面对门将攻门被杨智封出
