4'胡人天把球拿好，回给周海滨                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
4'周海滨再送直塞，胡人天越位了                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
4'富力大脚开到前场，泰达迅速把球拿下来，打长传                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
4'烈鸟中圈给过顶，胡人天再次越位                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
4'今天泰达的球员显得很兴奋，进入状态很快                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
5'富力防守上对烈鸟的限制很松啊，烈鸟开场已经送了两次威胁传球                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
6'巴尔克斯右路得球，自己选择强行远射，打的有些离谱                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
7'姜宁拿球，往中路交，右路唐淼上来，和卢琳做配合                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
7'唐淼在往禁区内渗透，线路过于明显，被聊博超断下                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
7'富力再换左路来攻，卢琳很活跃，下底传中被卢卡斯挡出边线                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
11'泰达中场传递失误，富力的反击机会                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
11'卢卡斯迅速回防，把卢琳放倒在地                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
11'富力前场的定位球机会，汪嵩主罚                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
12'汪嵩的球罚的很叼，禁区内没人碰到，但弹地之后直窜大门，被杜佳侧扑挡出底线                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
13'汪嵩的任意球功夫在国内球员里还是数的着的                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
13'左侧的角球，给出来，给的比较低，前点被解围出来                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
14'吕伟后场交给左侧的白岳峰，在向前推进                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
14'泰达的传球被防守队员碰了一下后险些变成妙传，刘殿座出来大脚解围                   11'第11分钟，汪嵩 前场任意球直接旋入禁区直奔后角，姜宁卢琳双鬼拍门但都没有碰到皮球，杜佳反应神速单掌将反弹球封出底线 
16'姜至鹏左路的防守在身后踢翻胡人天，得到黄牌                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
16'烈鸟主罚，这个球位置不错                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
16'烈鸟把球搓进去，张贤秀第一点解围出来                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
16'外围王秋明来上一脚，想法不错，可惜踢高了                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
17'这种有前途的年轻人，就是要敢打敢拼                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
18'姜宁右侧控球，对方逼抢非常凶，姜宁把球传丢了                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
18'李本舰中路得球，转移给左路接应的巴尔克斯                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
18'巴尔克斯往中路传，王秋明把球丢掉                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
19'富力守转攻，米歇尔交姜宁                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
19'姜宁右路斜长传，禁区内哈默德努力的追，但是给高了，杜佳轻松得到                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
19'主场作战的泰达还是占据了场上的主动，富力今天看上去斗志不足啊                   16'第16分钟，姜至鹏背后扫倒胡人天吃到黄牌
