5'吴曦为江苏舜天赢得一个任意球                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
5'上海申花球员王寿挺拼抢犯规,对手获得控球权                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
6'李建滨将球处理出底线,江苏舜天获得角球                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
7'李昂角球开到后点，萨米尔抢点头球顶高了                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
8'申花的进攻，前场王赟转移左路                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
8'传禁区被围堵抢断下来                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
8'萨米尔重仓抢断直塞前场，二过一配合，萨米尔接应后单刀射门进球！                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
8'江苏1-0领先了                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
11'江苏上半场右路的进攻很有威胁啊                   10'第10分钟王赟后场得球回传过轻，帕帕还未来得及接球，吴曦从后火速接球冲击，帕帕和李建滨回追已经来不及，杀入禁区的吴曦怒射球门右上角得分，2比0
11'江苏又进球了！                   10'第10分钟王赟后场得球回传过轻，帕帕还未来得及接球，吴曦从后火速接球冲击，帕帕和李建滨回追已经来不及，杀入禁区的吴曦怒射球门右上角得分，2比0
11'江苏上半场右路的进攻很有威胁啊                   11'第11分钟李建滨在和埃斯库德罗拼抢时受伤倒地不起，还在问题不大
11'江苏又进球了！                   11'第11分钟李建滨在和埃斯库德罗拼抢时受伤倒地不起，还在问题不大
14'江苏舜天球员吴曦大禁区中央右脚射门,球从右下角飞进球门,球进了! 江苏舜天 2-0 上海申花.                   11'第11分钟李建滨在和埃斯库德罗拼抢时受伤倒地不起，还在问题不大
14'江苏舜天球员埃斯库德罗拼抢犯规,对手获得控球权.                   11'第11分钟李建滨在和埃斯库德罗拼抢时受伤倒地不起，还在问题不大
14'李建滨为上海申花赢得一个任意球                   11'第11分钟李建滨在和埃斯库德罗拼抢时受伤倒地不起，还在问题不大
15'上海申花李建滨受伤倒地,比赛暂停                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
15'暂停结束,球员们重新开始比赛                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
15'江苏舜天球员刘建业大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是吉翔                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
16'吉翔为江苏舜天赢得一个任意球                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
16'上海申花球员保罗-恩里克拼抢犯规,对手获得控球权                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
16'江苏舜天球员埃斯库德罗拼抢犯规,对手获得控球权.                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
17'帕帕多普洛斯为上海申花赢得一个任意球.                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
18'上海申花球员卡希尔大禁区外左脚射门,被防守球员封堵.给他传球的是保罗-恩里克                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
18'射门!!!江苏舜天球员埃斯库德罗大禁区外左脚射门,被对方守门员横身扑出.给他传球的是张思鹏.                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
18'吉翔将球处理出底线,上海申花获得角球.                   15'第15分钟王赟左路传中，恩里克接球外送，卡希尔怒射打在对方队员身上弹出
22'埃斯库德罗脚后跟给球到吴曦，吴曦跟进的突破，被围堵断下                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
22'吉翔挑传禁区，可惜没人接应，球被邱盛炯拿下                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
23'吴曦前场直塞没过去，球被捅出后球还是江苏拿到                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
24'萨米尔右路传中给埃斯库德罗俯身头球顶射，球打在埃斯库德罗手上，点球！裁判判了点球                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
24'萨米尔右路传中给埃斯库德罗俯身头球顶射，球打在对方手上，点球！裁判判了点球                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
25'萨米尔点球被邱盛炯扑出！比分还是2比0                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
