3'金敬道后场得球，韩德明抢球犯规                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
3'任意球发出来，鲁能泰山队大脚长传前场                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
4'王永珀在前场得球，一脚远射偏出                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
4'后场鲁能泰山队得球，左路大脚长传                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
4'阿洛伊西奥得球，吊门！！！高啦！                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
5'长春亚泰队攻到前场，对方断球反击                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
5'金敬道在对方紧逼防守下把球破坏出边线                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
5'马祖右路强突下底，逼得角球机会                   3'开场3分钟，山东鲁能制造威胁，王永珀禁区前沿停球后凌空抽射，球稍稍偏出立柱
46'长春亚泰队得到了点球机会                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
46'长春亚泰队也换了一名队员                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
46'下半场比赛开始                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
46'鲁能泰山队层层推进                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
46'中场鲁能泰山队长传禁区，金敬道抢球时对宋振瑜犯规                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
47'金敬道好勇猛啊                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
48'李微上半场的镜头不多！不过在后中场发挥也一定作用                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
48'后场鲁能泰山队得球，右路发动进攻                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
48'杨旭中场得球，伊斯梅洛夫抢球犯规                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
48'刘彬彬左路突破送球到禁区内前点，杨旭抢点捅射，宋振瑜扑出来！！                   46'补时第1分钟，刘彬彬中场送出斜长传，乌索禁区内晃过防守队员之后右脚射门，球被门将神勇挡出
48'李微上半场的镜头不多！不过在后中场发挥也一定作用                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
48'后场鲁能泰山队得球，右路发动进攻                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
48'杨旭中场得球，伊斯梅洛夫抢球犯规                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
48'刘彬彬左路突破送球到禁区内前点，杨旭抢点捅射，宋振瑜扑出来！！                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
50'刘彬彬与阿洛伊西奥在前场相撞！                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
51'蒿俊闵挑传球，阿洛伊西奥回传，王永珀抢点打门，没能打正部位！！                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
51'金敬道后场防守犯规                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
51'长春亚泰队得到前场任意球机会                   48'第48分钟，刘彬彬边路突破中送出妙传，杨旭跟进小角度射门被宋振瑜扑出
56'胡兹蒂罚点球！！被王大雷神勇扑出！！                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
56'鲁能泰山队长传球，对方把球控下来                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
53'长春亚泰队左路传球到禁区内后点，没有太好的机会                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
53'王永珀手臂又受伤啦                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
53'中场长春亚泰队断球，左路斜传禁区，韩德明抢点垫射，高出                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
54'这球还是对方破坏了了底线，长春亚泰队角球                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
54'角球发到禁区内，后点过渡，王永珀把球破坏                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
55'刘彬彬在前场接球突破到禁区内回传，队友接应斜传，杨旭打门，被对方破坏！！！                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
55'鲁能泰山队得到角球机会                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
55'鲁能泰山队进球啦！！阿洛伊西奥，2-1                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
56'长春亚泰队围住了裁判！！裁判告诉他们：别过来！！！                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
56'斐帅还是上前质问裁判！！吃到了黄牌                   53'第53分钟，王永珀防守时手掌再次受伤，多一人的长春亚泰趁机反击，但是极具穿透力的传中又被戴琳踢出底线
