1'上半场比赛开始！                   1'第1分钟双方持续拼抢对峙
1'首先开球的是贵州人和                   1'第1分钟双方持续拼抢对峙
1'国安队后场控球给到中路                   1'第1分钟双方持续拼抢对峙
1'国安队中场长传转移给到右路                   1'第1分钟双方持续拼抢对峙
1'这球给大了，张池明没有接到                   1'第1分钟双方持续拼抢对峙
2'人和后场拿球推进                   1'第1分钟双方持续拼抢对峙
2'中场附近被抢断                   1'第1分钟双方持续拼抢对峙
3'张稀哲边路拿球，回敲                   1'第1分钟双方持续拼抢对峙
3'陈杰中场拦截的时候拉人犯规                   1'第1分钟双方持续拼抢对峙
3'赵和靖边路上抢的时候犯规                   1'第1分钟双方持续拼抢对峙
4'尤里右路拿球人球分过到了底线                   1'第1分钟双方持续拼抢对峙
4'底线的传中被国安队解围出了底线                   1'第1分钟双方持续拼抢对峙
4'贵州人和队角球机会                   1'第1分钟双方持续拼抢对峙
10'马季奇跟对方对脚后被张烈拿到                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
10'今天于大宝是出现在了锋线                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
10'张稀哲左路接球到了禁区内                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
10'边路传球直接往近角飞去                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
10'这球最后是没有传好                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
11'国安队右路挑传威胁不大                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
12'比赛开始后，两队的节奏并不快                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
12'人和左路带球被马季奇抢断                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
12'国安队中场长传打到左路                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
12'张稀哲跟对方拼抢后得到一个角球机会                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
13'角球送前点，落点还是不好                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
13'贵州人和这边的反击也是没有打出来                   10'第10分钟，张池明抢断后策动快攻，张稀哲突入人和禁区左侧小角度挑传时偏出近角
19'贵州人和这边机会                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
19'1-0！！                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
19'尤里！！                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
20'贵州人和左路送直塞到禁区内，队友接球后推射被杨智扑了一下，球正好弹到跟进的尤里脚下，尤里顺势推空门得分！                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
21'这球杨智有一定的责任                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
21'饶伟辉这边受伤倒地                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
21'争抢头球的时候被碰了一下                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
22'国安队中场拿球给到中路                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
22'巴塔拉中场拿球被关门                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
22'贵州人和这边反击的机会                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
22'冯仁亮左路带球被雷腾龙干扰                   19'第19分钟，人和利用快攻取得入球——冯仁亮将球塞入国安禁区左侧，萨利霍维奇小角度扫传门前造成杨智脱手，跟进至门前的尤里将反弹球撞入球门
24'张池明右路一对一到底线                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
24'最后的传球被碰了出去                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
24'国安队的角球机会                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
24'角球打了一个战术                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
24'底线的横敲先越位了                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
25'慢镜头来看，这球并不越位                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
25'边裁再次出现了误判                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
26'国安队边路带球丢了                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
26'贵州人和的反击没有组织起来                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
27'马季奇中场拿球，没有机会                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
27'国安队这边有机会啊                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
27'于大宝禁区前沿停球下来给到了巴塔拉                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
27'巴塔拉禁区内盘带后打门被后卫封堵                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
27'角球送中路，第一点被贵州人和破坏                   24'第24分钟，国安右边路配合中巴塔拉被判定越位，慢镜头显示边裁判罚似有争议
34'人和左路带球进攻被雷腾龙放倒                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
34'贵州人和获得前场左路禁区边缘的任意球机会                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
34'米西莫维奇任意球直接打门了                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
34'这球打了一个近角被杨智双拳击出                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
35'于大宝禁区前沿转身过人给到张稀哲                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
36'张稀哲拿球送直塞再给于大宝                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
36'于大宝插上后打近角将球打偏了                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
36'边裁这边再次举旗，示意了越位                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
36'但慢镜头来看，这球很难说                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
37'贵州人和这边二过二的配合                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
37'尤里边路传球送前点                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
37'球弹地后，杨智这边再次出现了脱手                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
37'好在这次很快将球拿到                   34'第34分钟，米西莫维奇左路内切时被雷腾龙绊倒；米西主罚任意球直接小角度攻门，杨智将球挡出
42'贵州人和中场抢断后，直接传球给到了冯仁亮，冯仁亮左路拿球内切后，看准时机禁区外围远射破门！！                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
43'国安队右路带球被断                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
43'贵州人和中场拿球被张池明放倒                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
43'张池明得到一张黄牌！                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
44'首回合的时候，国安队当时就是0-2落后                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
44'河大成禁区外围远射被封堵                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
44'贵州人和这边塞身后被杨智出击滑铲解围                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
44'人和这边超远距离吊射，这球打偏了                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
45'杨智的这次出击很关键                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
45'于大宝禁区内头球，近距离头球顶高了                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
45'这球也是比较可信                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
45'这球也是比较可惜                   42'第42分钟，人和将比分扩大——冯仁亮左路内切中突然起脚远射，皮球势大力沉击中横梁下沿后撞入球门远角
44'首回合的时候，国安队当时就是0-2落后                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
44'河大成禁区外围远射被封堵                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
44'贵州人和这边塞身后被杨智出击滑铲解围                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
44'人和这边超远距离吊射，这球打偏了                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
45'杨智的这次出击很关键                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
45'于大宝禁区内头球，近距离头球顶高了                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
45'这球也是比较可信                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
45'这球也是比较可惜                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
46'上半场补时2分钟！                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
46'国安队这边再次获得角球机会                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
47'角球送前点，混战中国安队打门被封堵                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
46'下半场比赛开始！                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
46'下半场比赛由北京国安开球                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
46'国安队中场拿球给到边路                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
47'德扬是停赛不能出场吗？1是、2不是[qiangda]                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
47'张稀哲这边拉到后腰的位置上                   44'第44分钟，萨利霍维奇斜传助冯仁亮形成前插，杨智冲出禁区将球破坏；人和得球后远程吊射空门打偏
49'徐云龙中场上抢的时候犯规                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
49'尤里禁区内接球先越位了                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
49'慢动作回放，这球似乎也不越位                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
50'张池明右路拿球到底线被放倒                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
50'国安队角球区附近获得任意球机会                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
50'巴塔拉任意球送禁区内                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
50'张烈出击将球击出                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
50'禁区内二点，人和大脚将球解围                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
51'国安队左路起球送禁区后点                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
51'国安队后点头球摆渡回来                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
51'中路并没有队友的跟进                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
52'雷腾龙中场防守拉人犯规                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
52'雷腾龙得到一张黄牌！                   49'第49分钟，萨利霍维奇快速发出前场任意球，尤里前插得球被判定越位，慢镜头显示边裁判罚又有争议
57'国安队起球送禁区内                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
57'于大宝头球攻门将球顶高                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
58'贵州人和左路脚后跟磕球到了底线                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
58'队友底线横敲回到禁区弧顶附近                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
58'萨利霍维奇无人看防，起左脚打门没有打上力量                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
58'河大成前场送直塞没有过去                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
58'贵州人和这边反击的机会                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
59'冯仁亮拿球没有传中的机会                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
59'国安队这边反击                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
59'巴塔拉拿球往左路分                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
59'李磊边路的传球被挡出底线                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
60'角球送前点，克莱伯冲顶被对方先破坏                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
60'国安队再次获得角球机会                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
60'角球送禁区内，威胁不大                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
60'冯仁亮前场拿球转移到了另一侧                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
60'国安队后场抢断                   57'第57分钟，张池明中路斜传人和禁区，克莱伯甩头攻门顶高
61'巴塔拉拿球被对方拉了一下                   61'第61分钟，萨利霍维奇追防中侵犯巴塔拉，领到黄牌
61'萨利霍维奇得到一张黄牌！                   61'第61分钟，萨利霍维奇追防中侵犯巴塔拉，领到黄牌
61'任意球送禁区内，落点还是不够好                   61'第61分钟，萨利霍维奇追防中侵犯巴塔拉，领到黄牌
64'张池明边路越位位置回接                   61'第61分钟，萨利霍维奇追防中侵犯巴塔拉，领到黄牌
72'周挺右路助攻上来                   72'国安在第72分钟错过绝佳机会，巴塔拉切入禁区策动攻势，皮球经于大宝与周挺连续传递后来到中路，巴塔拉近距离攻门打高
72'巴塔拉禁区内近距离打门将球打高了！！                   72'国安在第72分钟错过绝佳机会，巴塔拉切入禁区策动攻势，皮球经于大宝与周挺连续传递后来到中路，巴塔拉近距离攻门打高
73'这球巴塔拉太可惜了                   72'国安在第72分钟错过绝佳机会，巴塔拉切入禁区策动攻势，皮球经于大宝与周挺连续传递后来到中路，巴塔拉近距离攻门打高
73'国安队这边进球了                   72'国安在第72分钟错过绝佳机会，巴塔拉切入禁区策动攻势，皮球经于大宝与周挺连续传递后来到中路，巴塔拉近距离攻门打高
74'但先犯规在先                   72'国安在第72分钟错过绝佳机会，巴塔拉切入禁区策动攻势，皮球经于大宝与周挺连续传递后来到中路，巴塔拉近距离攻门打高
74'克莱伯禁区内跟门将争抢的时候先冲撞了门将                   72'国安在第72分钟错过绝佳机会，巴塔拉切入禁区策动攻势，皮球经于大宝与周挺连续传递后来到中路，巴塔拉近距离攻门打高
79'巴塔拉中场拿球送直塞，这球被后卫拦截了下来                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
79'禁区外围，国安队远射，球弹地后造成了门将的脱手                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
79'于大宝跟进也是很快                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
79'但张烈的第二反应同样很快                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
80'国安队换人，张稀哲下，邵佳一上！                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
82'国安队前场拿球给到右路                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
82'周挺右路上来，传中的时候被挡                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
82'克莱伯禁区外围远射打高了                   79'第79分钟，克莱伯中路远射造成张烈脱手，张烈抢在于大宝之前再扑将球没收
47'角球送前点，混战中国安队打门被封堵                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
48'国安队右路再传禁区内，于大宝后点攻门被张烈在门线上扑出                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
48'边裁这边又举旗了                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
48'禁区内应该先有犯规                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
47'德扬是停赛不能出场吗？1是、2不是[qiangda]                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
47'张稀哲这边拉到后腰的位置上                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
48'尤里这边后场断抢下来                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
48'往前推进后送直塞到禁区里                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
48'杨智出击将球先得到                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
49'徐云龙中场上抢的时候犯规                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
49'尤里禁区内接球先越位了                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
49'慢动作回放，这球似乎也不越位                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
50'张池明右路拿球到底线被放倒                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
50'国安队角球区附近获得任意球机会                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
50'巴塔拉任意球送禁区内                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
50'张烈出击将球击出                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
50'禁区内二点，人和大脚将球解围                   47'补时第2分钟，国安利用角球扳回一球——张池明开出右侧角球，替补出场的邵佳一前点甩头攻门破门
