9'于睿被主裁判出示了黄牌警告！！！                   9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
9'力帆获得中圈附近的任意球机会                   9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
9'吴庆的抢点攻门，和出击的张烈相撞，被吹冲撞门将犯规                   9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
11'精彩回放：王栋任意球斜传禁区弧顶，力帆球员抢点摆渡到门前，吴庆插上准备再打，和出击的张烈相撞，双双倒地，吴庆被吹冲撞门将                   9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
11'张烈经过简单治疗后，起身继续比赛                   9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
11'吴庆右路拿球，强突被张成林放铲解围出边线                    9'第9分钟，人和球员于睿斜后方踢倒费尔南多染黄
19'角球开出到前点，故意一漏，门前混战，张成林头球后蹭                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
19'张烈出击将球拿到，不过裁判吹罚球先出底线                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
20'力帆继续角球，不过这次改到右侧                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
20'王栋角球开出，这次没能形成威胁                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
21'萨利霍维奇中场拿球，斜传球找右前场的尤里                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
21'可惜传球力量太大了，直接出了边线                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
21'上半场比赛20分钟了，比分依旧是0-0                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
21'萨利霍维奇前场中路拿球，斜塞打身后                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
22'尤里前插到禁区，准备拿球进攻，裁判鸣哨，越位在先                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
22'王栋中圈拿球，横推给到左侧上来的阿德阿                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
22'阿德阿斜塞禁区附近找费尔南迪奥，被后卫上抢一步破坏                   19'第19分钟，王栋开出的前场左路角球险些造成张成林乌龙，张烈将球从底线外拿住，裁判示意力帆继续主罚角球
27'人和进球了，可惜越位无效啊！！！                   27'第27分钟，冯仁亮禁区外突施冷箭，力帆门将隋维杰注意力不集中出现低级失误扑救脱手，尤里补射将球送入球门，但边裁示意尤里越位进球无效
