5'于汉超与高拉特的配合没有打成                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
5'中场金英权传球太大，郑智没有拿好                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
5'冯潇霆后场拿球，长传到中场，高拉特回做给保利尼奥再分给左路的邹正                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
6'倒到右路，刘健直传，李建滨抢在罗比尼奥之前将球断下                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
6'李建滨带球出边线                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
6'于汉超交给邹正                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
6'高拉特变向突破被拦截                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
6'莫雷诺分边右路的曹赟定                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
6'曹赟定回传给莫雷诺                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
7'莫雷诺调整到左脚远射，打得比较正，曾诚将球抱住                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
7'郑智分边右路的刘健                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
7'保利尼奥控球，急停，上抢的王寿挺犯规                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
7'郑智将球转移到左路                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
8'邹正起球吊禁区，打在了郑凯木身上出边线                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
8'高拉特背身一勾，熊飞抢先将球踢出底线                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
8'恒大淘宝左路的角球机会                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
8'罗比尼奥角球旋门前，耿晓峰单拳将球打出禁区                   5'第5分钟莫雷诺禁区外一脚远射被曾诚扑住
11'莫雷诺带球，恒大双人包夹，刘健绊倒了他                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
12'卡希尔右路得球回传，球被断了                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
12'于汉超交给了刘健                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
12'高拉特拉边拿球，刘健套上连续的配合，高拉特禁区前沿左脚打近角，打嗤了                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
13'罗比尼奥有点不满意                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
13'耿晓峰长传打到登巴巴，登巴巴一端，冯潇霆将球破坏                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
13'保利尼奥将球转移到右路的刘健                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
13'冯潇霆接应，高拉特背身敲给刘健                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
14'郑智得球交给高拉特，罗比尼奥接应                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
14'郑智送到右肋部，于汉超为不到位，传中力量不足，耿晓峰将球抱住                   11'第11分钟恒大在右路进攻，高拉特和于汉超做撞墙配合之后，高拉特起左脚怒射打偏
19'郑凯木回传给李建滨                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
19'王寿挺得球交给莫雷诺，推进被郑智抢断                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
19'郑龙接应分右路的高拉特                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
19'高拉特外脚背传球过不了柏嘉骏                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
19'这球裁判吹了柏嘉骏犯规                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
19'恒大右路的任意球机会                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
20'郑龙任意球吊向禁区，熊飞顶到第一点出底线                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
20'恒大右路的角球机会                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
20'郑龙送前点，高拉特甩头攻门偏得不少                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
22'于汉超左路护球转移到左路                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
22'郑智中路的挑传过不了李建滨                   19'第19分钟郑龙开出右路角球，高拉特前点头球顶偏
35'比赛进行了35分钟，恒大控球时间虽稍稍领先但真正有威胁的射门并不多                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
36'柏嘉骏左路直传，登巴巴差一步没有拿到球                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
36'郑龙背身得球转送过顶，帕帕多普洛斯顶到第一点                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
37'再挑传，于汉超禁区内转身已经单刀了，打门被耿晓峰挡出底线                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
37'恒大的角球没有太大的威胁                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
37'莫雷诺左路的直传，曹赟定加速稍慢了一点，球出边线                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
38'罗比尼奥前场停球过大，帕帕多普洛斯开大脚                   35'第35分钟恒大左路进攻，熊飞头球解围不远，恒大卷土重来，罗比尼奥快速插上直面耿晓峰，好在耿晓峰快速出击把球扑出
42'莫雷诺右路内切，高拉特拦截犯规                   42'第42分钟，曹赟定右路突破制造任意球机会
43'莫雷诺挑传禁区，曾诚出击失误，莫雷诺头球蹭进了空门！                   42'第42分钟，曹赟定右路突破制造任意球机会
44'申花在上半场临结束前打开了纪录                   42'第42分钟，曹赟定右路突破制造任意球机会
44'比赛继续                   42'第42分钟，曹赟定右路突破制造任意球机会
44'金英权在控球，邹正直接直传                   42'第42分钟，曹赟定右路突破制造任意球机会
45'帕帕多普洛斯踢出边线                   42'第42分钟，曹赟定右路突破制造任意球机会
45'高拉特右路底线一对二，穿当过人，右手拉人犯规了                   42'第42分钟，曹赟定右路突破制造任意球机会
45'帕帕多普洛斯踢出边线                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
45'高拉特右路底线一对二，穿当过人，右手拉人犯规了                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'上半场比赛补时2分钟                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'罗比尼奥左路传中，李建滨头球顶出底线                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
47'罗比尼奥与郑龙的配合，罗比尼奥占到优势被郑凯木推倒                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
47'郑凯木吃到黄牌                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
47'恒大在对方禁区左边缘的任意球机会                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
48'罗比尼奥的地滚球传球，太慢了，帕帕多普洛斯大脚解围                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
48'上半场比赛结束！                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'下半场比赛开始                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'埃尔克森已经上场                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'禁区右侧小角度吊门击中了横梁，埃尔克森的挑射                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'下半场刚开始，恒大连换两人                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'黄博文替下于汉超，埃尔克森替下保利尼奥                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
47'高拉特右路挑传，埃尔克森与他配合                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
47'埃尔克森一扣左脚打门被对方挡出                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
47'外围再打得到角球                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
48'郑龙的角球被王寿挺顶到第一点                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
48'郑智中场扣球过人被郑凯木拦截，郑智拉人犯规                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
48'帕帕多普洛斯长传前场，邹正争下来                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
48'罗比尼奥左路逼上梁山球交给高拉特                   45'第45分钟郑凯木在禁区线上拉倒罗比尼奥吃到黄牌
46'上半场比赛补时2分钟                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
46'罗比尼奥左路传中，李建滨头球顶出底线                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
47'罗比尼奥与郑龙的配合，罗比尼奥占到优势被郑凯木推倒                   46'第46分钟埃尔克森再次在右路前插找到射门机会，柏佳骏把他的射门封堵出去，郑龙补射高出
