1'上半场比赛开始                   1'第1分钟气势如虹的申花队控制了场上局势
1'上海上港队身着红色服装，而上海申花队身着蓝色服装                   1'第1分钟气势如虹的申花队控制了场上局势
1'上海申花队右路横传球，对方断下来长传中场                   1'第1分钟气势如虹的申花队控制了场上局势
2'双方一上来就真刀真枪，拼抢激烈                   1'第1分钟气势如虹的申花队控制了场上局势
2'上海上港队中场直传球被挡回来，孙祥接球左路长传，又丢啦                   1'第1分钟气势如虹的申花队控制了场上局势
3'上海申花队右路长传球到前场，对方护球出边线                   1'第1分钟气势如虹的申花队控制了场上局势
4'上海上港队攻到前场，挑传身后，吕文君得球横传，被帕帕多普洛斯破坏！                   1'第1分钟气势如虹的申花队控制了场上局势
4'这次配合真得很有威胁，上海上港队得到了角球机会                   1'第1分钟气势如虹的申花队控制了场上局势
4'孔卡发角球到禁区内前点，莫雷诺把球顶出来                   1'第1分钟气势如虹的申花队控制了场上局势
4'上海上港队得球继续组织进攻                   1'第1分钟气势如虹的申花队控制了场上局势
11'王赟发角球到前点，莫雷诺头球后顶，高啦                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
11'中场上海申花队断球，分到右路，莫雷诺再横传到中路交给西索科                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
12'西索科横传球，王赟直传球，莫雷诺接应，被对方破坏                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
12'上海申花队再得到角球机会                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
12'角球发到后点，莫雷诺想倒勾打门，在对方的贴身逼抢下没能踢到球！                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
12'禁区内这动作有些危险                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
13'杨博宇的防守还是非常到位的，干扰了莫雷诺的打门                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
13'上海上港队攻到前场，直传球找吉安，李建滨把球破坏                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
13'孙祥左路突破，丢球后反抢犯规                   11'第11分钟王赟在左路开出角球，莫雷诺再次上演在禁区右路的倒钩绝技，但在杨博宇的干扰下，这次倒钩没有打到皮球
17'上海申花队右路攻到前场，对方犯规                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
18'王赟发任意球到禁区内，对方破坏出来                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
18'上海申花队左路斜传禁区！蔡慧康手球！！点球！                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
18'主裁判看得很清楚啊！                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
18'蔡慧康认为球打手啦，但裁判认定是手打球！判了点球！                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
19'谁来主罚点球呢？                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
19'卡希尔主罚点球！骗过门将，球进啦！                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
20'[互动话题]卡希尔点球破门为主队先进一球，下一粒进球将是哪支球队呢？A、上海申花队扩大战果 B、上海上港队扳回一球 C、1-0结束[qiangda]                   17'第17分钟曹赟定左路传中，蔡慧康用左手把球拍下，点球
