3'河南建业队进球啦，两分半！1-0                   3'开场3分钟，河南建业队打破僵局
4'河南建业队左路突破横传，外围远射被挡，但没能解围出来，河南建业队再传禁区，伊沃抢点打门球进！                   3'开场3分钟，河南建业队打破僵局
4'[互动话题]刚想让大家预测哪队先进球呢就已经打破僵局，大家继续预测吧，下一粒进球是哪支球队？A、建业 B、鲁能 C、1-0结束[qiangda]                   3'开场3分钟，河南建业队打破僵局
5'郑铮左路突破，对方把球断下来                   3'开场3分钟，河南建业队打破僵局
5'帕蒂尼奥带球突破，对方犯规，得到前位置不错的任意球机会                   3'开场3分钟，河南建业队打破僵局
6'买提江任意球直接打门，打在人墙上弹出来                   3'开场3分钟，河南建业队打破僵局
6'中场河南建业队断球，左路挑传进攻，乌索逼抢出界                   3'开场3分钟，河南建业队打破僵局
10'戈麦斯力量好大，扔球到禁区内，跟上队员头球顶门高出                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
10'王大雷大脚开门球，直接开出边线                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
10'河南建业队右路直传进攻，对方破坏出边线，还是有戈麦斯来扔手榴弹                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
11'戈麦斯扔球到禁区内，对方顶出来，球出边线                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
12'戈麦斯再在另一侧扔界外球                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
12'界外球再次扔到禁区内，鲁能泰山队把球再次破坏出边线                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
13'戈麦斯发出界外球，河南建业队把球传到禁区内，鲁能泰山队得球反击                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
13'中场左路塔尔德利接球，对方破坏出边线                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
13'鲁能泰山队后场横传失误，河南建业队断球远射被挡出来                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
13'王永珀右路人球分过，挑得大了些，直接出边线                   10'第10分钟，河南建业边线球进攻，郑仁焕接球头球攻门高出横梁
27'杨旭左路传球，鲁能泰山队左路横传，球到后点，塔尔德利打门偏出！                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
27'中场汪强争顶侵犯了肖智！                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
27'河南建业队队员认为汪强肘击动作！                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
28'汪强应该注意自己的动作，防守比较粗旷                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
28'肖智前场左路得球，蒿俊闵背后抢球犯规！有点情绪                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
29'任意球发出来，尤西雷把球破坏                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
29'河南建业队右路直传球，肖智接球，乌索上抢，主裁判哨响                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
29'杨旭在争抢时被侵犯                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
30'刚才双方都没有犯规，主裁判是吹停比赛，坠球！                   27'第27分钟，山东鲁能错失进球机会，杨旭挑传禁区，王永珀快速插上底线附近传至后点，跟进的塔尔德利小角度抽射高出横梁
