1'傅明一声哨响，上半场比赛开始了                   1'第1分钟，主场作战的山东鲁能更占优势
1'作客的绿城率先开球                   1'第1分钟，主场作战的山东鲁能更占优势
1'主队山东从画面的左侧向右侧进攻，绿城是从右向左攻                   1'第1分钟，主场作战的山东鲁能更占优势
2'绿城边路的直传，王林前插，拼抢犯规了                   1'第1分钟，主场作战的山东鲁能更占优势
2'王大雷后场一记长传，乌索头球摆渡出了边线                   1'第1分钟，主场作战的山东鲁能更占优势
2'郑铮后场把球控制下来，回敲到王大雷，在给身前的李松益                   1'第1分钟，主场作战的山东鲁能更占优势
3'乌索回来接应一下，传到右路给蒿俊闵                   1'第1分钟，主场作战的山东鲁能更占优势
3'蒿俊闵没有机会突破，把球拉回来，传给中间的塔尔德利                   1'第1分钟，主场作战的山东鲁能更占优势
3'塔尔德利突破之后横敲王永珀                   1'第1分钟，主场作战的山东鲁能更占优势
4'王永珀尝试一脚远射，打出一记地滚球偏出远门柱                   1'第1分钟，主场作战的山东鲁能更占优势
4'王永珀开场先来一脚，敲山震虎                   1'第1分钟，主场作战的山东鲁能更占优势
7'塔尔德利分边交到王永珀脚下                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
7'鲁能这边一直在耐心的传递，绿城摆好阵型，也不敢贸然上抢                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
7'塔尔德利右路突破上来，绿城3，4名球员防不住                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
8'塔尔德利先是突破了冯刚和黄希扬的防守                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
9'来到禁区之内，曹轩补防过来，塔尔德利果断起脚打门，顾超立了一功，倒地一记侧扑封堵了这个球                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
9'塔尔德利的个人能力非常强啊                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
9'博桑季奇前场拼抢推倒了乌索犯规                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
10'鲁能逐渐的控制了场上的局势，控球率非常高                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
10'李松益分边给右路的王永珀，金敬道接应，在交到左侧                   7'第7分钟，塔尔德利边路拿球先后晃开三名防守队员后小角度抽射，球被反应迅速的顾超倒地扑出
19'鲁能右路进攻，王永珀直塞，杨旭越位回接                   19'第19分钟，山东鲁能打破僵局
19'蒿俊闵中路盘带，交给王永珀，王永珀在回传给金敬道                   19'第19分钟，山东鲁能打破僵局
19'鲁能转移之后，给到左侧的郑铮                   19'第19分钟，山东鲁能打破僵局
19'.鲁能进球了                   19'第19分钟，山东鲁能打破僵局
20'来自后腰乌索                   19'第19分钟，山东鲁能打破僵局
21'郑铮左路45度斜吊禁区，杨旭前点吸引防守但没有顶到，后点乌索后插上，摆脱范晓冬一记重重的头槌被顾超挡出，乌索第二下再补，打进                   19'第19分钟，山东鲁能打破僵局
21'主场作战的鲁能顺利的打开了胜利之门                   19'第19分钟，山东鲁能打破僵局
