4'对于比赛的欲望都非常强烈呀～是北京国安队的保三还是广州富力队的保级呢？                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
4'北京国安队右路推进，朴成的传球出了边线                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
5'北京国安队中场抢断，巴塔亚准备拎球过人，没有成功，球被对方断了                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
5'双方加强了在中场的拼抢                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
5'姜至鹏左路准备人球分过没有成功                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
6'张稀哲在前场的逼抢中推人犯规～                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
7'北京国安队的进攻赢得一个角球机会，开前点被后卫顶出                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
16'禁区内张稀哲的打门打在防守队员身上出了底线                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
16'北京国安队获得角球机会，张稀哲来主罚                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
16'角球开到禁区内，第一点被防守队员抢到顶出来，张稀哲再传中又没有过顶                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
17'河大成中场抢断，转移给朴成，推进交到张稀哲的脚下                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
17'于大宝进球！！！                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
18'比赛进行到17分钟，张稀哲挑传到禁区内，于大宝抢点打门击中左侧立柱反弹进入网内                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
19'北京国安队打破了场上的僵局！                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
19'广州富力队比分落后，防守反击的战术不能继续下去，接下来他们必须压出来打啦                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
19'姜宁控球，左路的传球打在马季奇的身上出了边线                   16'第16分钟，巴塔拉右路低传策动攻势，于大宝禁区中路回做，张稀哲攻门碰防守球员再度折线，皮球又是稍稍偏出
28'中场的冲抢中雷纳尔迪尼奥犯规了                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
28'今天的主裁判是王迪                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
29'广州富力队一名队员受伤倒在地上                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
30'广州富力队中场抢断，于洋一脚直长传太急了些，直接交给了门将                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
31'巴塔亚拿球，转移给张稀哲，后者的传中                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
31'德扬进球，不过裁判吹哨，越位了                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
31'赵和靖拿突破没有成功，广州富力队左路的解围球又被河大成得到                   28'第28分钟，雷纳尔迪尼奥分球后就势摆腿碰撞徐云龙，徐云龙也就势倒地，主裁判王迪对两人进行了警告
31'巴塔亚拿球，转移给张稀哲，后者的传中                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
31'德扬进球，不过裁判吹哨，越位了                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
31'赵和靖拿突破没有成功，广州富力队左路的解围球又被河大成得到                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
32'慢镜回放：张稀哲右路的传中球，后点于大宝争顶与对方撞在一起倒地，跟着德扬的补射打在了倒地的于大宝的身上变线飞入网内！                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
33'如果不碰于大宝这球不越位，但当然也难进哟！                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
33'北京国安队的进攻赢得一个角球机会，发战术角球，右路的传球被拦截                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
33'广州富力队快速打反击，姜宁突入到禁区内面对门将的打门，被杨智用腿挡出了底线                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
33'广州富力队获得角球机会                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
34'雷纳尔迪尼奥主罚角球                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
34'雷纳尔迪尼奥角球开到禁区内，金洋洋抢点成功，不过头球顶得太不舒服，直飞向高空呀                   31'第31分钟，国安右路传中后于大宝冲顶未果，朴成外围攻门未打上力量，德扬禁区中路接力再射，倒在小禁区内的于大宝伸腿触球令皮球折线破门，裁判判定于大宝越位，入球无效
