1'上半场比赛开始                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
1'首先由蓝衣白裤的永昌开球，从画面的左侧向右进攻                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
2'永昌右路下底传中，隆东抢点攻门，被挡出                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
3'隆东前场逼抢，身后推倒了王新欣，犯规                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
3'泰达前场进攻，烈鸟的直传找维尔玛                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
4'维尔玛停球一趟，起脚低射远角，球滑门而过，出底线                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
8'泰达中场抢断，反击中普拉里甘吉禁区外的远射，打飞                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
8'官方泰达3号叫普拉里甘吉，我们也就这么称呼吧                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
9'隆东前场拿球，内切后的斜传，被李玮峰挡出                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
9'赵宏略左路拿球，斜塞给到回撤接应的巴尔克斯                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
9'巴尔克斯的回传交给普拉里甘吉                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
10'普拉里甘吉分球找王新欣，王新欣拿球被身后上抢队员放倒在地                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
11'泰达中场传球失误，永昌的反击                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
11'毛剑卿拿球，赵宏略回防身后放铲，将球铲掉                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
11'不过还有个附加动作，勾倒了毛剑卿，犯规                   8'第8分钟，泰达中场抢断，反击中普拉里甘吉禁区外的远射打飞
20'泰达进球啦！！！                   20'天津泰达在第20分钟打破僵局――巴尔克斯右路拿球，起球传中到后点，周海滨插上左脚劲射，王国明扑球脱手，维尔玛跟进右脚补射打进，1-0
20'维尔玛补射，打进本赛季的处子球！！！                   20'天津泰达在第20分钟打破僵局――巴尔克斯右路拿球，起球传中到后点，周海滨插上左脚劲射，王国明扑球脱手，维尔玛跟进右脚补射打进，1-0
21'巴尔克斯右路拿球，起球传中到后点，周海滨插上左脚劲射，杜佳扑球脱手，维尔玛跟进右脚补射打进                   20'天津泰达在第20分钟打破僵局――巴尔克斯右路拿球，起球传中到后点，周海滨插上左脚劲射，王国明扑球脱手，维尔玛跟进右脚补射打进，1-0
22'永昌前场进攻，毛剑卿禁区外尝试远射，打偏                   20'天津泰达在第20分钟打破僵局――巴尔克斯右路拿球，起球传中到后点，周海滨插上左脚劲射，王国明扑球脱手，维尔玛跟进右脚补射打进，1-0
23'隆东中场背身拿球，面对上抢，调整一下                   20'天津泰达在第20分钟打破僵局――巴尔克斯右路拿球，起球传中到后点，周海滨插上左脚劲射，王国明扑球脱手，维尔玛跟进右脚补射打进，1-0
27'隆东得球，在斜传禁区，又被后卫解围                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
27'毛剑卿右路拿球，内切后的横传前点找穆伦加                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
27'可惜球被泰达球员抢先出脚破坏出底线                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
28'永昌右侧角球，可惜并未形成威胁                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
28'立柱，毛剑卿！！！                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
