8'阎世鹏左边路把球控制下来                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
8'亚泰左路送出直塞，打了唐淼的身后                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
8'杜震宇下底传中，没有找到同伴                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
8'富力解围出来，亚泰外围还有                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
9'莫雷诺禁区左角得球，横敲中路的马祖                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
9'马祖想停球顺势过人，但是想法有点多，停大了                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
9'今天风力很大，双方可以尝试远射                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
10'胡斯蒂中场犯规，拼抢中踢到了汪嵩                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
10'艾堃紧接着又吹了亚泰的一个犯规，这次任意球的位置够射程了                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
11'弧顶外4，5米的位置，姜宁主罚                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
11'姜宁低球直旋远角，宋振瑜第一下脱手，第二下反应很快，抱入怀中                   8'第8分钟，莫雷诺左路突破下底传中，马祖包抄到位，可惜传中未能过顶
15'给到禁区内，后点头球一摆，中路亚泰解围                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
15'富力右路在传                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
15'富力打破僵局了                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
16'立功的正是今天顶在前锋位置的叶楚贵                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
17'富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松端进大门                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
18'亚泰这个球后防门户大开                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
18'亚泰大范围的一脚转移，右路马祖插上，速度很快                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
18'马祖内脚背兜弧线球传后点，飞出底线                   15'广州富力在第15分钟先拔头筹――富力外围接到亚泰解围出来的球，右路汪嵩从容的再把球传进去，叶楚贵小禁区中路居然无人盯防，轻松将球端进大门，1-0
23'富力右路大范围转移，给到左边卢琳，传的很到位                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
23'卢琳低平球传进去，叶楚贵背身拿球，没有站住，摔倒在地                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
23'这个球也是很有威胁的                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
24'亚泰中后场屡屡出现传递失误，跟今天的大风也不无关系，他们今天逆风球，份量不好掌握                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
25'富力左侧的进攻，再次赢得一个前场定位球                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
25'汪嵩左路任意球开入禁区内，后卫中路冒顶                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
25'好在身后的阎峰及时到位，把球解围                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
26'亚泰再次大范围的斜传，给到右路的马祖                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
26'姜至鹏边路积极的卡位，把球让出底线                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
26'富力进攻，交给叶楚贵，叶楚贵护球，做给插上的卢琳                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
26'卢琳传中，被宋振瑜得到                   23'第23分钟，富力队右路大范围转移给到左路的卢琳，卢琳送出低平球精准传中，可惜叶楚贵背身拿球没能站住摔倒在地
36'这个球看得出是富力之前研究过的，但是顺风球，力量没把握好                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
36'刘殿座出球大意，给了胡斯蒂吊门的机会                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
37'胡斯蒂也是毫不犹豫，中前场的一记远程吊射，刘殿座奋力往回跑，把球扑出                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
37'这个球也是好险啊                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
37'胡斯蒂中路突破，送直传给下底的杜震宇                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
37'胡斯蒂这个球力量过大，出了底线                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
38'亚泰左路拼抢犯规                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
38'富力中场一记长传，落点太深，宋振瑜出击没收                   36'第36分钟，刘殿座出击冒失，胡斯蒂见状毫不犹豫，前场一记远程吊射，刘殿座奋力回跑把球扑出
50'唐淼在把球送进去，落点被亚泰控制                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
50'马祖前场争顶，侵犯了张耀坤                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
51'双方这阵踢的都比较散，看不出什么战术                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
51'杜震宇左路销魂的弯刀传中                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
52'本来没什么威胁，但由于风力的影响刘殿座出击时候球在空中有个诡异的变线                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
52'刘殿座脱手之后球直奔底线而去，被回防的姜至鹏救回来                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
53'姜宁右路把球送到禁区前沿，祝一帆的抢断                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
53'亚泰进攻来到左路，杜震宇急停内切，被姜宁踢翻在地                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
53'杜震宇亲自主罚这个定位球                   50'下半场易边再战，第50分钟杜震宇左路销魂圆月弯刀传中，刘殿座摘球时出现漏球，好在姜志鹏及时回防解围干净
59'亚泰中场右路的定位球                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
59'直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
59'刘殿座立功了，这个球扑的精彩                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
59'亚泰角球开到禁区内，第一点被对方控制                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
60'外围亚泰左路再送进去，莫雷诺甩头攻门，太正了                   59'第59分钟，亚泰左路直接长传到禁区内，后点伊斯梅洛夫飞身冲顶，刘殿座神勇的倒地把球挡出底线
