3'辽宁中路推进，丁捷直塞锋线找到波利                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
3'波利外围一脚爆射，被后卫挡出                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
4'右路郭皓的突破没有成功                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
4'辽宁后场转移一下，给到右侧来攻                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
4'巴尔克斯积极的回防，把球挡出边线                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
4'秦升来掷这个界外球，大力的手榴弹扔到禁区                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
5'王秋明前点解围出来                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
5'宋琛中场拿球，右路的转移，到中路                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
6'辽宁中场附近的直传把球丢掉                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
6'倪玉崧上抢犯规                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
6'烈鸟主罚这个定位球                   3'第3分钟，丁捷直塞锋线，波利得球后直接大力轰门被后卫挡出
12'丁海峰一记长传，左侧波利上来把球拿到                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
12'哦，是邱卡的拉边，邱卡在拿球                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
13'邱卡低球横敲门前，波利上来射门，被挡出，金泰延左侧把球打进                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
13'可惜裁判鸣哨，金泰延越位在先了                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
13'天津队大难不死啊，马上有了后福，巴尔克斯进球了                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
14'天津的直塞，辽宁防线造越位短路，两名中卫压上来左侧的宋琛拖在后面，直接给了烈鸟的单刀机会                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
15'烈鸟禁区内面对出击的刘旸，右脚抽射被刘旸奋力挡出，右侧巴尔克斯第二点拿好，面对大半个空门，推射打进                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
15'辽宁闪电扳平                   12'第12分钟，辽宁队左路传中，邱卡中路跟上射门没有打正部位，皮球弹到金泰延脚下，他停球一蹴而就，但已经越位在先，进球无效
14'天津的直塞，辽宁防线造越位短路，两名中卫压上来左侧的宋琛拖在后面，直接给了烈鸟的单刀机会                   14'第14分钟，天津队维尔玛直塞，辽宁队造越位失误，烈鸟单刀杀入禁区射门被刘D奋力挡出
15'烈鸟禁区内面对出击的刘旸，右脚抽射被刘旸奋力挡出，右侧巴尔克斯第二点拿好，面对大半个空门，推射打进                   14'第14分钟，天津队维尔玛直塞，辽宁队造越位失误，烈鸟单刀杀入禁区射门被刘D奋力挡出
15'辽宁闪电扳平                   14'第14分钟，天津队维尔玛直塞，辽宁队造越位失误，烈鸟单刀杀入禁区射门被刘D奋力挡出
16'这比赛真是有意思啊，巴尔克斯刚刚立功，就打进了一个乌龙，甚是郁闷啊                   14'第14分钟，天津队维尔玛直塞，辽宁队造越位失误，烈鸟单刀杀入禁区射门被刘D奋力挡出
17'辽宁右路的角球，给到前点，秦升抢点并没有蹭到，防守秦升的两名天津队员也没有顶到                   14'第14分钟，天津队维尔玛直塞，辽宁队造越位失误，烈鸟单刀杀入禁区射门被刘D奋力挡出
17'身后的巴尔克斯下意识的一挡，把球打进自家大门，这个球说下意识的一挡，不如说是球砸在了他的小腿上                   14'第14分钟，天津队维尔玛直塞，辽宁队造越位失误，烈鸟单刀杀入禁区射门被刘D奋力挡出
16'这比赛真是有意思啊，巴尔克斯刚刚立功，就打进了一个乌龙，甚是郁闷啊                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
17'辽宁右路的角球，给到前点，秦升抢点并没有蹭到，防守秦升的两名天津队员也没有顶到                   16'第16分钟，辽宁队角球开出，秦升前点后蹭，门前的巴尔克斯忙中出错将球碰入自家大门
