1'上半场比赛开始！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
1'首先由客队申花开球，从画面的右侧向左进攻！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
1'费尔南多中场拿球，秦升上抢犯规！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
1'力帆快发任意球找前插的吉利奥蒂，可惜传大，出底线！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
2'瓜林中场拿球，强突被绊倒在地！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
2'申花中场的任意球机会，瓜林主罚！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
2'瓜林任意球斜传禁区，登巴巴头球，被邓小飞出击拿到！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
3'米洛维奇后场拿球，过顶长传找前场的费尔南多！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
3'金基熙头球解围出边线！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
4'柏佳骏左路拿球，斜传找回撤接应的登巴巴！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
4'登巴巴停球没停好，被力帆球员破坏！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
4'力帆的反击，吉利奥蒂左路拿球，单挑熊飞！！                   1'第1分钟申花利用登巴巴这个强力点，专打刘宇这个防守点
7'瓜林中场拿球，郑汉荣上抢犯规！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
7'柏佳骏左路拿球，面对费尔南多的逼抢！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
7'柏佳骏强突，被费尔南多将球碰出边线！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
7'莫雷诺中场拿球，横切被回防的丁捷放倒在地！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
8'用户5744373713 再不胜，龙哥也难受了（压力大哦）                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
8'申花前场的进攻，莫雷诺直塞打身后！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
8'登巴巴反越位成功，可惜传球有点大！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
9'邓小飞出击到禁区外，将球大脚解围！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
9'用户1096817753 重庆主场气氛不错，挺热闹（很嗨！！）                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
9'王栋左路拿球，强突后斜传到禁区！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
10'陶金力压徐洋头球解围！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
10'费尔南多右路拿球，横切到中路，左脚劲射，被防守球员挡出！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
10'上半场比赛10分钟，比分依旧是0-0！！                   7'第7分钟米洛维奇贸然在中场就回传门将邓小飞，被登巴巴捕捉到皮球路线，好在邓小飞及时出击把球踢出
17'登巴巴抢点攻门，打偏！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
18'费尔南多右路拿球，内切两步，直接一脚吊门！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
19'李帅后退中，单掌将球打出底线！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
19'力帆获得左侧角球机会！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
19'角球开出到禁区，第一点被申花球员解围！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
20'陈雷外围头球再顶到禁区，吉利奥蒂倒勾打身后！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
20'徐洋插上抢点打门，被李帅封堵！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
20'费尔南多跟进再补，裁判鸣哨！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
20'原来吉利奥蒂倒勾传球时，徐洋已经处于越位位置！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
20'申花的前场进攻，赢得右侧角球机会！！                   17'第17分钟费尔南多左路直接吊射，被李帅在横梁附近打出
