2' 胡尔克前场触球了                   2'第2分钟伊沃左路任意球开到门前，麦克格文头球刻意打远角，颜骏凌飞身把球打出
2'但是裁判鸣哨！越位了                   2'第2分钟伊沃左路任意球开到门前，麦克格文头球刻意打远角，颜骏凌飞身把球打出
2'在中场双方不断地头球争顶                   2'第2分钟伊沃左路任意球开到门前，麦克格文头球刻意打远角，颜骏凌飞身把球打出
4'伊沃带球长驱直入，于海和蔡惠康合力拦截，吹了犯规                   2'第2分钟伊沃左路任意球开到门前，麦克格文头球刻意打远角，颜骏凌飞身把球打出
4'建业前场左侧斜传禁区，麦克格文头球攻门被颜俊凌奋力扑出                   2'第2分钟伊沃左路任意球开到门前，麦克格文头球刻意打远角，颜骏凌飞身把球打出
8'傅欢边路内切后交给埃神，正面突破被踢倒了，主裁判没有理会                   8'第8分钟傅欢右路直线送球，武磊在右路边线附近靠速度超过路尧，看准时机后沉底传中，麦克格文和禁区中路埋伏的胡尔克同时出腿，混乱中麦克格文把球铲进自己大门，1比0，上港领先
8'金周荣后场起球直接找浩克，建业后卫拼命拉球衣，头球解围出去                   8'第8分钟傅欢右路直线送球，武磊在右路边线附近靠速度超过路尧，看准时机后沉底传中，麦克格文和禁区中路埋伏的胡尔克同时出腿，混乱中麦克格文把球铲进自己大门，1比0，上港领先
9'哈维尔前场上抢踢倒了金周荣，犯规                   8'第8分钟傅欢右路直线送球，武磊在右路边线附近靠速度超过路尧，看准时机后沉底传中，麦克格文和禁区中路埋伏的胡尔克同时出腿，混乱中麦克格文把球铲进自己大门，1比0，上港领先
9'进球了！！！胡克尔                   8'第8分钟傅欢右路直线送球，武磊在右路边线附近靠速度超过路尧，看准时机后沉底传中，麦克格文和禁区中路埋伏的胡尔克同时出腿，混乱中麦克格文把球铲进自己大门，1比0，上港领先
10'上港反击，右侧武磊得球传中到禁区！胡尔克接应到一记推射破门                   8'第8分钟傅欢右路直线送球，武磊在右路边线附近靠速度超过路尧，看准时机后沉底传中，麦克格文和禁区中路埋伏的胡尔克同时出腿，混乱中麦克格文把球铲进自己大门，1比0，上港领先
12'伊沃外围一脚抽射，皮球落地反弹被颜俊凌没收                   11'第11分钟胡尔克在和陈灏拼抢中拉伤大腿倒地，上港主帅埃里克森一脸紧张，胡尔克很快起身再战
12'路尧边路断球，交给伊沃组织，连续配合到了前场                   11'第11分钟胡尔克在和陈灏拼抢中拉伤大腿倒地，上港主帅埃里克森一脸紧张，胡尔克很快起身再战
13'伊沃挑传打在了金周荣的背上                   11'第11分钟胡尔克在和陈灏拼抢中拉伤大腿倒地，上港主帅埃里克森一脸紧张，胡尔克很快起身再战
13'胡尔克中场上抢后伤了！拼抢时出现了拉伤                   11'第11分钟胡尔克在和陈灏拼抢中拉伤大腿倒地，上港主帅埃里克森一脸紧张，胡尔克很快起身再战
14'胡尔克问题不大，虚惊一场                   11'第11分钟胡尔克在和陈灏拼抢中拉伤大腿倒地，上港主帅埃里克森一脸紧张，胡尔克很快起身再战
16'胡尔克还是无法坚持了！！！躺在了场上！！！应该无法打了                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
16'诶呀，，好可惜啊                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
16'胡尔克被担架抬出场外                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
16'吕文君替下胡尔克上场                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
18'刚刚镜头给到了吕文君，不过胡尔克示意还是能比赛，                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
18'吕文君最后还是没替换上来                   16'第16分钟刚回到场内的胡尔克右路分球，武磊接球射门被吴龑扑住
