6'孙世林受伤倒在地上                   3'开场3分钟，辽宁宏运率先制造威胁，刘尚坤边路拿球内切远射，球稍稍打偏
6'鲁能泰山队右路攻到前场，刘彬彬传球，蒙蒂略横传禁区、                   3'开场3分钟，辽宁宏运率先制造威胁，刘尚坤边路拿球内切远射，球稍稍打偏
6'球传到后点，被解围出来                   3'开场3分钟，辽宁宏运率先制造威胁，刘尚坤边路拿球内切远射，球稍稍打偏
6'张弛在前场护球，对方抢球犯规                   3'开场3分钟，辽宁宏运率先制造威胁，刘尚坤边路拿球内切远射，球稍稍打偏
46'蒙蒂略前场横带，交给佩莱！！每脚打门啊，没能压住！                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
46'这是佩莱到鲁能泰山队后的第一脚打门！                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
47'齐天羽右路接球，回传球，两人对脚                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
47'齐天羽在前场抢球犯规，吃到了黄牌！                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
47'这个铲球动作有些大啊！应该注意                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
47'任意球没开出来，主裁判就吹哨了                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
48'上半场比赛结束，双方战成1-1                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
46'下半场比赛开始                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
46'双方都没有进行人员调整                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
46'鲁能泰山队长传前场，阿萨尼解围                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
46'詹姆斯中路突破，没有人接应，回传一脚                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
46'吴兴涵中场抢球犯规，放倒了孙世林                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
47'任意球发出来，交给郑涛                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
47'吴兴涵抢球又放倒了郑涛                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
48'张弛后场得球，直传给吴兴涵，再回传一脚                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
48'辽宁宏运队在下半场一开始就加强了进攻！渴望三分啊                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
48'刘彬彬右路带球突破，被孙世林放倒                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
49'任意球发出来，鲁能泰山队右路横传禁区，吴兴涵头球过渡，哨响                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
49'吴兴涵越位啦                   46'1分钟后，辽宁宏运快速反击，边路弧线球传中，乌贾力压防守队员头球攻门，球稍稍偏出
