1'上半场比赛开始了！                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
1'上半场由重庆力帆率先中圈开球                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
1'走左路，吉利奥蒂的突破被许博绊倒                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
1'力帆前场左路的任意球机会                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
2'王栋送到禁区，高度不够，李超头球解围                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
2'中场还是力帆的控球，王栋直传，吉利奥蒂没有控好                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
2'永昌反击，转移到左路孙昊晟接应回传后场                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
3'中场的推进，鲁本被彭欣力放倒                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
4'吕建军右路传中，郑又荣头球解围                   1'第1分钟两队迅速展开缠斗，第2分钟王栋主罚任意球送到禁区被李超奋力解围
12'力帆反击，长传上来，费尔南多发挥速度优势，得球传中                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
12'还好李超回位及时头球解围                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
13'外围还是力帆控球                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
13'王栋右路得球扣一下用左脚传中                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
13'吴庆插上猫腰头球没有碰到球                   12'第12分钟力帆反击，长传找费尔南多，后者发挥出速度优势，得球狂带一阵后送出传中，还好李超回位及时头球解围
