4'国安后场的过顶长传到前场左路！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
4'廖均健回防将球解围出边线！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
4'国安中场失误，姆比亚的抢断！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
4'姆比亚直塞给到拉维奇，拉维奇横传董学升                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
5'董学升停球一趟，禁区外的远射，打偏了一点点啊！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
5'这脚射门非常有威胁啊！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
5'李行中场抢断，直塞打身后！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
5'传球力量太大，被杨智轻松控制！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
6'杨智大脚开门球，直接踢出了右侧边线！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
6'廖均健右路拿球，45度斜传球到禁区！！                   3'开场第3分钟，拉尔夫拿球被断，董学升在禁区外怒射，球中右侧门柱弹出
10'董学升禁区左侧横传禁区，接应的队友太少，被雷腾龙抢先破坏！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
10'拉维奇上来再抢，停球没停好，球出了边线！！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
11'这段时间华夏幸福有点反客为主了，攻势一浪高一浪啊！                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
11'姆比亚右路拿球，分球拉维奇                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
11'拉维奇横传转移给到左侧的热鸟                   10'10分钟之后国安开始慢慢控制住局面，第16分钟姆比亚脚下球被断，国安立刻转入反击，可惜奥古斯托接右路于大宝传球打门高出
