1'上半场由重庆力帆中圈开球                   1'刚开场1分钟，申花右路传中，刘宇解围险些把球打进自家大门
2'费尔南多的突破，被柏佳骏绊倒                   1'刚开场1分钟，申花右路传中，刘宇解围险些把球打进自家大门
9'邓小飞长传上来，卡尔德克接应回传                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
9'失误了                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
9'谭望嵩中场绊人犯规                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
9'谭望蒿吃到黄牌！                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
10'费尔南多带球反击，斜传，李建滨与王林关门将球断下                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
10'力帆就是反抢，卡尔德克护球被秦升放倒                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
10'裁判给了力帆的前场任意球机会                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
11'上海申花首发： 门将：27-李帅；后卫：25-王林、4-金基熙、3-李建滨、23-柏佳俊；后腰：26-秦升、20-王赟；前卫：11-吕征、10-莫雷诺、28-曹赟定；前锋：17-马丁斯                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
12'卡尔德克伤得不轻，队医入场治疗未果                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
12'卡尔德克被担架抬出场外                   9'第9分钟李建滨和卡尔德克争顶时两人双双倒地，两人表情都非常痛苦，李建滨左肩似乎脱臼，卡尔德克的左手腕似乎受伤
14'卡尔德克经过场治疗后可以重新投入比赛                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
14'王林右路长传找到吕征                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
14'回传球被对方破坏出边线                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
15'现场的雨势越来越大                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
15'大雨对于双方发挥有影响                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
16'马丁斯拉边拿球传中，莫雷诺点球点胸部停球打倒钩，打偏了一点                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
16'打进的话是世界波                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
17'莫雷诺前场上抢手有拉人犯规                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
17'秦升上抢成功，直传莫雷诺背身拿球回做                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
17'马丁斯再塞给莫雷诺，莫雷诺没能拿住球                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
17'费尔南多沿右边线推进，秦升滑铲铲倒了费尔南多                   14'第14分钟马丁斯禁区外起左脚搓入禁区，莫雷诺胸部垫球之后，直接倒钩射门打偏
19'曹赟定左路内切交给王赟，直接远射，打得比较正，邓小飞将球没收                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
19'李建滨分右路的王林                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
19'直传被郑又荣抢断                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
19'郑又荣长传上来，费尔南多越位                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
20'不过从慢镜来看费尔南多前插其实很贼                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
20'并没有越位                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
20'曹赟定左路来了，传中打在米洛维奇身上出底线                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
20'最后可能反弹碰了曹赟定的身体，门球                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
21'米洛维奇长传左路，刘宇交给王栋                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
21'郑又荣过渡一下，还是往回传                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
21'刘宇长传前场右路，费尔南多                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
21'费尔南多内切后有点趟大了                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
21'费尔南多不审强行一捅，卡尔德克插上盘过了门将，可惜角度太小转身打在边网上                   18'第18分钟郑又荣斜传申花后卫身后，费尔南多杀出过掉李帅，面对空门
20'不过从慢镜来看费尔南多前插其实很贼                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
20'并没有越位                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
20'曹赟定左路来了，传中打在米洛维奇身上出底线                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
20'最后可能反弹碰了曹赟定的身体，门球                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
21'米洛维奇长传左路，刘宇交给王栋                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
21'郑又荣过渡一下，还是往回传                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
21'刘宇长传前场右路，费尔南多                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
21'费尔南多内切后有点趟大了                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
21'费尔南多不审强行一捅，卡尔德克插上盘过了门将，可惜角度太小转身打在边网上                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
22'李建滨防守是没有留意背后有人                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
22'费尔南多右路斜吊禁区，王栋越位                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
23'回头申花机会                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
23'莫雷诺进球了！                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
23'绝对的个人能力的体现                   20'第20分钟费尔南多从右路强突，球打在王赟身上弹到一侧，卡尔德克快速启动，抢在李建滨之前拿球，但他的转身传中打在球网上
25'王林长传上来，刘宇在马丁斯干扰下顶得不远，莫雷诺果断前插抢在丁之前球拿到然后弧顶外一点一脚爆射挂网！                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
25'郑又荣组织，王栋接应回传                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
25'转移到中路，米洛维奇起球长传找徐洋                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
25'郑又荣接应因做                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
25'刘宇长传上来，卡尔德克头球顶向禁区，李帅的世界                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
26'曹赟定左路得球，一对二，溜底线过了米洛维奇                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
27'传门前，马丁斯抢射将球碰出底线                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
27'力帆反击，费尔南多单刀打进，不过。。。                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
27'王栋中圈的直传，费尔南多斜插单刀打进，不过越位在先！                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
28'这球慢镜来看，越位判罚没有问题                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
28'李帅发球上来，吕征右路传中，刘宇解围                   25'第25分钟曹赟定左路底线处巧妙用力，连过对方两名防守队员，曹沿着底线推近禁区后横传，马丁斯在邓小飞逼迫下打偏出界
