5'米洛维奇低平球传 到前场，转移到左侧                   3'开场3分钟，姜宁禁区边路拿球回做，李行禁区外大力远射高出横梁
5'王栋控球，分球到徐洋的脚下，再回传 球                   3'开场3分钟，姜宁禁区边路拿球回做，李行禁区外大力远射高出横梁
5'郑又荣控球推 进，吊向禁区内，球被对方拦截回来                   3'开场3分钟，姜宁禁区边路拿球回做，李行禁区外大力远射高出横梁
12'董学升前场抢断，直传球给卡库塔，再分球找阿洛伊西奥，慢了步呀                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
12'阿洛伊西奥向卡库塔举手示意，好球！                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
12'重庆力帆队中场控球，交到右侧谭望嵩的脚下，直传球，，姆比亚把球破坏出底线                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
12'重庆力帆队获得 角球机会                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
13'角球开到禁区内，乱军之中没有人顶到球，卡库塔得到球，反击                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
13'董学升直塞 球，禁区内，姜宁一扣，想回带呀，后卫跟上来了，快速破坏出来                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
14'廖均健回传 球交给罗森文，再转移到姆比亚的脚下，在对方的逼抢下回传给门将                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
14'重庆力帆队前场抢断，禁区前沿王栋的打门，高了                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
15'重庆力帆队后场控球，走左路的直传球，越位了                   12'第12分钟，阿洛伊西奥禁区内得球拉出来将球横做到禁区前沿，罗森文跟进大力远射被后卫挡出
21'廖均健右路传中球被顶出来                   21'第21分钟，姜宁大范围转移，卡库塔空当处得球内切低射将球射偏
22'重庆力帆队控球反击，快速推 进到前场，王栋分球到右侧，卡尔德克外围打门被杨程没收                   21'第21分钟，姜宁大范围转移，卡库塔空当处得球内切低射将球射偏
24'姜宁回作球转移到杜威的脚下，分球给廖均健，再转移球出了边线                   21'第21分钟，姜宁大范围转移，卡库塔空当处得球内切低射将球射偏
24'吴庆杀到禁区内，小角度打门被杨程扑出了底线                   21'第21分钟，姜宁大范围转移，卡库塔空当处得球内切低射将球射偏
28'费尔南多控球推 进，挑传 到禁区内，球被许小龙解围出来                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
28'徐洋外围控球，再次挑传 禁区内，李行头球顶出来                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
28'这段时间河北华夏队踢得有点被动～                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
29'河北华夏队右推 进，廖均健传 球被破坏出来                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
29'廖均健界外球掷到禁区内，对方后卫连续的头球接力解围了                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
29'王栋得球准备快速发动反击，罗森文回防把球铲出边线                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
30'比赛进行了30分钟了                   28'第28分钟，姜宁战术角球传中，阿洛伊西奥后点头球吊射被门将没收
41'郑又荣外围控球，转移给左侧的徐洋，再回敲球给刘宇                   41'第41分钟，重庆力帆错失空门机会，吴庆获得单刀机会，摆脱出击的杨程直面空门，但吴庆选择无私横传，卡尔德克近距离推射被补位的姆比亚头球挡出球门
41'刘宇挑传球给吴庆，杨程出击失误！卡尔德克打空门高了                   41'第41分钟，重庆力帆错失空门机会，吴庆获得单刀机会，摆脱出击的杨程直面空门，但吴庆选择无私横传，卡尔德克近距离推射被补位的姆比亚头球挡出球门
42'噢，打到了补位队员，球出底线                   41'第41分钟，重庆力帆错失空门机会，吴庆获得单刀机会，摆脱出击的杨程直面空门，但吴庆选择无私横传，卡尔德克近距离推射被补位的姆比亚头球挡出球门
43'角球由王栋来主罚，直接出了底线                   41'第41分钟，重庆力帆错失空门机会，吴庆获得单刀机会，摆脱出击的杨程直面空门，但吴庆选择无私横传，卡尔德克近距离推射被补位的姆比亚头球挡出球门
47'丁捷控球，直传 球被断下来                   47'第47分钟，阿洛伊西奥禁区外拿球选择直接远射，可惜再次偏出
