1'上半场比赛开始！！                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
1'首先开球的是北京国安                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
3'谢尔盖耶夫拿球给到右路                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
3'底线的下底给到禁区中路                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
3'落点并不好                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
4'亚泰这边获得角球机会                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
4'角球送中路                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
4'落点也不是很好                   1'长春在降雨天气下非常阴冷，而比赛双方在第1分钟迅速进入拼抢对峙状态
15'中场断球直接发动快速反击                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
15'伊尔马兹禁区过掉门将了                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
15'小角度传到中路                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
15'于大宝停球后转身直接打门                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
16'居然被后卫挡了下来                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
17'国安队错过一次绝佳的机会                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
18'0-1！！                   15'第15分钟，亚泰后场传球失误被于大宝抢断，伊尔马兹冲入禁区时虽趟球过大，仍是过掉门将并将球传到门前，于大宝转身攻门被亚泰后卫封堵
