5'定位球大脚开出，吊向禁区，吴龑出击，单拳打出                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
5'建业的反击本来传大了，但是祎凡后场传递险些失误啊                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
6'祎凡出场次数非常有限，也很少经历这种雨战，这是一大隐患                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
6'奥斯曼前场拼抢犯规                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
6'亚泰后场三角传递，张笑非给马季奇，杜震宇背身护球被推倒                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
6'建业今天前场的压迫做的比较到位，不让对方打出反击                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
7'李光中圈内纠缠奥斯曼被吹了犯规                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
7'今天这场比赛实在难言精彩，建业本就是防守见长，而又下雨，更是影响技战术发挥                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
8'伊斯梅洛夫长传一脚，禁区内莫雷罗争顶未果，被吴龑没收                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
8'亚泰中后场传递出现失误                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
8'建业快攻，中路尹鸿博得球，一记远距离发炮，打高了                   5'第5分钟，杜震宇主罚任意球吊向禁区，吴龑出击单拳将球打出
46'建业在最后这几分钟掀起了小高潮                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
46'布鲁诺后场得球，自己利用速度生吃                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'连续抹过上来抢球的对手，布鲁诺强硬的从后场杀到了对方禁区前沿                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'顾操最后背身铲抢，布鲁诺踉跄两下还是传了出去                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'不过这球没有传到位，而马宁补哨，吹了顾操犯规                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'亚泰前场定位球，距离比较远                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'莫雷罗主罚，还是选择了直接射，，球略高出横梁                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'马宁顺势吹了上半场结束的哨音                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'补一个信息，刚刚顾操的犯规吃到了黄牌                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
46'下半场开始了，建业开球                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
46'回敲到后场给麦克格文                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
46'长传出来，左侧给哈维尔，中路交给尹鸿博                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
46'禁区外搓一脚，给的比较大，直接出了底线                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'祎凡门球交给伊斯梅洛夫                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'前场找到范晓冬，伊沃上抢被吹犯规                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'杜震宇定位球吊入对方禁区，第一点被麦克格文顶出                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
47'反击过来，尹鸿博边路直塞给杨阔                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'杨阔插上助攻，传中到后点，伊沃被落了，伊沃后点小角度爆射，偏出                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'建业连续的进攻，奥斯曼禁区前沿的爆射又被挡出                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'杨博宇大脚解围出来                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
48'尹鸿博右路带球突破，禁区前沿造成对方犯规                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
49'位置相当好的一记定位球，下半场建业给亚泰来了一记下马威，连续猛攻                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
49'伊沃主罚这个球，场下李章洙要派上裴帅了                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
49'伊沃选择了直接射门，放了高射炮。。。。                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
49'亚泰换人，裴帅替下了李光，李光是纯粹的工兵，而裴帅进攻能力要更好一些                   46'1分钟后亚泰中场传递出现失误，建业追身打反击，尹鸿博中路得球一记远距离发炮打高
15'禁区内在传被顾操奋力挡出                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
15'右路边线球，蒋哲接应，底线强突，被外力挡出，角球                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
15'右侧角球机会，杜震宇主罚                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
15'平快球找前点，被解围出来                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
15'外围杜震宇圆月弯刀再起                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
16'球进了，，，伊斯梅洛夫                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
16'带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头顶入网窝，吴龑没有任何反应                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
17'这球杜震宇送出了精彩助攻。伊斯梅洛夫身材也是高达1米92。所以防守起来还是比较有难度                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
17'凭借这球，作客的亚泰取得梦幻开局。而其他几场事关保级的比赛还都是0-0                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
18'亚泰前场右路又获得定位球机会                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
18'杜震宇弯刀再来，建业防守略显紧张                   15'长春亚泰在第15分钟打破僵局——杜震宇右路圆月弯刀送出精准传中，带刀中卫伊斯梅洛夫小禁区中央高高跃起，狮子甩头将球顶入网窝，吴龑毫无反应，1-0
29'杨阔最后在直塞找哈维尔，被张笑非挡出                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
29'建业这波进攻还没完事，伊沃把球交到左路                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
29'尹鸿博左侧吊向禁区后点，伊沃顺势插上，埋伏在张笑非身后，俯身轰炸                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
30'这球貌似是顶向禁区中央，要传，，不过没人                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
30'尹鸿博前场右侧拼抢犯规                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
31'亚泰长传到禁区前沿，外围马季奇胸部一停，在送弧顶的同伴，被断                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
31'反击过来，哈维尔带球，过了中场                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
31'远端尹鸿博在跑位，哈维尔的转移直接飞出边线                   29'第29分钟尹鸿博左侧将球吊向禁区后点，伊沃顺势插上头球摆渡，可惜无人包抄抢点
