6'王鹏为石家庄永昌在对方半场,赢得一个任意球.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
6'广州富力球员汪嵩危险动作,对手获得控球权.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
6'石家庄永昌球员许博大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是李春郁.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
7'石家庄永昌球员Diego Mauricio拼抢犯规,对手获得控球权.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
7'扎哈维为广州富力赢得一个任意球.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
9'石家庄永昌球员赵容亨拼抢犯规,对手获得控球权.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
9'肖智为广州富力在对方半场,赢得一个任意球.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
16'进球啦！！！广州富力球员雷纳迪尼奥左脚射门,球从右下角飞进球门,球进了! 石家庄永昌 0-1 广州富力.                   16'第16分钟，雷纳迪尼奥主罚点球，大力轰向球门右侧，皮球应声入网
17'毛剑卿为石家庄永昌在左路,赢得一个任意球.                   16'第16分钟，雷纳迪尼奥主罚点球，大力轰向球门右侧，皮球应声入网
17'广州富力球员唐淼拼抢犯规,对手获得控球权.                   16'第16分钟，雷纳迪尼奥主罚点球，大力轰向球门右侧，皮球应声入网
18'汪嵩将球处理出底线,石家庄永昌获得角球.                   16'第16分钟，雷纳迪尼奥主罚点球，大力轰向球门右侧，皮球应声入网
19'石家庄永昌球员Diego Mauricio拼抢犯规,对手获得控球权.                   16'第16分钟，雷纳迪尼奥主罚点球，大力轰向球门右侧，皮球应声入网
19'雷纳迪尼奥为广州富力赢得一个任意球.                   16'第16分钟，雷纳迪尼奥主罚点球，大力轰向球门右侧，皮球应声入网
19'石家庄永昌球员Diego Mauricio拼抢犯规,对手获得控球权.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
19'雷纳迪尼奥为广州富力赢得一个任意球.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
20'石家庄永昌球员李提香拼抢犯规,对手获得控球权.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
20'唐淼为广州富力在右路,赢得一个任意球.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
20'黄牌！石家庄永昌球员李提香因为恶意犯规,被主裁判出示黄牌.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
21'鲁本为石家庄永昌在对方半场,赢得一个任意球.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
21'广州富力球员汪嵩拼抢犯规,对手获得控球权.                   19'第19分钟之后，富力卷土重来，雷纳迪尼奥、唐淼先后为富力获得任意球，结果并没有形成威胁
44'射门!!!广州富力球员肖智球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是扎哈维.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
44'点球,Diego Mauricio在禁区内被侵犯,石家庄永昌获得点球.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
44'广州富力球员张耀坤犯规,致使对方获得点球.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
45'+1'进球啦！！！石家庄永昌球员马修斯左脚射门,球从左下角飞进球门,球进了! 石家庄永昌 1-1 广州富力.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
45'+2'上半场结束,石家庄永昌 1-1 广州富力,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
46'李春郁为石家庄永昌赢得一个任意球.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
46'广州富力球员肖智拼抢犯规,对手获得控球权.                   44'第44分钟，永昌策动进攻，毛里西奥前场拿球后，飞速带球到了禁区，富力球员张耀坤在禁区内犯规，将其绊倒，被判罚点球
46'李春郁为石家庄永昌赢得一个任意球.                   46'易边后，双方第1分钟展开定位球大战
46'广州富力球员肖智拼抢犯规,对手获得控球权.                   46'易边后，双方第1分钟展开定位球大战
49'石家庄永昌球员毛剑卿大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是李春郁.                   46'易边后，双方第1分钟展开定位球大战
49'石家庄永昌球员王鹏拼抢犯规,对手获得控球权.                   46'易边后，双方第1分钟展开定位球大战
49'肖智为广州富力在左路,赢得一个任意球.                   46'易边后，双方第1分钟展开定位球大战
50'广州富力球员斯文松大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是唐淼.                   50'第50分钟，于洋、毛剑卿先后为富力觅得任意球，都没有形成威胁
50'石家庄永昌球员毛剑卿拼抢犯规,对手获得控球权.                   50'第50分钟，于洋、毛剑卿先后为富力觅得任意球，都没有形成威胁
50'于洋为广州富力赢得一个任意球.                   50'第50分钟，于洋、毛剑卿先后为富力觅得任意球，都没有形成威胁
52'石家庄永昌球员毛剑卿拼抢犯规,对手获得控球权.                   50'第50分钟，于洋、毛剑卿先后为富力觅得任意球，都没有形成威胁
52'唐淼为广州富力在右路,赢得一个任意球.                   50'第50分钟，于洋、毛剑卿先后为富力觅得任意球，都没有形成威胁
61'射门!!!石家庄永昌球员胡伟大禁区外左脚射门,被对方守门员横身扑出.给他传球的是王鹏.                   60'第60分钟，毛剑卿大禁区右侧大力射门，被富力防守队员封堵出来
61'石家庄永昌球员胡伟一脚直塞球给鲁本,但是边裁举旗显示后者已经越位.                   60'第60分钟，毛剑卿大禁区右侧大力射门，被富力防守队员封堵出来
62'石家庄永昌球员毛剑卿大禁区外右脚射门,被防守球员封堵.                   60'第60分钟，毛剑卿大禁区右侧大力射门，被富力防守队员封堵出来
63'进球啦！！！广州富力球员肖智大禁区中央右脚射门,球从右下角飞进球门,球进了! 石家庄永昌 1-2 广州富力.                   60'第60分钟，毛剑卿大禁区右侧大力射门，被富力防守队员封堵出来
72'石家庄永昌球员鲁本大禁区右侧右脚射门,被防守球员封堵.                   72'第72分钟，石家庄永昌发动进攻，毛里西奥带到禁区后，直接打门，被对方解围出来，但皮球并没有踢远
