1'上半场比赛开始                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
1'鲁能泰山队开球，回传后场                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
1'鲁能泰山队把球传到右路，天津泰达队断球反击                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
1'尤西雷中场断球，回带！                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
1'今天尤西雷的位置靠前了一些                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
2'天津泰达队长传球到前场，吴兴涵大脚解围                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
2'天津泰达队左路攻到前场，周通横传禁区，被赵明剑挡出底线                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
3'戴琳由于累积黄牌停赛！今天无法上场                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
3'蒙特罗发角球到禁区内前点！！蒿俊闵头球没能顶到，乱军中王大雷把球破坏！赵明剑将球开出底线                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
3'角球发前点，对方破坏出来                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
4'天津泰达队再从左路横传禁区，尤西雷破坏                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
4'尤西雷中路带球到前场，交给蒙蒂略                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
4'哎，乱传啊，吉尔长传球直接交给了杨启鹏                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
12'用户5923326807：叫全统哥吧[回复]:我的直播名是随便取的！请尊重，呵呵。原来叫航空母舰，曾经叫一统天下。与姓氏有关！                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
12'郭皓中场抢球侵犯了蒙蒂略，飞铲啊！！                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
12'主裁判给郭皓出示了黄牌                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
13'情系A沂蒙：没看直播，山东还步行吗？一统哥[回复]:今天鲁能泰山队主场作战，打得还积极！并且由吴兴涵率先进球！                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
13'天津泰达队长传球，鲁能泰山队断球进攻                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
13'蒙蒂略带球到前场，分边                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
13'赵明剑右路人球分过，小角度打门！被杨启鹏扑出底线！                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
13'应该是个角球！                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
14'杨启鹏示意是先出底线！但从慢镜来看，确实是个角球                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
14'角球发到禁区内，对方解围！鲁能泰山队再传禁区，继续破坏                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
14'塔尔德利左路突破丢球，天津泰达队快速反击                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
15'王大雷出禁区，真敢啊，胆子好大！出击还真准，把球破坏                   12'第12分钟，郭皓中场防守直接铲翻蒙蒂略，被主裁判黄牌警告
15'王大雷出禁区，真敢啊，胆子好大！出击还真准，把球破坏                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
16'蒂亚戈内左路突破传球，被破坏出边线                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
16'界外球发出来，天津泰达队左路传中，对方头球解围                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
16'国旗下最亮的星：一统哥，你也是看视频打字解说吧[回复]:是的！很少到现场解说！呵呵                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
17'混蛋明少：秦？[回复]:感觉你作为球迷，是又有激情，又聪明！                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
17'秒杀你2643：呼叫成源[回复]:成源长得又帅！脚下活也不错，冲击力强！                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
18'吉尔后场断球，大脚长传中场，对方争顶下来，到了塔尔德利脚下                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
18'塔尔德利左路突破，交给蒙蒂略                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
