1'上半场比赛开始                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
1'上半场由上海绿地申花中圈开球                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
1'李建滨交给陶金                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
1'陶金放长传上来，贺惯头球顶一下                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
1'莫雷诺拿到第二点，过来协防的王燊超将球破坏出边线                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
2'马丁斯右路拿球，一扣，球被王燊超捅出边线                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
2'孙世林过来掷这个界外球                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
2'力量很大掷到小禁区前沿，莫雷诺头球摆渡下来                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
2'第二点无人跟进，球出底线                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
3'绿地申花的长传左路，张华晨先断球，曹赟定踢对方后脚犯规                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
4'张华晨先走到场边接受治疗                   1'开场1分钟，孙世林右路界外球掷入禁区，莫雷诺头球顶偏
4'张华晨先走到场边接受治疗                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
5'上港后场控球，石柯长传右路的胡尔克                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
5'胡尔克内切交给蔡慧康                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
5'这是奥斯卡，奥斯卡传中，武磊头球攻门顶高了                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
5'李帅发门球上来                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
6'瓜林来一脚吊门，稍稍高了                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
6'石柯长传上来                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
6'胡尔克护球被孙世林踢倒                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
6'上港前场任意球，距离比较远                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
7'蔡慧康交给武磊，分给王燊超，下底传中                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
7'埃尔克森抢点垫射，力量没有打上，李帅将球没收                   4'第4分钟胡尔克右路突破被李建滨铲出，奥斯卡外围再传，武磊强行头攻高出，第4分钟瓜林在本方半场突然超长距离吊射，皮球稍稍偏出
6'瓜林来一脚吊门，稍稍高了                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
6'石柯长传上来                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
6'胡尔克护球被孙世林踢倒                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
6'上港前场任意球，距离比较远                   6'第6分钟王燊超左路下底传中，埃尔克森抢在陶金之前捅射被李帅扑住
