5'中场的争夺                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
5'亿利将球控制下来                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
6'赵宏略的长传                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
6'买提江分边右路                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
6'跟进上来的白岳峰传中，没有控制好，球直接飞出底线                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
7'杨启鹏长传上来                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
7'转移到右路的张诚，回传，郭皓破坏出边线                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
7'权健右路的界外球                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
7'张诚掷出，队友停球出边线                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
7'伊德耶前场护球，被赵旭日抢断                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
8'分给糜昊伦，短传被买提江断下                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
8'分给胡人天                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
8'回传给买提江，转移给了赵宏略                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
8'回传给潘喜明                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
46'帕托的远射，打高了                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'权敬源左路掷界外球，潘喜明的解围                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'上半场比赛结束！                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
46'下半场由天津亿利中圈开球                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
46'左路糜昊伦的长传，球直接飞出底线                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
46'古德利左路下底传中，被刘奕鸣顶出禁区                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
46'古德利再得球，送禁区，被赵旭日踢出边线                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'白岳峰掷界外球，郭皓接应一下                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'还是白岳峰，胡人天出来要球                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'送过顶长传，球出底线                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'郭皓带球                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
47'分给左路的糜昊伦                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
48'再交给右路的白岳峰                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
48'回传给黄锡镐                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
48'古德利拿一拿球                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
48'潘喜明长传打到禁区内，伊德耶待皮球落地，转身小角度抽射，打在边网上                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
49'张鹭发门球                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
49'被破坏                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
49'胡人天接应回传给郭皓                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
49'古德利接应分左侧的惠家康                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
49'再回传给古德利，大力远射，打偏了                   46'1分钟之后，天津权健获得前场任意球，帕托开球到对方禁区内，杨启鹏把球击出禁区
13'伊德耶右路得球分给古德利，传中，权敬源顶到第一点                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
13'刘奕鸣将球破坏出边线                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
13'赵宏略直传被权敬源破坏                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
13'权健后场传球失误                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
13'胡人天得球，晃动后右脚远射，打偏了                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
14'黄锡镐后场拿球，直传一下                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
14'白岳峰交给古德利，转移给了赵宏略                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
14'再交给杨立瑜                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
15'赵宏略再跟上左右扣球后过了张诚                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
15'横传给胡人天，打门，力量太小了，张鹭将球拿住                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
15'王永珀右路放长传，给得有点深，杨启鹏将球没收                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
16'权健的推进                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
16'帕托分边                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
16'郑达伦的下底传中，没有传起来                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
16'胡人天右侧争高球时没有成功                   13'第13分钟，胡人天在对方大禁区前沿起脚射门，皮球出了底线
17'王永珀中场接应，直传，帕托没有追上                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
17'杨启鹏开出门球                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
17'伊德耶接应，没有停好                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
17'权敬源解围不远                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
17'但杨立瑜的横带球趟大了                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
17'黄锡镐中场放倒了帕托                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
18'动作比较大                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
18'张诚直传，看李星灿，走底线，直接趟出底线                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
18'杨启鹏发出门球                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
18'刘奕鸣顶一下                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
18'王永珀分边左侧，白岳峰断球                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
19'长传上来，伊德耶接应交给胡人天                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
19'胡人天右肋部下底传中，球被权敬源挡出底线                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
19'亿利右路的角球机会                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
19'买提江准备主罚                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
20'送前点，刘奕鸣没有蹭着                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
20'外围胡人天远射，打偏了                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
20'买提江中场接应被赵旭日放倒                   17'第17分钟，帕托在拼抢中被黄锡镐放倒，痛苦倒地
20'送前点，刘奕鸣没有蹭着                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
20'外围胡人天远射，打偏了                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
20'买提江中场接应被赵旭日放倒                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
23'张诚掷界外球                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
23'赵宏略直接蹬倒了李星灿                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
23'权健右路的任意球机会                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
23'李星灿任意球旋到门前，杨启鹏出击打得不远                   20'第20分钟，赵旭日抬腿过高，踢到了买提江的脸，买提江捂着脸痛苦倒地，主裁判黄烨军向赵旭日出示了一张黄牌
26'帕托禁区右侧打门打高了                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
26'伊德耶控球，回传                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
26'糜昊伦左路长传，潘喜明破坏一下                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
27'赵旭日分给张诚，传中，传大了，球直接飞出边线                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
27'天津亿利换人，17号惠家康换下了20号杨立瑜！                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
29'潘喜明交给黄锡镐                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
29'黄锡镐交给白岳峰，回给黄锡镐                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
29'转移给了赵宏略                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
