1'上半场比赛开始！！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
1'首先由客队申花开球，从画面的左侧向右进攻！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
1'申花后场过顶长传找莫雷诺                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
1'莫雷诺头球没顶到，被富力球员解围！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
2'李运秋界外球给到丛震                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
2'丛震头球回顶给李运秋，再回传后场控制                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
3'孙世林的后场长传，被断啦！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
3'富力的反击，姜至鹏左路拿球，斜传到禁区                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
3'卢琳前插接应，和回防的熊飞相撞倒在禁区                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
4'裁判没理会，球别李帅出击拿到！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
4'李帅大脚将门球开到前场！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
4'特维斯胸部停球，手球违例！！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
4'富力中场失误，李运秋拿球反击！！                   1'第1分钟富力即利用地面配合上的优势，压制申花在半场之内
14'雷纳迪尼奥前场右路拿球，面对逼抢，回传唐淼                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
15'唐淼再给肖智，肖智回传雷纳迪尼奥                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
15'雷纳迪尼奥右路横切，起脚打门，被挡出                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
15'球再次到了雷纳迪尼奥脚下，调整一步，起脚远射，打偏！                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
16'特维斯前场右路拿球，面对三人围抢！！                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
16'转身强突，可惜球丢了！！                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
16'卢琳拿球，分球左侧给姜至鹏                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
16'姜至鹏再给肖智，肖智分球左侧卢琳                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
16'卢琳边路横传，回给姜至鹏！！                   13'第13分钟雷纳尔迪尼奥第一脚射门被金基熙挡出，第二脚再射偏出
19'特维斯前场中路拿球，强突被放倒在地！！                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
20'裁判示意不犯规，球被富力球员控制！！                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
20'扎哈维前场中路拿球，分球右侧给到雷纳迪尼奥                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
20'雷纳迪尼奥右路内切，传中到门前                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
20'肖智高高跃起，甩头轰门，顶进！！！                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
22'熊飞前场右路背身拿球，姜至鹏身后上抢犯规！！                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
22'申花获得前场右路的任意球机会！！                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
22'任意球斜塞给前点的莫雷诺                   19'富力继续攻，第19分钟扎哈维中路转移，唐淼右路拿球后传中，肖智中路争顶，但球被陶金先顶出界外，主裁却判罚了球门球
25'唐淼后场右路拿球，面对逼抢，回传黄政宇                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
25'乌索中场拿球，丛震争抢犯规！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
26'富力前场进攻，唐淼右路拿球！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
27'强突下底，传中到门前！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
27'扎哈维的头球，被挡出来！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
27'球到了乌索脚下，调整，再打，被挡                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
27'金基熙上来，抢在姜至鹏之前将球破坏！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
27'申花的反击，右路进攻，姜至鹏的犯规！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
28'申花获得前场右路的任意球机会！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
28'战术球开出，特维斯拿球强突                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
28'回传给曹赟定，曹赟定停球摆脱防守                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
28'右边路的传中球到后点，金基熙跟进左脚垫射，打偏！！                   25'第25分钟富力又从右路攻入，申花防线再次被攻破，但乌索动作稍慢，射门被挡出
36'扎哈维前场拿球，分球中间给乌索                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
36'乌索拿球再突，斜塞禁区找卢琳                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
36'球被熊飞回防出脚解围！！                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
36'申花的反击，特维斯拿球                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
36'乌索回防身后拉人犯规！！！                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
38'申花获得前场中路的任意球！！                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
38'特维斯任意球直接轰门，放了高射炮！！                   36'第36分钟申花难得推进到前场，乌索对特维斯犯规，申花拿到位置不错的任意球机会，特维斯罚出的弧线球稍偏出界
42'申花前场失误，陈志钊抢断！！                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
42'陈志钊带球到前场，分球右路找唐淼                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
42'申花队断球，左路的反击！！！                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
43'曹赟定强突，边路传中到门前！！                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
43'特维斯甩头轰门，穿了乌索的小门                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
43'球直奔球门，程月磊倒地，将球按在了球门线上！！                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
43'尽管如此，乌索还是回来，想出脚解围。。                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
44'富力前场进攻，赢得左侧角球机会！！                   41'第41分钟申花终于打出象样进攻，曹赟定左路下底传中，特维斯近门头球顶死角，程月磊飞扑把球在门线上死死按住
43'曹赟定强突，边路传中到门前！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
43'特维斯甩头轰门，穿了乌索的小门                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
43'球直奔球门，程月磊倒地，将球按在了球门线上！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
43'尽管如此，乌索还是回来，想出脚解围。。                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
44'富力前场进攻，赢得左侧角球机会！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
45'卢琳主罚，开出到禁区，姜积弘的头球，顶高！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
45'特维斯前场背身拿球，回传莫雷诺                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
45'莫雷诺不停球，再分右侧找李运秋                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
45'可惜传大了，球先出了边线！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
45'上半场比赛补时1分钟！！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
46'雷纳蒂尼奥中场拿球，回传姜至鹏                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
46'姜至鹏直塞给卢琳，卢琳再给扎哈维                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
46'下半场比赛开始！！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
46'蓝衣蓝裤的富力开球，从画面的左侧向右进攻！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
46'上半场富力的控球率达到了69%！！！！                   43'第43分钟卢琳开出左路角球，姜积弘头球射门稍高
49'陶金的大范围斜传转移找莫雷诺                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
49'被雷纳迪尼奥拦截，分球乌索                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
49'乌索再给肖智，肖智直塞扎哈维                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
49'扎哈维停球变向，准备强突                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
50'犹豫中，球被防守的孙世林出脚破坏                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
50'申花的反击，曹赟定强吃姜至鹏                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
50'强突到禁区弧顶，起脚打门！！                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
50'太正了，被程月磊出击稳稳拿到！！                   49'第49分钟申花快攻到前场，曹赟定左路内切后射门打得太正
56'申花的反击，曹赟定中路拿球                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
56'强突到禁区弧顶，分球左侧找莫雷诺                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
57'莫雷诺停球内切，准备打门，哨响了                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
57'边裁举旗，莫雷诺越位在先！！                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
57'不过慢镜回放显示，这个球是好球啊！！                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
58'曹赟定中场拿球，转身变向被陈志钊踢翻在地！                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
58'曹赟定受伤倒地，有些拉伤了！！                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
59'申花被迫换人：28号曹赟定被迫换下，换上20号王赟！！！                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
59'莫雷诺中场拿球，被乌索放倒在地！！                   56'第56分钟曹赟定拼抢后突然倒地不起，接着他自己起身后往场下走，申花被迫换人，王赟换下曹赟定
60'曹赟定刚刚离场走的慢了点，裁判认为拖延时间，对其出示了黄牌！                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
61'特维斯前场中路拿球，强突分球右侧给莫雷诺                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
61'莫雷诺变向穿裆过掉扎哈维                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
61'内切到禁区，起脚打门，打在防守球员身上出底线！！                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
61'申花获得右侧角球机会！！！                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
62'申花这边有球员抽筋，被担架抬出场外！！                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
62'申花换人：34号毕津浩上，换下抽筋的6号栗鹏                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
63'特维斯右侧角球开出到前点！！                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
63'陶金抢点垫射，打在了边网上！！                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
63'申花前场抢断，直塞给莫雷诺                   60'第60分钟莫雷诺右路连过两人后射门，球打在姜积弘身上弹出界外
