25'华夏的门球                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
25'维特塞尔倒地拦截成功                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
25'回敲身后的权敬源                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
27'给到中路的赵旭日                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
27'大范围转移到左路                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
27'郑达伦前插，越位了                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
28'杨程大脚开出，到了前场右路                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
28'糜昊伦顶出了边线                   25'第25分钟，帕托在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
73'孙可左路传中到后点                   72'第72分钟，孙可送出传球，帕托在对方禁区内小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
73'帕托跟进右脚打门击中立柱啊                   72'第72分钟，孙可送出传球，帕托在对方禁区内小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
73' 权健前场左路的边线球                   72'第72分钟，孙可送出传球，帕托在对方禁区内小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
75'尹鸿博和张修维发生了冲突                   72'第72分钟，孙可送出传球，帕托在对方禁区内小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
75' 张修维吃到黄牌！                   72'第72分钟，孙可送出传球，帕托在对方禁区内小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
49'李星灿垫人犯规了                   48'第3分钟，桂宏中路欲突入对方禁区，皮球被张鹭拿到
49' 姜文骏大脚开向前，被刘奕鸣控制                   48'第3分钟，桂宏中路欲突入对方禁区，皮球被张鹭拿到
50'拉维奇 向前给了一脚直塞球                   48'第3分钟，桂宏中路欲突入对方禁区，皮球被张鹭拿到
51' 插上的桂宏直接推倒了权敬源                   48'第3分钟，桂宏中路欲突入对方禁区，皮球被张鹭拿到
54'阿洛伊西奥倒钩传球， 被赵旭日断下                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
55'李星灿拿球摆脱防守低射                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
55'杨程神勇扑出来                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
55'姆比亚倒在了地上                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
56'马宁吹停了比赛                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
57'权健前场左路的任意球                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
57' 王永珀越位位置头球                   54'第9分钟，河北华夏幸福左路传中，赵明剑准备在对方禁区内抢点，皮球被权敬源破坏
57'权健前场左路的任意球                   57'第12分钟，河北华夏幸福快速反击，阿洛伊西奥内切射门，皮球打在防守球员身上弹出底线
57' 王永珀越位位置头球                   57'第12分钟，河北华夏幸福快速反击，阿洛伊西奥内切射门，皮球打在防守球员身上弹出底线
59'权健右路的角球机会                   57'第12分钟，河北华夏幸福快速反击，阿洛伊西奥内切射门，皮球打在防守球员身上弹出底线
59'权健先换人了，孙可替下李星灿                   57'第12分钟，河北华夏幸福快速反击，阿洛伊西奥内切射门，皮球打在防守球员身上弹出底线
60' 王永珀角球开到禁区后点， 这边权健队员进攻犯规                   57'第12分钟，河北华夏幸福快速反击，阿洛伊西奥内切射门，皮球打在防守球员身上弹出底线
60'比赛来到60分钟                   57'第12分钟，河北华夏幸福快速反击，阿洛伊西奥内切射门，皮球打在防守球员身上弹出底线
59'权健右路的角球机会                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
59'权健先换人了，孙可替下李星灿                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
60' 王永珀角球开到禁区后点， 这边权健队员进攻犯规                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
60'比赛来到60分钟                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
61' 权敬源大力手抛球扔出                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
61'禁区中央被金洋洋顶出                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
62' 外围王永珀直接起右脚凌空打门，偏了                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
62' 外围是糜昊伦控制                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
62' 回敲后场的权敬源                   59'第14分钟，拉维奇开出右侧角球，皮球被对方球员破坏
64' 桂宏一记斜传， 禁区内的拉维奇头球摆渡                   63'第18分钟，张呈栋在对方禁区内右侧小角度射门，皮球偏离了目标，张呈栋被判手球
64' 中央没人接应，被张鹭没收                   63'第18分钟，张呈栋在对方禁区内右侧小角度射门，皮球偏离了目标，张呈栋被判手球
66'中路的王永珀拿球， 连续的拉球                   63'第18分钟，张呈栋在对方禁区内右侧小角度射门，皮球偏离了目标，张呈栋被判手球
66'尹鸿博断下， 回给身后的拉维奇                   63'第18分钟，张呈栋在对方禁区内右侧小角度射门，皮球偏离了目标，张呈栋被判手球
70'权健换人，张修维替下王永珀                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
70'华夏中路的进攻， 拉维奇转移到左侧                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
70' 阿洛伊西奥没有追上皮球，出了底线                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
71'维特塞尔和罗森文发生了冲突                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
71'维特塞尔吃到一张黄牌！                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
73'孙可左路传中到后点                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
73'帕托跟进右脚打门击中立柱啊                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
73' 权健前场左路的边线球                   70'第25分钟，帕托在对方禁区前沿得球后，在对方禁区中路起脚射门，皮球稍稍偏出左侧门柱
73'孙可左路传中到后点                   72'第27分钟，糜昊伦左路插上接球，被判越位
73'帕托跟进右脚打门击中立柱啊                   72'第27分钟，糜昊伦左路插上接球，被判越位
73' 权健前场左路的边线球                   72'第27分钟，糜昊伦左路插上接球，被判越位
75'尹鸿博和张修维发生了冲突                   72'第27分钟，糜昊伦左路插上接球，被判越位
75' 张修维吃到黄牌！                   72'第27分钟，糜昊伦左路插上接球，被判越位
78' 权健右路的进攻                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
79'帕托挑传，张修维前插                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
79'张修维直塞禁区，被杨程抱住                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
79'尹鸿博直接被撞翻在地                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
80'赵旭日吃到一张黄牌                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
80'华夏前场中路的任意球机会                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
81'拉维奇右脚开到禁区，维特塞尔头球解围出了底线                   78'第33分钟，阿洛伊西奥在对方禁区外大力射门，皮球被张鹭保住
87'张呈栋边路低平球横传，球被断掉                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
87'董学升反抢犯规了                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
88'华夏换人，姜宁替下阿洛伊西奥                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
89'权健左路的边线球，扔给左路的维特塞尔                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
90' 糜昊伦停球失误！出了边线                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
87'张呈栋边路低平球横传，球被断掉                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
87'董学升反抢犯规了                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
88'华夏换人，姜宁替下阿洛伊西奥                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
89'权健左路的边线球，扔给左路的维特塞尔                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
90' 糜昊伦停球失误！出了边线                   87'第42分钟，拉维奇在对方禁区内倒地，主裁判马宁没有判罚
91'下半场补时3分钟                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
91'权健前场左侧带球，球丢了                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
92'糜昊伦前场抢断，自己带出了边线                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
92'卡纳瓦罗站在场边也很无奈                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
92'维特塞尔转移右侧，又是一个失误                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
93'权健右路进攻，张修维得球给后场                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
93'后场长传球找维特塞尔，被破坏出去                   91'第46分钟，张诚在边路铲倒阿洛伊西奥，被主裁判马宁出示一张黄牌
73'孙可左路传中到后点                   72'第72分钟，孙可送出传球，帕托小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
73'帕托跟进右脚打门击中立柱啊                   72'第72分钟，孙可送出传球，帕托小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
73' 权健前场左路的边线球                   72'第72分钟，孙可送出传球，帕托小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
75'尹鸿博和张修维发生了冲突                   72'第72分钟，孙可送出传球，帕托小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
75' 张修维吃到黄牌！                   72'第72分钟，孙可送出传球，帕托小角度垫射，皮球可惜打在门柱上弹出，杨程拿到皮球
75'尹鸿博和张修维发生了冲突                   74'第74分钟，张修维领到一张黄牌
75' 张修维吃到黄牌！                   74'第74分钟，张修维领到一张黄牌
76'权敬源被推倒犯规了                   74'第74分钟，张修维领到一张黄牌
77' 给到中路的维特塞尔                   74'第74分钟，张修维领到一张黄牌
81'拉维奇右脚开到禁区，维特塞尔头球解围出了底线                   81'第81分钟，河北华夏幸福开出角球，阿洛伊西奥头球攻门，皮球偏离了目标
82'权健继续换人，郑达伦下，苏缘杰上                   81'第81分钟，河北华夏幸福开出角球，阿洛伊西奥头球攻门，皮球偏离了目标
82'张鹭门球开出来，维特塞尔控制                   81'第81分钟，河北华夏幸福开出角球，阿洛伊西奥头球攻门，皮球偏离了目标
83'华夏也要换人，董学升替下尹鸿博                   81'第81分钟，河北华夏幸福开出角球，阿洛伊西奥头球攻门，皮球偏离了目标
84' 张呈栋传中到了禁区                   81'第81分钟，河北华夏幸福开出角球，阿洛伊西奥头球攻门，皮球偏离了目标
84'后点的阿洛伊西奥倒钩射门，被解围出来                   81'第81分钟，河北华夏幸福开出角球，阿洛伊西奥头球攻门，皮球偏离了目标
46'权健队医上来处理                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
47'赵明剑向前的长传， 被糜昊伦断下                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
46'下半场比赛开始了                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
46'维特塞尔直接向前开                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
46' 被顶出来了                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
47' 阿洛伊西奥左路带球狂奔                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
47' 张诚斜刺里杀出， 把阿洛伊西奥整个铲飞了                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
47'张诚吃到黄牌                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
49'李星灿垫人犯规了                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
49' 姜文骏大脚开向前，被刘奕鸣控制                   46'1分钟之后，河北华夏幸福的进攻收到回报，拉维奇开出前场任意球，姆比亚在对方禁区内头球攻门，皮球飞入球网，把场上比分改写为1-0
