4'姜文骏左路直传球，被挡出边线                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
4'塔尔德利前场得球，被对方铲出                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
5'热尔维尼奥目前还没有前插！他们在适应比赛，保守的打法                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
6'塔尔德利传球，崔巍脚后跟传球，再回传                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
6'崔巍在前场抢断，姆比亚抢球犯规                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
6'任意球发出来传到禁区内，河北华夏队断球反击                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
7'蒿俊闵阻止了一下！但河北华夏队把球传到左路，阿洛伊西奥突破造成戴琳犯规                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
7'戴琳要小心啦，再吃黄牌的话下一场就无法出场了                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
7'任意球发到禁区内，被破坏出来，塔尔德利回来拿球                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
16'河北华夏队得到任意球机会                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
16'任意发到禁区内！佩莱抢点解围，象是打门啊！皮球打在网顶上！                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
16'这个任意球发得不错！                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
17'多亏球网被系住了！否则还真漏下来！                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
17'角球发到禁区内！前点被破坏出来                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
17'张呈栋右路接球，回带传球丢啦                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
18'鲁能泰山队右路长传球，姜文骏将球破坏                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
18'界外球发出来，李松益挑传球，被赵宇豪破坏出边线                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
19'李松益右路传球给塔尔德利，再分边路，崔巍传中！！没能踢好啊，直接踢出底线                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
19'阿洛伊西奥接球直传球，被断                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
19'鲁能泰山队左路长传球找吴兴涵！球出边线                   16'第16分钟，华夏幸福获得前场任意球，尹鸿博弧线球传中，阿洛伊西奥头球争顶打在防守队员头上稍稍高出横梁
26'塔尔德利眼受伤！！怎么样呢？                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
