1'随着主裁判一声哨响，比赛开始                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
1'杨笑天送出长传球，球被解围出来                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
2'吴曦前场拿球，传球禁区                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
2'球被门将没收了                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
3'李帅大脚将球开出来                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
3'中场拉米雷斯将球控制下来                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
3'进球了！！！！！！！！！！！！！                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
3'苏宁率先取得了进球                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
4'拉米雷斯中场控制球直接斜传给到边路似乎是杨笑天，随后边路传球，插上的吴曦头球直接将球打进                   1'开场1分钟，高天意禁区外打弹地球被李帅接住
9'拉米雷斯的直传球丢了                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
10'申花队员拿球，吴曦犯规了                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
10'瓜林直接大脚将球开到前场                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
10'球被解围出来                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
11'特谢拉带球突破，横传球给插上的马丁内斯，起脚打门                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
11'打偏了                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
12'场上有人倒地了                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
12'瓜林                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
12'队医进来处理一下                   9'第9分钟申花任意球开入禁区，乱战中毛剑卿左侧射门被顾超扑出
11'特谢拉带球突破，横传球给插上的马丁内斯，起脚打门                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
11'打偏了                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
12'场上有人倒地了                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
12'瓜林                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
12'队医进来处理一下                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
13'OK，比赛继续                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
13'马丁内斯的传球被瓜林断下                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
14'特谢拉反断回来                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
14'高天意传球禁区，球被解围出来                   11'第11分钟瓜林拼抢中右脚踝被踢中倒地，虽然他很快起身坚持作战，但在第14分钟瓜林再次倒在场外，好在他只是换鞋再战
23'网络卡了不好意思                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
23'我们继续看比赛                   22'第22分钟申花左路险些进球，毛剑卿左路突击中和莫雷诺打出二过一配合，毛剑卿杀入禁区，在陶源干扰下强行起左脚推射，顾超做出关键扑救
