2' 郑达伦推传给中路                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
2' 王永珀突然起脚远射，打偏了                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
3'申花的定位球                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
3'瓜林开出来，直接被权健球员护出底线                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
4'郑达伦一记横敲给中路                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
4'分球时被柏佳骏放倒了                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
5' 张诚右侧边线球发出来                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
5' 又被瓜林碰出边线                   2'第2分钟又是维特塞尔转移，赵旭日远射高出
7'王永珀左侧角球给到禁区内左侧，帕托再分出来                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
7'王永珀左路传中， 到禁区后点                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
7' 又被申花球员碰出边线                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
8'前场中路郑达伦一脚直塞                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
8'帕托带球顺势杀入禁区， 被陶金一个拦截破坏下来                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
9' 赵旭日分球给左路的糜昊伦                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
9'帕托再分边给到下底的郑达伦                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
10'郑达伦下底传中                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
10'又被申花球员解围出底线                   7'第7分钟王永珀前场斜，帕托带球杀向申花大门，好在被陶金成功拦截
19'特维斯左侧角球开出，是个战术球                   18'第18分钟申花左路连续多人冲击，最后是特维斯截球后，从底线附近杀入，但最后的射门高出门楣
19'给到禁区内左侧的曹赟定                   18'第18分钟申花左路连续多人冲击，最后是特维斯截球后，从底线附近杀入，但最后的射门高出门楣
20'特维斯底线突破杀入禁区，小角度爆射射高了一点点                   18'第18分钟申花左路连续多人冲击，最后是特维斯截球后，从底线附近杀入，但最后的射门高出门楣
