3'王永珀主罚角球，发战术角球                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
3'帕托脚后跟传球出了边线                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
3'上海上港队界外球掷到场内，右路传球被赵旭日给断了下来，直塞进球到禁区内                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
3'颜骏凌出击把球得到                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
3'上海上港队控球反击                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
4'转移球到左侧，于海直塞球                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
4'胡尔克向带球向内突破，对方犯规了                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
4'刘奕鸣犯规送给了对方一个禁区角上的任意球机会                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
4'任意球由埃尔克森来主罚                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
5'任意球直接打门，绕过了人墙，也稍稍高出了横梁                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
6'天津权健队断球走左路推进，刘奕鸣犯规了                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
6'天津权健队获得任意球机会，还是由埃尔克森来主罚                   3'开场第3分钟胡尔克左路突破，刘奕鸣对其犯规，埃尔克森右脚直接打近角球高出
8'上海上港队得球，交到中路直塞球                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
8'王永珀拿球对方犯规了                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
9'吹了王永珀的犯规                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
9'天津权健队中场抢断，张修维传球找到赵旭日，                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
10'艾哈迈多夫犯规，天津权健队获得任意球机会                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
10'任意球开到禁区内，弹地之后，颜骏凌脱手了                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
10'不过反映挺快，再度跃起抢到李星灿前把球护住                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
11'天津权健队中场抢断，交到刘奕鸣的脚下，再分球给郑达伦                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
11'艾哈迈多夫上抢时犯规，放倒了郑达伦                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
11'天津权健队前场右侧的任意球机会                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
11'帕托来主罚任意球，开到禁区内，第一点被防守队员抢到顶出了边线                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
11'权敬源来掷界外球                   8'第8分钟天津队前场获得任意球机会，帕托打出电梯球，球到门前弹起，颜骏凌不敢硬接，他选择直接把球打出，李星灿赶前补射，颜骏凌猛虎下身，把球死死抱住
22'李玮峰在和第四官员交涉着，不知道什么原因哟                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
22'王燊超控球，转移到中路球被帕托给断了                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
23'天津权健队转移球到左侧，王永珀斜传球，张修维下底传中球被挡出了底线                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
23'天津权健队获得角球机会                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
23'王永珀来主罚角球，开到禁区内，帕托抢点攻门偏出了底线                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
25'上海上港队界外球掷到场内，埃尔克森过了郑达伦，再传禁区内，被顶出来                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
25'上海上港队右路再起球传后点，埃尔克森抢点时推人犯规                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
25'传球的是傅欢                   22'第22分钟王永珀开出左路角球，帕托高高跃起头球稍偏
25'上海上港队界外球掷到场内，埃尔克森过了郑达伦，再传禁区内，被顶出来                   25'第25分钟比赛提前进入补水时间段
25'上海上港队右路再起球传后点，埃尔克森抢点时推人犯规                   25'第25分钟比赛提前进入补水时间段
25'传球的是傅欢                   25'第25分钟比赛提前进入补水时间段
26'天津权健队中场断球，走中路渗透，直塞球到了王永珀的脚下                   25'第25分钟比赛提前进入补水时间段
26'王永珀背身拿球，没办法转身，再传球出给帕托                   25'第25分钟比赛提前进入补水时间段
26'糜昊伦左路的传中球直接被门将没收                   25'第25分钟比赛提前进入补水时间段
26'比赛进入补水的时间                   25'第25分钟比赛提前进入补水时间段
37'天津权健队中场抢断，右路的传球被王燊超给拦截下来                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
37'王燊超是上海上港队的场上队长                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
37'王燊超传球出了边线，天津权健队界外球，郑达伦掷到场内                   37'第37分钟上港右路傅欢快攻中传球，但武磊本场比赛第三次进入越位陷阱
