2'胡靖航右路传中，隋东陆手球犯规吃到黄牌                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
2'建业获得位置不错的定位球                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
3'多奇卡尔右路任意球开到禁区，球被顶出去，外围杨阔打门被封堵                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
3'建业开场后打的很积极啊                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
4'建业左路进攻，出了底线                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
5'外力掷出后场界外球                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
5'双反连续的交换界外球球权                   2'第2分钟，胡靖航右路起球，禁区外右侧隋东陆防守时手球犯规吃到黄牌
6'卡尔德克左路底线附近被断掉                   6'第6分钟，巴索戈带球连续盘带，横向转移找到左路阿布都外力，再吊向禁区被邓小飞没收
6'彭欣力中圈分球左侧，直塞吴庆被断掉                   6'第6分钟，巴索戈带球连续盘带，横向转移找到左路阿布都外力，再吊向禁区被邓小飞没收
7'卡尔德克后场接球，被身后推倒                   6'第6分钟，巴索戈带球连续盘带，横向转移找到左路阿布都外力，再吊向禁区被邓小飞没收
8'外力左路传中，球被刘欢顶给邓小飞                   6'第6分钟，巴索戈带球连续盘带，横向转移找到左路阿布都外力，再吊向禁区被邓小飞没收
9'刘宇后场放长传球，卡尔德克胸部停球杀到禁区，在顾操防守下碰出了底线                   6'第6分钟，巴索戈带球连续盘带，横向转移找到左路阿布都外力，再吊向禁区被邓小飞没收
9'费尔南多后场突破，被吹了手球                   6'第6分钟，巴索戈带球连续盘带，横向转移找到左路阿布都外力，再吊向禁区被邓小飞没收
13'力帆获得禁区外围定位球                   13'第13分钟，力帆获得禁区外围定位球，费尔南多任意球低平球射门，球被前点球员封堵
13'费尔南多任意球低平球射门，球被前点球员封堵                   13'第13分钟，力帆获得禁区外围定位球，费尔南多任意球低平球射门，球被前点球员封堵
14'建业左路传中球被隋东陆大脚踢出去                   13'第13分钟，力帆获得禁区外围定位球，费尔南多任意球低平球射门，球被前点球员封堵
14'吴庆左路直传，戈麦斯拦截下来                   13'第13分钟，力帆获得禁区外围定位球，费尔南多任意球低平球射门，球被前点球员封堵
16'吴庆前场左路拼抢，顾操一脚解围踢在吴庆身上出底线                   13'第13分钟，力帆获得禁区外围定位球，费尔南多任意球低平球射门，球被前点球员封堵
24'多奇卡尔任意球开到禁区远端，外力直接抽射打高                   24' 第24分钟，多奇卡尔任意球开到禁区远端，外力直接凌空抽射打高
26'吴庆左路传中，戈麦斯头球顶出                   24' 第24分钟，多奇卡尔任意球开到禁区远端，外力直接凌空抽射打高
27'力帆右路传中球，直接出了底线                   24' 第24分钟，多奇卡尔任意球开到禁区远端，外力直接凌空抽射打高
27'外力后场挑传，直接出了边线                   24' 第24分钟，多奇卡尔任意球开到禁区远端，外力直接凌空抽射打高
30'费尔南多带球突破，被自己带死了，禁区前沿斜传出了底线                   30'第30分钟，力帆进攻，卡尔德克右路接球倒三角回传到禁区，彭欣力跟上一脚垫射高出横梁，错失了破门良机
31'力帆后场长传右路，卡尔德克右路插上超车断球杀到禁区内横敲，彭欣力插上抢射打高                   30'第30分钟，力帆进攻，卡尔德克右路接球倒三角回传到禁区，彭欣力跟上一脚垫射高出横梁，错失了破门良机
33'费尔南多禁区左侧传球被戈麦斯破坏                   30'第30分钟，力帆进攻，卡尔德克右路接球倒三角回传到禁区，彭欣力跟上一脚垫射高出横梁，错失了破门良机
33'力帆左侧角球开出，前点卡尔德克头球攻门，吴龑飞身扑出                   30'第30分钟，力帆进攻，卡尔德克右路接球倒三角回传到禁区，彭欣力跟上一脚垫射高出横梁，错失了破门良机
38'费尔南多禁区前被顾操铲倒，顾操吃到了黄牌                   38'第38分钟，费尔南多禁区前被顾操铲倒，顾操吃到了黄牌，郑又荣任意球直接攻门，打在人墙上弹出
38'费尔南多站起来，额显得有点痛苦                   38'第38分钟，费尔南多禁区前被顾操铲倒，顾操吃到了黄牌，郑又荣任意球直接攻门，打在人墙上弹出
39'郑又荣任意球直接打门，被封堵                   38'第38分钟，费尔南多禁区前被顾操铲倒，顾操吃到了黄牌，郑又荣任意球直接攻门，打在人墙上弹出
41'建业左路传中，胡靖航中路头球攻门顶高                   38'第38分钟，费尔南多禁区前被顾操铲倒，顾操吃到了黄牌，郑又荣任意球直接攻门，打在人墙上弹出
43'费尔南多在场边接受下检查                   43'第43分钟，力帆队做出人员调整，冯劲替下了费尔南多，小摩托受伤无法坚持了
