29'唐淼传球被王寿亭断下                   27'上半场第27分钟瓜林30米外任意球怒射直接得分
29'中场争抢，裁判哨响，吹了张功的犯规                   27'上半场第27分钟瓜林30米外任意球怒射直接得分
29'张功还吃到了黄牌                   27'上半场第27分钟瓜林30米外任意球怒射直接得分
30'申花赢得任意球机会                   27'上半场第27分钟瓜林30米外任意球怒射直接得分
30'进球了！！！！！！！！！                   27'上半场第27分钟瓜林30米外任意球怒射直接得分
55'毕津浩送出长传球，找到曹赟定，往禁区里传，球被但出来                   55'第55分钟唐淼右路传球入禁区，肖智中路甩头攻门得分
56'富力进球了！！！！！！！！！！！！                   55'第55分钟唐淼右路传球入禁区，肖智中路甩头攻门得分
57'雷纳尔迪尼奥拿球，内切，突然传球禁区，肖智头球将球顶进                   55'第55分钟唐淼右路传球入禁区，肖智中路甩头攻门得分
58'OK，继续看比赛                   55'第55分钟唐淼右路传球入禁区，肖智中路甩头攻门得分
58'张功传球边路唐淼，往禁区里传                   55'第55分钟唐淼右路传球入禁区，肖智中路甩头攻门得分
51'中场莫雷诺拿球，被犯规了                   51'第6分钟王寿挺后场送球太轻，姜至鹏截球后远射被李帅扑住
52'莫雷诺横传球给到曹赟定，传球到禁区，球被程月磊扑出了底线                   51'第6分钟王寿挺后场送球太轻，姜至鹏截球后远射被李帅扑住
52'申花角球机会                   51'第6分钟王寿挺后场送球太轻，姜至鹏截球后远射被李帅扑住
53'角球开出来，前点，球被解围出来                   51'第6分钟王寿挺后场送球太轻，姜至鹏截球后远射被李帅扑住
54'雷纳尔迪尼奥将球传球禁区，找扎哈维，球被顶出来                   51'第6分钟王寿挺后场送球太轻，姜至鹏截球后远射被李帅扑住
58'OK，继续看比赛                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
58'张功传球边路唐淼，往禁区里传                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
59'球被挡出来                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
59'外围肖智拿球，被犯规了                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
59'富力定位球机会                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
59'往禁区里开，瓜林把球解围出来                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
60'外围张功拿球，继续传球禁区，肖智的头球攻门                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
60'顶偏了                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
61'中场争抢球                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
61'雷纳尔迪尼奥将球控制下来                   58'第13分钟曹赟定前场得球后过掉黄政宇，推进到禁区附近起脚怒射，同样打得太正，富力随即反击，雷纳尔迪尼奥禁区外远射打偏
64'程月磊大脚将球开出来                   64'第19分钟瓜林右路任意球送入禁区，金基熙前点头球被程月磊振臂把球打出界外
64'争抢球，莫雷诺犯规                   64'第19分钟瓜林右路任意球送入禁区，金基熙前点头球被程月磊振臂把球打出界外
66'李提香送出斜传球，给到姜志鹏，送出传中球                   64'第19分钟瓜林右路任意球送入禁区，金基熙前点头球被程月磊振臂把球打出界外
67'球被挡出来                   64'第19分钟瓜林右路任意球送入禁区，金基熙前点头球被程月磊振臂把球打出界外
67'外围姜志鹏控制球                   64'第19分钟瓜林右路任意球送入禁区，金基熙前点头球被程月磊振臂把球打出界外
66'李提香送出斜传球，给到姜志鹏，送出传中球                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
67'球被挡出来                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
67'外围姜志鹏控制球                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
68'莫雷诺断球展开反击                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
68'莫雷诺挑传禁区，球被踢出了底线                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
68'申花角球机会                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
68'角球开出来，前点，球被解围出来                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
69'外围李提香拿球                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
69'雷纳尔迪尼奥拿球被犯规了                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
69'富力前场定位球机会                   66'第21分钟富力从左侧打入，姜至鹏下底传中，雷纳尔迪尼奥中路大力扫射，但角度还是太正，李帅把球打出后，人再跃起把球接住
69'外围李提香拿球                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
69'雷纳尔迪尼奥拿球被犯规了                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
69'富力前场定位球机会                   69'第24分钟李运秋右路送球，朱建荣头球攻门稍稍出界
