8'蒿俊闵长传前场中路，交给佩莱！对方把球争顶下来                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
8'李海龙中场铲球犯规！吃到了黄牌                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
10'蒿俊闵中场断球，直传球丢啦                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
10'天津权健队左路反击！交孙可，没能接好，被破坏出边线                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
10'佩莱中路带球进攻，被断                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
10'天津权健队丢球，鲁能泰山队右路横传球，交给吴兴涵                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
10'吴兴涵横传球，被断                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
11'王彤左路突破，想给吴兴涵                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
11'鲁能泰山队后场倒脚，寻找进攻机会                   8'第8分钟，天津权健中场控球，李海龙放铲放倒孙可，被主裁判黄牌警告
47'鲁能泰山队边路进攻，对方把球破坏                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
47'张璐受伤倒在地上！怎么了？                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
47'张璐在传球时与塔尔德利对脚了                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
49'天津权健队长传前场左路！对方把球控下来                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
49'上半场比赛结束，双方都没能进球！0-0                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
47'鲁能泰山队左路进攻                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
47'蒿俊闵突破到禁区内，一对三过不去                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
48'佩莱在前场得球，强突！挑传，失误                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
48'天津权健队长传禁区，王大雷出击把球没收                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
49'塔尔德利左路横传禁区，佩莱抢点打门，皮球滑门慢慢而过。金敬道抢点打门也没能打到！                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
49'鲁能泰山队得到角球机会                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
49'角球发到禁区内前点！蒿俊闵抢点！打门偏出                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
50'马加特感觉非常遗憾。                   47'2分钟后，山东鲁能再次获得进攻良机，郑铮边路送出弧线球传中，刘奕鸣抢在佩莱倒地射门之前将球解围
32'金敬道右路突破横传禁区，被破坏出来                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
32'赵旭日长传球到前场左 路，吉尔将球传给王大雷                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
32'赵旭日在前场得球，突然一脚大力远射！击中横梁弹出！                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
32'鲁能泰山队躲过一劫！                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
34'郑铮左路横传禁区！被对方破坏出底线                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
34'鲁能泰山队得到角球机会                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
34'角球发到后点，吉尔顶回来！被破坏出禁区                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
34'李海龙一脚远射！张璐没收                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
35'赵旭日右路直传球，被破坏出边线                   32'第32分钟，天津权健中场断球，赵旭日直线带球大力抽射抽出电梯球，王大雷毫无反应，球击中横梁后弹出
42'吴兴涵在禁区内接球，打远角！偏出                   42'第42分钟，佩莱射门被后卫挡出，佩莱再次得球斜传，吴兴涵左脚停球，右脚射门偏出
43'天津权健队右路长传球，找莫德斯特！吉尔想把球破坏，戴琳去抢球想破坏出边线                   42'第42分钟，佩莱射门被后卫挡出，佩莱再次得球斜传，吴兴涵左脚停球，右脚射门偏出
43'没想到球出底线                   42'第42分钟，佩莱射门被后卫挡出，佩莱再次得球斜传，吴兴涵左脚停球，右脚射门偏出
44'角球发到禁区内，对方解围不远！                   42'第42分钟，佩莱射门被后卫挡出，佩莱再次得球斜传，吴兴涵左脚停球，右脚射门偏出
44'天津权健队劲射，被挡出来                   42'第42分钟，佩莱射门被后卫挡出，佩莱再次得球斜传，吴兴涵左脚停球，右脚射门偏出
45'张诚在禁区内倒地！主裁判并没有吹                   42'第42分钟，佩莱射门被后卫挡出，佩莱再次得球斜传，吴兴涵左脚停球，右脚射门偏出
49'天津权健队长传前场左路！对方把球控下来                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
49'上半场比赛结束，双方都没能进球！0-0                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
48'佩莱在前场得球，强突！挑传，失误                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
48'天津权健队长传禁区，王大雷出击把球没收                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
49'塔尔德利左路横传禁区，佩莱抢点打门，皮球滑门慢慢而过。金敬道抢点打门也没能打到！                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
49'鲁能泰山队得到角球机会                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
49'角球发到禁区内前点！蒿俊闵抢点！打门偏出                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
50'马加特感觉非常遗憾。                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
51'王彤中场断球，右路强突下底！追上了！                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
51'在对方逼抢下球出底线                   48'第48分钟，山东鲁能错失空门机会，塔尔德利扣过防守后送出挑传，门将被吸引出来，但佩莱小角度射门将球射偏，金敬道倒地补射未能抢到皮球
54'鲁能泰山队右路横传禁区，对主顶出来                   54'第54分钟，王彤禁区外大力远射被后卫挡出
54'塔尔德利得球，横带到左路                   54'第54分钟，王彤禁区外大力远射被后卫挡出
56'郑铮前场直传球，没能传好                   54'第54分钟，王彤禁区外大力远射被后卫挡出
56'天津权健队长球，莫德斯特把球争顶下来                   54'第54分钟，王彤禁区外大力远射被后卫挡出
56'吉尔护球让给王大雷                   54'第54分钟，王彤禁区外大力远射被后卫挡出
64'吴兴涵左路突破突然一脚打门，张璐扑了一下出底线                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
64'鲁能泰山队得到角球机会                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
65'角球发到禁区内，没有机会                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
66'天津权健队左路长传球！被对方破坏                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
66'中场天津权健队断球，左路长传进攻                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
67'佩莱中场右路接球，被包夹抢断                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
67'鲁能泰山队外围远射，被挡出来                   64'第64分钟，吴兴涵边路拿球内切射近角，张鹭将球扑出近侧门柱
68'莫德斯特中场得球反击！戴琳到中场阻挡犯规                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
68'吃到了黄牌                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
68'任意球发出来，天津权健队左路横传禁区，被吉尔把球破坏出底线                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
69'天津权健队左路进攻，对方犯规                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
69'得到任意球机会                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
70'任意球发到禁区内，王大雷托了一下，高出横梁                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
70'角球机会                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
70'角球发到禁区内，被破坏出来                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
70'天津权健队在前场抢球出边线                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
71'戴琳长传球到前场右路，皮球出边线                   68'第68分钟，戴琳对莫德斯特犯规，被黄牌警告
69'天津权健队左路进攻，对方犯规                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
69'得到任意球机会                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
70'任意球发到禁区内，王大雷托了一下，高出横梁                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
70'角球机会                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
70'角球发到禁区内，被破坏出来                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
70'天津权健队在前场抢球出边线                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
71'戴琳长传球到前场右路，皮球出边线                   69'第69分钟，孙可任意球直接射门，王大雷出击失误，但他第二反应极快腾空将球托出底线
77'郑达伦左路横传球禁区！维特塞尔抢点打门！被王大雷扑出！                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
77'不过越位在先！                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
77'鲁能泰山队换人，刘彬彬被换上场                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
78'中场天津权健队断球，中路直传进攻                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
79'郑铮左路横传球到禁区，对方解围出来                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
79'张驰上场，换下李海龙                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
80'张驰右路长传球找刘彬彬！                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
80'对方解围！佩莱抢球，没能抢到                   77'第77分钟，马加特做出换人调整，刘彬彬换下金敬道，张弛换下李海龙
81'赵旭日左路横传禁区，被解围出来                   81'第81分钟，郑达伦左路拿球内切射门，球被王大雷没收
82'郑达伦左路横向突破，突然一脚打门！被王大雷没收                   81'第81分钟，郑达伦左路拿球内切射门，球被王大雷没收
82'刘彬彬右路横传禁区，塔尔德利插上，没能踢到球                   81'第81分钟，郑达伦左路拿球内切射门，球被王大雷没收
83'鲁能泰山队传球到禁区内！塔尔德利抢点打门，张璐把球扑出来！                   81'第81分钟，郑达伦左路拿球内切射门，球被王大雷没收
84'佩莱的过渡真得不错，塔尔德利打得也好                   81'第81分钟，郑达伦左路拿球内切射门，球被王大雷没收
85'鲁能泰山队换人，李微上场，换下塔尔德利                   85'第85分钟，李微换下塔尔德利
85'李微的防守能力更强！但换下塔尔德利，要放弃进攻吗                   85'第85分钟，李微换下塔尔德利
86'吴兴涵左路强突横传，被破坏出底线                   85'第85分钟，李微换下塔尔德利
87'角球发到禁区内，张璐把球没收                   85'第85分钟，李微换下塔尔德利
87'通过换人看得出来，马加特对平局也能接受                   85'第85分钟，李微换下塔尔德利
88'张驰右路突破被断，反抢！没能抢下来                   85'第85分钟，李微换下塔尔德利
88'中场鲁能泰山队得球，走中路进攻                   85'第85分钟，李微换下塔尔德利
