1'比赛开始了，天津亿利率先开球                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
1'亿利从画面右侧向左侧进攻，国安是从左向右进攻                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
1'后场赵宏略拿球，过顶长传到中圈                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
1'国安得球，前场中路挑传，双方拼抢                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'迪亚涅得球，一记回敲，给到杜佳                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'大脚开起来，邱添一拿球，在选择回敲                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'后场杜佳又是一个大脚长传                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'右侧边线的争顶，吹了国安的犯规                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'定位球走你                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'大脚送到前场，中路争顶，惠家康得球                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
2'右侧给到米克尔，一记直塞向前                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
3'被防守队员端回                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
3'界外球，后场曹阳给到杜佳，斜长传                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
3'左侧拼抢之后出了界外                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
3'米克尔过来接应，背身拿球被放倒了                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
3'球出了边线，裁判没给犯规，判的出界，国安球权                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'边线球送出来，拼抢中赵宏略推翻了奥古斯托                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'右侧定位球，国安长传送起来                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'禁区前沿右侧奥古斯托拿球                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'横向盘带，在分出来                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'右侧同伴得球下底                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'传中搓起来，后点被解围出了底线，角球                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'右侧角球开起来，送入禁区中央                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
4'第一点被头球解围出来                   1'双方心态均较为放松，第1分钟拉开阵型形成对峙
16'手抛球左侧给到了惠家康                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
16'得球向前，中路突破，在回敲                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
16'中路分到左侧给赵宏略，前插，45度吊入禁区                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
16'迪亚涅背身护住，倒地了                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
16'裁判给了点球                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
17'吹了克里梅茨的拉人犯规，还给了克里梅茨一张黄牌                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
17'迪亚涅准备亲自操刀                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
17'国安的球员纷纷上前，对裁判的这个吹罚感到不满啊                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
17'但是点球的判罚依然无法改变                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
18'迪亚涅助跑，冷静的大力推射，直奔右侧，进了                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
18'迪亚涅点球完全骗过了杨智，很轻松                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
18'进球后迪亚涅庆祝的时候亮出了里面的白色背心                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
19'背心上写着，我们是天津泰达！不喜欢中甲！                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
19'比赛继续来看，中路国安的进攻                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
19'分到右侧，拉尔夫拿球，遭到逼抢，球离身体有点远，在抢                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
19'吹了拉尔夫手上拉人犯规                   16'第16分钟，迪亚涅赢得点球：亿利将球传入禁区，迪亚涅准备接应时被克里梅茨搂抱动作放倒，主裁判王竞判定点球并向克里梅茨出示黄牌，慢镜头显示克里梅茨的搂抱动作比较明显；迪亚涅亲自操刀破门，他收获本赛季第4粒入球，这4粒入球均来自近3轮
20'双方中场你来我往，不停的缠斗，又是迪亚涅的拼抢犯规                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
20'国安后场定位球送出来                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
20'直传右侧晋鹏翔，在横敲，被挡出边线                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
20'界外球给出，禁区前沿赵宏略再次解围出边线                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
21'边线球再次给出来，奥古斯托禁区前沿拿球，摔倒了                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
21'球被解围出去，外围国安对拿球的阿奇姆彭犯规                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
22'双方纠缠在一起，场面很火爆啊，要打架                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
22'裁判给了杨智一张黄牌了事                   20'第20分钟，奥古斯托在亿利禁区线附近倒地，裁判并没有理会，拉尔夫就地犯规对阿奇姆彭的动作较大，双方球员均很不满，国安一方认为裁判应该理会奥古斯托的倒地，冲至前场的杨智领到黄牌
