7'任意球战术配合到底线前，横传                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
7'没有形成打门机会                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
7'权健反击机会，赵旭日前场趟大了                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
7'外围再送禁区，杨程把球没收                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
8'两队上来就打得很开放                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
8'丁海峰左路给身后，尹鸿博接应                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
8'还是先打出来，转移                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
8'野牛要过刘奕鸣，没有成功                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
9'帕托右路传后点，孙可包抄慢了一点                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
9'维特赛尔中场拿球犹豫，被断                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
9'自己反抢犯规了                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
9'华夏斜传左路找野牛，给大了                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
10'书林九子：三国争雄——鲁能、权健、华夏！                   7'第7分钟权健队右路赵旭日的传中球被杨程没收
14'张呈栋跟防到底线前，铲倒了下底的糜昊伦                   14'第14分钟张呈栋铲倒了下底的糜昊伦，权健任意球开到前点被解围，随后战术角球后的45度传中被门将拿到
15'权健任意球开前点，被解围，角球                   14'第14分钟张呈栋铲倒了下底的糜昊伦，权健任意球开到前点被解围，随后战术角球后的45度传中被门将拿到
15'战术角球开外围，45度传中，被门将拿到                   14'第14分钟张呈栋铲倒了下底的糜昊伦，权健任意球开到前点被解围，随后战术角球后的45度传中被门将拿到
16'华夏左路进攻，丁海峰的传中被顶出                   14'第14分钟张呈栋铲倒了下底的糜昊伦，权健任意球开到前点被解围，随后战术角球后的45度传中被门将拿到
17'权健后场横向转移球，拉开空挡                   14'第14分钟张呈栋铲倒了下底的糜昊伦，权健任意球开到前点被解围，随后战术角球后的45度传中被门将拿到
17'郑达伦右路下底，丁海峰破坏                   14'第14分钟张呈栋铲倒了下底的糜昊伦，权健任意球开到前点被解围，随后战术角球后的45度传中被门将拿到
24'王永珀前场拿球转身，塞禁区，被解围                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
25'野牛禁区前找队友配合，被拦截                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
25'维特赛尔长传反击，被破坏                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
25'右路还是野牛，似传似射打向球门                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
25'张鹭把球拿到了                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
25'王永珀前场插上接应，越位                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
26'孙可前场拿球，倒地了，裁判没有表示                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
27'野牛左侧肋部被包夹，球丢了                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
27'孙可再把球传入禁区，杨程拿到                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
27'野牛在前场有些受伤                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
27'被踩到了应该是，没有大碍                   24'第24分钟，阿洛伊西奥在禁区右侧一脚吊门被张鹭得到
38'任意球传门前，前后包抄都没打上                   37'第37分钟权健队前场右侧的任意球平抽门前，门前连续多点包抄均错过攻门
38'野牛塞中路，尹鸿博禁区前回敲                   37'第37分钟权健队前场右侧的任意球平抽门前，门前连续多点包抄均错过攻门
38'张利峰跟上直接打，飞了                   37'第37分钟权健队前场右侧的任意球平抽门前，门前连续多点包抄均错过攻门
38'王永珀中路塞身后，帕托带一步                   37'第37分钟权健队前场右侧的任意球平抽门前，门前连续多点包抄均错过攻门
39'补位的任航解围出去                   37'第37分钟权健队前场右侧的任意球平抽门前，门前连续多点包抄均错过攻门
40'尹鸿博前场拿球，被刘奕鸣绊倒                   37'第37分钟权健队前场右侧的任意球平抽门前，门前连续多点包抄均错过攻门
