1'上半场比赛开始！！                   1'第1分钟主队优势明显，把申花压在半场打
1'白衣白裤的申花开球，从画面的右侧向左进攻！！                   1'第1分钟主队优势明显，把申花压在半场打
1'华夏幸福右路的进攻，直塞找阿洛伊西奥                   1'第1分钟主队优势明显，把申花压在半场打
2'陶金的上抢，将球破坏出边线！！                   1'第1分钟主队优势明显，把申花压在半场打
2'华夏幸福右侧界外球，阿洛伊西奥拿球                   1'第1分钟主队优势明显，把申花压在半场打
2'阿洛伊西奥的内切横传，传出底线！！                   1'第1分钟主队优势明显，把申花压在半场打
3'华夏幸福中场抢断，右路的反击                   1'第1分钟主队优势明显，把申花压在半场打
3'拉维奇的强突下底，传中到门前                   1'第1分钟主队优势明显，把申花压在半场打
3'李帅出击，抢在阿洛伊西奥之前，将球拿到！！！                   1'第1分钟主队优势明显，把申花压在半场打
3'莫雷诺中场拿球，横传被断！！                   1'第1分钟主队优势明显，把申花压在半场打
4'赵宇豪前场拿球，横传右路给赵明剑                   1'第1分钟主队优势明显，把申花压在半场打
4'赵明剑停球，调整传中，被挡出                   1'第1分钟主队优势明显，把申花压在半场打
4'陶金抢到第二落点，张呈栋上抢                   1'第1分钟主队优势明显，把申花压在半场打
6'张呈栋前场背身拿球，转身找拉维奇                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
6'陶金补防，抢先将球解围出边线！！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
6'赵明剑发右侧界外球，大力掷到禁区                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
6'第一点被王林头球解围出来！！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
7'徐骏敏外围拿球，准备反击，被丁海峰拉倒在地                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
7'张呈栋前场中路拿球，强突被陶金滑铲放倒在地！！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
7'华夏幸福获得前场中路的任意球机会！！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
8'拉维奇任意球搓传到禁区，第一点被申花球员解围                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
8'见高不见远，张呈栋拿球，禁区线上起脚打门                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
8'碰到防守球员折射，出了底线，角球！！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
9'华夏幸福右侧角球开出到禁区，阿洛伊西奥的头球，顶高！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
9'申花前场进攻，瓜林的远射，太正，被杨程拿到！！                   6'第6分钟陶金对张呈栋犯规，拉维奇任意球开入禁区，乱战中张呈栋打门打在申花队员身上出界
12'埃尔南内斯再分左侧找丁海峰                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
12'球传大了，出边线！！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
12'申花进球啦！！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
12'瓜林！！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
13'瓜林前场中路拿球，连续变向，摆脱上抢的任航，进入禁区，右脚抽射，打进！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
14'尹鸿博中场拿球，瓜林上抢，犯规！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
14'华夏幸福进球，1-1！！！                   12'第12分钟申花第二次进攻取得进球，高准翼中场出脚，皮球打在快速上前的曹赟定身上弹下，接着瓜林得球杀向禁区，任航回防被瓜林巧妙晃过，接着瓜林打球门左侧，杨程扑救虽然碰到球皮，但未能把球扑出，1比0，申花意外领先
