38'张鹭长传上来，石柯顶到第一点                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
38'帕托还是越位在先                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
38'石柯长传左侧，球直接出边线                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
38'张鹭长传上来，石柯头球顶一下                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
39'埃尔克森控球，在观察分右侧                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
39'胡尔克拿好球到禁区内                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
39'胡尔克踩单车下底倒三角传中，武磊中路包抄到位大力抽射球进了！！！                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
40'这球前点埃尔克森一漏洞非常巧妙                   38'全场两队对攻精彩，第38分钟胡尔克右路突破后横传，武磊中路爆射首开纪录
58'回给奥斯卡                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
58'下底传中，中路没有上港的球员                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
58'两罚全中右路传后点，于海头球摆渡，被杨善平解围                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
58'赵旭日中场带球，交给格乌瓦尼奥                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
58'横传中路，传赵旭日身后了                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
58'武磊交给奥斯卡，分右路的胡尔克                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
58'内切，被维特塞尔断下                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
59'赵旭日交给帕托                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
59'分给张诚，直传给格乌瓦尼奥                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
59'给孙可，外脚背传球被顶出                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
59'帕托开胡了！！！                   58'第58分钟孙克左路突破后横传，球打在贺惯腿上弹门柱而出，帕托补射得分，打进中超首球
