2'上海申花球员柏佳俊拼抢犯规,对手获得控球权.                   2'开场第2分钟积施利突破制造任意球机会，马里尼奥重炮轰出界外
2'积施利为长春亚泰在对方半场,赢得一个任意球.                   2'开场第2分钟积施利突破制造任意球机会，马里尼奥重炮轰出界外
3'长春亚泰球员马里尼奥大禁区外尝试左脚射门,可惜皮球偏出球门.                   2'开场第2分钟积施利突破制造任意球机会，马里尼奥重炮轰出界外
5'上海申花球员李建滨一脚直塞球给莫雷诺,但是边裁举旗显示后者已经越位.                   2'开场第2分钟积施利突破制造任意球机会，马里尼奥重炮轰出界外
12'上海申花球员莫雷诺左侧很远处尝试左脚射门,可惜皮球偏出球门.给他传球的是李帅.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
12'上海申花球员孙世林拼抢犯规,对手获得控球权.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
12'马里尼奥为长春亚泰在对方半场,赢得一个任意球.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
13'上海申花球员曹赟定拼抢犯规,对手获得控球权.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
13'范晓冬为长春亚泰在右路,赢得一个任意球.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
13'黄牌！上海申花球员曹赟定因为恶意犯规,被主裁判出示黄牌.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
14'长春亚泰球员胡斯蒂右侧远离球门处小角度左脚射门,被防守球员封堵.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
14'孙世林为上海申花赢得一个任意球.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
14'长春亚泰球员马里尼奥拼抢犯规,对手获得控球权.                   12'第12分钟范晓冬右路被曹赟定拽倒，主裁赵治治对曹出示黄牌
18'进球啦！！！上海申花球员瓜林大禁区右侧右脚射门,球从左上角飞进球门,球进了!助攻的是徐骏敏. 长春亚泰 0-1 上海申花.                   17'第17分钟，瓜林后场看准时机突然传球到对方禁区前沿，马丁斯在对方两人之间拿球
19'上海申花球员曹赟定危险动作,对手获得控球权.                   17'第17分钟，瓜林后场看准时机突然传球到对方禁区前沿，马丁斯在对方两人之间拿球
19'殷亚吉为长春亚泰赢得一个任意球.                   17'第17分钟，瓜林后场看准时机突然传球到对方禁区前沿，马丁斯在对方两人之间拿球
21'上海申花球员柏佳俊拼抢犯规,对手获得控球权.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
21'马里尼奥为长春亚泰在右路,赢得一个任意球.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
21'上海申花球员曹赟定拼抢犯规,对手获得控球权.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
21'马里尼奥为长春亚泰在右路,赢得一个任意球.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
22'长春亚泰球员马里尼奥被主裁判出示了一张黄牌.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
23'长春亚泰球员马里尼奥右侧远离球门处小角度左脚射门,被防守球员封堵.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
23'马丁斯将球处理出底线,长春亚泰获得角球.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
24'长春亚泰球员何超大禁区中央尝试左脚射门,可惜皮球高出右上角球门.                   21'第21分钟场上起了争执，马里尼奥在右路突破时被曹赟定放倒，但马里尼奥起身把曹赟定推翻，虽然曹犯规在先，但有报复动作的马里尼奥吃到黄牌
26'长春亚泰球员伊格哈罗球门右侧小角度右脚射门,被防守球员封堵.给他传球的是范晓冬.                   26'第26分钟马里尼奥右路劲射被李帅打出，马里尼奥自己主罚角球到禁区左侧，殷亚吉头球点到伊哈洛这里，但被申花后卫抢先挡出
26'柏佳俊将球处理出底线,长春亚泰获得角球.                   26'第26分钟马里尼奥右路劲射被李帅打出，马里尼奥自己主罚角球到禁区左侧，殷亚吉头球点到伊哈洛这里，但被申花后卫抢先挡出
27'射门!!!长春亚泰球员马里尼奥大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是何超.                   26'第26分钟马里尼奥右路劲射被李帅打出，马里尼奥自己主罚角球到禁区左侧，殷亚吉头球点到伊哈洛这里，但被申花后卫抢先挡出
27'李帅将球处理出底线,长春亚泰获得角球.                   26'第26分钟马里尼奥右路劲射被李帅打出，马里尼奥自己主罚角球到禁区左侧，殷亚吉头球点到伊哈洛这里，但被申花后卫抢先挡出
30'长春亚泰换人,孙捷上,殷亚吉因伤下场.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
31'长春亚泰Yan Shipeng受伤倒地,比赛暂停                   29'第29分钟孙捷换下被抬到场外的殷亚吉
31'长春亚泰Yan Shipeng受伤倒地,比赛暂停                   29'第29分钟孙捷换下被抬到场外的殷亚吉
32'暂停结束,球员们重新开始比赛.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
32'暂停结束,球员们重新开始比赛.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
32'上海申花球员李建滨拼抢犯规,对手获得控球权.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
32'上海申花球员李建滨拼抢犯规,对手获得控球权.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
32'胡斯蒂为长春亚泰在右路,赢得一个任意球.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
32'胡斯蒂为长春亚泰在右路,赢得一个任意球.                   29'第29分钟孙捷换下被抬到场外的殷亚吉
35'上海申花球员瓜林拼抢犯规,对手获得控球权.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
35'上海申花球员瓜林拼抢犯规,对手获得控球权.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
35'Yan Shipeng为长春亚泰赢得一个任意球.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
35'Yan Shipeng为长春亚泰赢得一个任意球.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
36'陶金为上海申花赢得一个任意球.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
36'陶金为上海申花赢得一个任意球.                   33'第33分钟胡斯蒂右路突破被李建滨放倒，胡斯蒂任意球开入禁区，马里尼奥有肘击柏佳骏的动作，后者倒地不起，裁判没有看到这个动作
