2'克鲁泽送出长传球，球被曾诚抱住                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
2'郜林边路拿球，传球中路，球被解围出来                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
3'郑智外围拿球，来一脚远射                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
3'打偏了                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
3'中场保利尼奥将球控制下来                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
4'分球陈泽鹏，传球禁区，找阿兰                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
4'球被解围出来                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
5'王浩传球出了边线                   2'比赛开始2分钟，广州恒大队制造威胁，郑智禁区外怒射偏出
18'杨旭背身将球控制下来                   17'第17分钟，辽宁队边路突破后倒三角回传，杨旭得球后晃过防守队员形成单刀，但是他的射门被曾诚奋勇扑出
18'张琳芃将球断回来                   17'第17分钟，辽宁队边路突破后倒三角回传，杨旭得球后晃过防守队员形成单刀，但是他的射门被曾诚奋勇扑出
19'阿兰传球禁区，球被门将抱住                   17'第17分钟，辽宁队边路突破后倒三角回传，杨旭得球后晃过防守队员形成单刀，但是他的射门被曾诚奋勇扑出
20'辽宁换人了呀                   17'第17分钟，辽宁队边路突破后倒三角回传，杨旭得球后晃过防守队员形成单刀，但是他的射门被曾诚奋勇扑出
20'辽宁换人了呀                   20'第20分钟，高拉特禁区前远射被挡出
21'胡延强换下了孙兆亮                   20'第20分钟，高拉特禁区前远射被挡出
21'辽宁的进攻                   20'第20分钟，高拉特禁区前远射被挡出
21'刘尚坤拿球，传球禁区，球被梅方解围出来                   20'第20分钟，高拉特禁区前远射被挡出
23'郑智中路将球控制下来                   20'第20分钟，高拉特禁区前远射被挡出
31'保利尼奥传球格兰特，带球向前，球被大脚解围出来                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
31'杨旭拿球，被犯规了                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
31'辽宁定位球开出来，张琳芃将球控制下来                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
32'直接送出长传球，准确找到郜林                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
32'郜林来一脚推射                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
32'打偏了呀                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
33'中场郑智将球控制下来                   30'第30分钟，保利尼奥中路带球长驱直入，之后巧妙送出直塞，郜林快速插上形成单刀并完成小角度劲射，球擦着远端立柱偏出
36'克鲁泽前场拿球，被张琳芃犯规了                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
37'克鲁泽传球禁区，阿萨尼头球                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
37'曾诚将球扑出了底线                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
37'角球机会                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
37'角球开出来，后点，球被解围出来                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
37'争抢裁判哨响，攻防犯规                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
39'阿兰拿球，传球禁区，郜林来一脚凌空射门                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
39'球被门将扑出来                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
39'陈泽鹏外围拿球，继续传球禁区，球出了底线                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
39'裁判给了门球                   36'第36分钟，辽宁队获得任意球，克鲁泽弧线球传中，阿萨尼头球攻门被曾诚单掌封出底线
41'张野拿球，传球禁区，球直接被曾诚没收                   40'第40分钟，倪玉崧发界外球拖延时间被主裁判黄牌警告
42'曾诚大脚球将球出来，前场阿兰拿球                   40'第40分钟，倪玉崧发界外球拖延时间被主裁判黄牌警告
42'来一脚射门，打高了呀                   40'第40分钟，倪玉崧发界外球拖延时间被主裁判黄牌警告
42'恒大换人了，张成林换下了陈泽鹏                   40'第40分钟，倪玉崧发界外球拖延时间被主裁判黄牌警告
42'上半场也接近尾声了                   40'第40分钟，倪玉崧发界外球拖延时间被主裁判黄牌警告
43'于汉超外围拿球，给高拉特，球被解围出来                   40'第40分钟，倪玉崧发界外球拖延时间被主裁判黄牌警告
45'恒大获得极佳任意球机会                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
45'保利尼奥直接选择了射门                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
45'打到了立柱上，弹回来，球被解围出来                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
46'上半场补时2分钟                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
47'高拉特禁区外围拿球                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
47'回给中圈的张琳芃                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
48'克鲁泽将球控制下来                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
48'裁判哨响，上半场比赛结束                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
48'双方暂时都没有进球                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
46'OK，随着主裁判一声哨响，比赛开始                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
46'恒大进攻                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
46'王上源拿球，传球禁区，找郜林，球被大脚解围出来                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
47'高拉特传球阿兰，阿兰来一脚射门                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
47'球被扑出了底线                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
47'恒大获得角球机会                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
48'后点，球被解围出来                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
48'王上源拿球，传球禁区，球被解围出来                   45'第45分钟，保利尼奥任意球射门被球门立柱挡出
48'克鲁泽将球控制下来                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
48'裁判哨响，上半场比赛结束                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
48'双方暂时都没有进球                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
48'后点，球被解围出来                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
48'王上源拿球，传球禁区，球被解围出来                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
49'中场郑智将球控制下来，被放倒了                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
49'恒大定位球机会                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
49'于汉超传球禁区，球被挡出来                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
50'阿兰禁区外围拿球，来一脚射门                   48'第48分钟，阿兰小角度射门被张振强神勇挡出，于汉超角球发到后点，张成林俯身头球攻门被门线前的后卫挡出
