3'王燊超边路传球，球被解围出来                   3'第3分钟买提江在中圈附近打出超级远射被颜骏凌接住
4'中圈双方争抢                   3'第3分钟买提江在中圈附近打出超级远射被颜骏凌接住
6'胡尔克倒在了地上                   3'第3分钟买提江在中圈附近打出超级远射被颜骏凌接住
6'OK继续看比赛                   3'第3分钟买提江在中圈附近打出超级远射被颜骏凌接住
10'武磊带球突破，躺球过人，没能成功                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
10'买提江传球禁区，球被解围出了底线                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
10'亿利角球机会                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
10'角球开出来，球被解围出来                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
11'上港这边换人了                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
11'蔡慧康登场，换下了张华晨                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
12'OK，我们继续看比赛                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
13'王燊超传球禁区，球被解围出了底线                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
13'上港角球机会                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
13'角球开出来，前点，球被解围出来                   10'第10分钟上港用蔡慧康换下张华晨，第11分钟天津队用李源一换下杨立瑜，两队U23队员都被调整下场
18'稍稍打高了                   18'第18分钟王燊超左路下底传中，潘喜明用胸部把球顶给门将杨启鹏，但这球顶得有些轻，好在杨启鹏眼疾手快，抢在吕文君之前把球扑住
19'杨启鹏大脚将球开出来                   18'第18分钟王燊超左路下底传中，潘喜明用胸部把球顶给门将杨启鹏，但这球顶得有些轻，好在杨启鹏眼疾手快，抢在吕文君之前把球扑住
19'胡尔克中圈将球控制下来                   18'第18分钟王燊超左路下底传中，潘喜明用胸部把球顶给门将杨启鹏，但这球顶得有些轻，好在杨启鹏眼疾手快，抢在吕文君之前把球扑住
21'蔡慧康拿球遭遇逼抢，球被踢出了边线                   18'第18分钟王燊超左路下底传中，潘喜明用胸部把球顶给门将杨启鹏，但这球顶得有些轻，好在杨启鹏眼疾手快，抢在吕文君之前把球扑住
21'奥斯卡外围拿球，禁区外围的打门                   18'第18分钟王燊超左路下底传中，潘喜明用胸部把球顶给门将杨启鹏，但这球顶得有些轻，好在杨启鹏眼疾手快，抢在吕文君之前把球扑住
21'打偏了                   18'第18分钟王燊超左路下底传中，潘喜明用胸部把球顶给门将杨启鹏，但这球顶得有些轻，好在杨启鹏眼疾手快，抢在吕文君之前把球扑住
22'王燊超将球断下来                   22'第22分钟胡人天左路突破成功后传中，颜骏凌飞身把球打出，快速退防的武磊抢在白岳峰之前把球解围
23'奥斯卡传球禁区，球被解围出来                   22'第22分钟胡人天左路突破成功后传中，颜骏凌飞身把球打出，快速退防的武磊抢在白岳峰之前把球解围
24'郭浩送出长传球，前场有人顶了下，颜骏凌将球没收                   22'第22分钟胡人天左路突破成功后传中，颜骏凌飞身把球打出，快速退防的武磊抢在白岳峰之前把球解围
24'蔡慧康传球被断                   22'第22分钟胡人天左路突破成功后传中，颜骏凌飞身把球打出，快速退防的武磊抢在白岳峰之前把球解围
25'胡人天内切过后，突然来一脚打门                   22'第22分钟胡人天左路突破成功后传中，颜骏凌飞身把球打出，快速退防的武磊抢在白岳峰之前把球解围
25'被门将扑了出来                   22'第22分钟胡人天左路突破成功后传中，颜骏凌飞身把球打出，快速退防的武磊抢在白岳峰之前把球解围
35'石柯送出长传球，前场吕文君拿球，倒三角传球，给到插上的付欢，跟上的打门，将球打进                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
36'OK，我们继续看比赛                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
37'亿利角球机会                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
37'角球开出来，后点，球被解围出来了                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
38'白岳峰继续传球禁区，球被解围出了底线                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
38'亿利继续角球机会                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
38'角球开出来，前点                   35'第35分钟进球来到，上港后场长传到右侧，傅欢头球往前一点，吕文君拿球后带了几步后回传，傅欢快速带球斜线杀入禁区后推射近角，杨启鹏扑救不及，1比0
38'白岳峰继续传球禁区，球被解围出了底线                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
38'亿利继续角球机会                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
38'角球开出来，前点                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
39'伊德耶禁区里拿球，稍作调整，来一脚打门                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
39'打偏了                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
40'艾哈迈多夫的传球被断下                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
41'胡人天带球反击，传球禁区，插上的买提江头球                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
41'顶高了呀                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
41'奥斯卡直接送出长传球，找胡尔克                   38'第38分钟天津队险些进球，天津队从左路传球入禁区，伊德耶背身接球，漂亮闪开贺惯防守后转身就打，皮球擦远门柱出界
40'艾哈迈多夫的传球被断下                   40'第40分钟胡尔克中路突击后往前直塞，吕文君脚后跟送出好球，胡尔克绕过贴防的天津后卫，过掉杨启鹏推射破门，但助理裁判举旗判越位，但慢镜头显示胡尔克离越位还差着很大一段距离
41'胡人天带球反击，传球禁区，插上的买提江头球                   40'第40分钟胡尔克中路突击后往前直塞，吕文君脚后跟送出好球，胡尔克绕过贴防的天津后卫，过掉杨启鹏推射破门，但助理裁判举旗判越位，但慢镜头显示胡尔克离越位还差着很大一段距离
41'顶高了呀                   40'第40分钟胡尔克中路突击后往前直塞，吕文君脚后跟送出好球，胡尔克绕过贴防的天津后卫，过掉杨启鹏推射破门，但助理裁判举旗判越位，但慢镜头显示胡尔克离越位还差着很大一段距离
41'奥斯卡直接送出长传球，找胡尔克                   40'第40分钟胡尔克中路突击后往前直塞，吕文君脚后跟送出好球，胡尔克绕过贴防的天津后卫，过掉杨启鹏推射破门，但助理裁判举旗判越位，但慢镜头显示胡尔克离越位还差着很大一段距离
42'边裁举旗，越位了                   40'第40分钟胡尔克中路突击后往前直塞，吕文君脚后跟送出好球，胡尔克绕过贴防的天津后卫，过掉杨启鹏推射破门，但助理裁判举旗判越位，但慢镜头显示胡尔克离越位还差着很大一段距离
48'长传球，找胡尔克，又被吹了越位                   48'下半场第48分钟，伊德耶右路直塞，李源一小角度射门打在边网上
49'伊德耶挑传禁区，白岳峰插上的打门                   48'下半场第48分钟，伊德耶右路直塞，李源一小角度射门打在边网上
49'打偏了                   48'下半场第48分钟，伊德耶右路直塞，李源一小角度射门打在边网上
50'吕文君前场拿球，被犯规了                   48'下半场第48分钟，伊德耶右路直塞，李源一小角度射门打在边网上
50'上港任意球机会                   48'下半场第48分钟，伊德耶右路直塞，李源一小角度射门打在边网上
55'胡人天断球                   55'第55分钟武磊对胡人天犯规，古德利35米外任意球直接开打，球折射后被颜骏凌扑住
56'李源一拿球被犯规了                   55'第55分钟武磊对胡人天犯规，古德利35米外任意球直接开打，球折射后被颜骏凌扑住
56'亿利任意球机会                   55'第55分钟武磊对胡人天犯规，古德利35米外任意球直接开打，球折射后被颜骏凌扑住
57'古德利直接选择了打门                   55'第55分钟武磊对胡人天犯规，古德利35米外任意球直接开打，球折射后被颜骏凌扑住
57'被颜骏凌没收了                   55'第55分钟武磊对胡人天犯规，古德利35米外任意球直接开打，球折射后被颜骏凌扑住
58'胡尔克前场拿球，分边路，付欢停球出界了                   55'第55分钟武磊对胡人天犯规，古德利35米外任意球直接开打，球折射后被颜骏凌扑住
66'郭浩送出传中球，球被防守球员挡出底线                   65'第65分钟天津队左路开出角球，潘喜明头球顶高
66'亿利角球开出来，前点                   65'第65分钟天津队左路开出角球，潘喜明头球顶高
66'球被解围出来                   65'第65分钟天津队左路开出角球，潘喜明头球顶高
67'买提江外围控制球                   65'第65分钟天津队左路开出角球，潘喜明头球顶高
68'伊德耶前场拿球，横向带球过人，没能成功                   65'第65分钟天津队左路开出角球，潘喜明头球顶高
71'直塞球找到伊德耶，顺势打门，球被颜骏凌扑出来了                   71'第71分钟古德利大力射门打在人堆里，李源一果断用脚底非常规射门，颜骏凌飞身把球扑住
80'胡尔克带球突破，被犯规了                   80'第80分钟上港用韦世豪换下吕文君
81'奥斯卡送出直塞球，球被挡出来                   80'第80分钟上港用韦世豪换下吕文君
83'胡尔克禁区里拿球，扣一下，来一脚打门                   80'第80分钟上港用韦世豪换下吕文君
83'球被门将稳稳抱住                   80'第80分钟上港用韦世豪换下吕文君
83'杨启鹏大脚将球开出来                   80'第80分钟上港用韦世豪换下吕文君
83'古德利拿球，带球突破，球被踢出了底线                   80'第80分钟上港用韦世豪换下吕文君
85'争抢球，裁判给了攻方犯规                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
85'上港进攻                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
86'胡尔克带球突破，又被犯规了                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
86'双方队员有点口角呀                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
87'OK，继续比赛                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
87'胡尔克带球，又摔倒了                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
87'裁判没有表示                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
87'中场奥斯卡将球反断回来                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
88'传球胡尔克，和防守人对抗                   85'第85分钟傅欢和赵宏略发生严重口角冲突，结果两人都吃到黄牌
89'裁判哨响，这次吹的是胡尔克的犯规                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
89'下半场也接近尾声了                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
90'中场武磊将球断下来，带球突破，被犯规了                   89'第89分钟李源一对奥斯卡犯规吃到黄牌
