59'鲁能泰山队长传球！佩莱争抢时踢到了曹阳！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
59'曹阳受伤倒在地上！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
60'阿切安庞带球狂奔！！吉尔回防犯规！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
61'天津泰达队得到前场任意球机会！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
61'买提江发任意球直接打门！打在人墙上！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
62'张驰受伤倒在地上！他在当人墙时被打在头上！！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
62'中场双方争球出边线！！天津泰达队界外球！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
48'上半场比赛结束，双方都没能进球！战成0-0！                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
48'天津泰达队前场分边！买提江没能顶到，皮球出边线                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
48'张驰发后场右路界外球！佩莱顶回来！张驰挑传情高嘉润被断                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
48'阿切安庞前场左路接球！分边！球出边线                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
48'鲁能泰山队要发界外球！裁剪哨响，吹了天津泰达队前场球！                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
49'界外球发出来，天津泰达队把球转移到右路，宋龙抢球出界                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
49'界外球发出来，天津泰达队斜传禁区！王大雷出击没收                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
49'金敬道左路接球！横传禁区，直接出底线                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
50'中场天津泰达队传球失误！                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
51'天津泰达队快速反击到前场，直传球！张驰把球抢断下来                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
51'塔尔德利前场接球！转移到右路                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
51'张驰横传禁区！对方破坏出边线                   48'补时3分钟，蒿俊闵挑传，佩莱得球突破后弧线球传中，吴兴涵后仰中头球吊射破门
52'崔鹏前场右路接球！米克尔抢球手上有动作！！犯规啦！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
53'任意球发出来！挑传禁区！天津泰达队把球破坏                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
53'吉尔中场传球失误！！天津泰达队断球快速反击！直传给了阿切安庞！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
53'阿切安庞带球安全感到禁区内！！！戴琳抢位犯规！！点球！！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
53'不过判点球有点过！！！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
54'戴琳解围踢到了球！！阿切安庞踩到了戴琳的脚！！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
54'戴琳要求看视频！！！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
54'裁判示意看回放！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
55'裁判看视频后！！依然判了点球！！！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
55'阿切安庞要主罚点球！                   52'第7分钟，塔尔德利带球反击被米克尔断球，后者向前带球过程中于禁区外远射，球力量不大被王大雷没收
62'张驰受伤倒在地上！他在当人墙时被打在头上！！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
62'中场双方争球出边线！！天津泰达队界外球！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
63'天津泰达队左路下底横传禁区！皮球到另一侧，对方得球反击！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
63'塔尔德利前场左路接球！横传转移                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
64'前场鲁能泰山队传球失误！天津泰达队直传球交给阿切安庞！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
64'阿切安庞突破到禁区，吉尔抢点回传，球出底线                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
64'战术角球发出来！阿切安庞直传情高嘉润！插上队员小角度打门，被王大雷扑出！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
