1'一方把球回给后场杨善平，给身边崔明安                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
1'里亚斯科斯回接球，转移球出了边线                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
2'亚泰边线球扔出来，两队的争抢，谭龙把球碰出了边线                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
2'李帅界外球扔出来，王耀鹏后场大脚开出去，前场的争抢                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
2'乱战中孙捷一个大脚开出去，伊哈洛前场得球直接一脚打门                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
2'球偏出了左侧立柱啊！                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
3'张翀后场大脚开出去了 ，盖坦前场得球                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
3'杀到大禁区左侧，左脚打门！                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
3'球被祎凡拖出横梁！角球                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
4'战术角球开出来！李帅把球扫到门前                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
4'球被解围出去！！外围的争抢                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
4'一方抢球犯规了！                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
4'伊哈洛前场得球！！一路杀到禁区里！                   1'1分钟后，盖坦禁区外的射门命中目标但被亚泰门将祎凡扑出
17'穆谢奎回接球，给前场里亚斯科斯                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
17'横传球找到前场右侧盖坦，传中球被顶出边线                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
18'界外球扔出来！汪晋贤得到球，阿德里安铲球犯规                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
18'吃到一张黄牌！                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
18'一方前场左侧得到定位球机会！                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
19'盖坦定位球开出来，球被人墙挡出了边线                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
20'盖坦像裁判示意对方用手啊，要看VAR,裁判没有理会，并给了盖坦一张黄牌                   17'第17分钟，长春亚泰外援阿德里安在防守汪晋贤时动作过大被出示黄牌
