4'回敲后场                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
4'董岩峰大脚开到禁区                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
4'被建业队断下                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
4'柯钊压上，挑传里卡多                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
4'没有默契，球出底线                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
4'球门球                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'穆谢奎边路传中                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'被建业队员碰出底线                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'角球                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'一方队左侧角球                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'角球开出                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'后点                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
5'距离太远了                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
6'后点的伊沃将球碰出底线                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
6'右侧角球                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
6'卡拉斯科处理                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
6'右脚开出                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
6'陈灏点球点头球解围                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
6'顶出来还是一方的球权                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
7'卡拉斯科四十五度斜传                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
7'跟进的崔明安没碰到球                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
7'先出底线                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
7'门球开到前场                   4'第4分钟，里亚斯科斯左路策动快速进攻，传球瞬间被建业补防后卫将球破坏出底线
10'一方后场得球                   10'第10分钟，卡拉斯科大禁区线附近横向带球后起左脚劲射，吴龑迅速倒地将球扑出
