1'比赛开始                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'建业队传回后场                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'大脚开往前场中路                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'争顶后球出界                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'界外球，建业球权                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'王上源掷出                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'被断了                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'亚泰反击                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
1'一记直塞                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
2'找伊哈洛，给大了                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
2'球被吴龚得到                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
2'大脚开到中路                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
2'争顶后球出界                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
2'建业球权                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
2'杨阔掷出                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'佩西诺维奇争抢得球                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'分张笑飞                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'自己往前带                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'起高球传中                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'被顾操顶出                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'大脚开往前场找巴索戈                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'巴索戈倒地                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'任意球建业球权                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
3'快发任意球                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
4'巴索戈被亚德里安断球                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
4'反击给到插上的伊哈洛                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
4'伊哈洛趟进禁区                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
4'尝试摆脱顾操后下底传中                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
4'点球点出阿德里安打门                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
4'打高了                   1'比赛开始后第1分钟，亚泰一脚直塞打反击找伊哈洛，球给大了被建业门将吴龑没收
